Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5e-06,20.982143,[ 21 120] ; [39 55],[ 36. 105.] ; [24. 70.],1
r1,1,7e-06,20.258021,[72 72] ; [75 20],[88.56903766 55.43096234] ; [58.43096234 36.56903766],1
v1,1,5.7e-05,16.198224,[ 42 100] ; [51 40],[56.67811159 85.32188841] ; [36.32188841 54.67811159],1
r3,1,0.000294,13.107373,[113  30] ; [91  4],[122.57142857  20.42857143] ; [81.42857143 13.57142857],1
d3,1,0.000554,11.925632,[ 39 103] ; [47 48],[51.52742616 90.47257384] ; [34.47257384 60.52742616],1
p11,1,0.002908,8.86433,[89 55] ; [76 19],[99.41422594 44.58577406] ; [65.58577406 29.41422594],0
r4,1,0.003763,8.394982,[99 45] ; [81 14],[108.45188285  35.54811715] ; [71.54811715 23.45188285],0
n2,1,0.028651,4.788447,[26 13] ; [21  2],[29.56451613  9.43548387] ; [17.43548387  5.56451613],0
p10,1,0.029319,4.748758,[79 60] ; [66 27],[86.875 52.125] ; [58.125 34.875],0
p3,1,0.029945,4.712441,[ 43 101] ; [41 53],[50.82352941 93.17647059] ; [33.17647059 60.82352941],0
p7,1,0.039396,4.243713,[62 78] ; [54 39],[69.69957082 70.30042918] ; [46.30042918 46.69957082],0
n6,1,0.04062,4.191779,[97 47] ; [74 19],[103.89873418  40.10126582] ; [67.10126582 25.89873418],0
a8,1,0.050591,3.821759,[ 21 114] ; [ 6 82],[ 16.34529148 118.65470852] ; [10.65470852 77.34529148],0
a7,1,0.052809,3.749951,[81 62] ; [65 29],[88.092827 54.907173] ; [57.907173 36.092827],0
d2,1,0.06322,3.450823,[ 26 117] ; [ 9 86],[ 21.02941176 121.97058824] ; [13.97058824 81.02941176],0
d5,1,0.067475,3.343409,[67 76] ; [56 39],[73.90336134 69.09663866] ; [49.09663866 45.90336134],0
p9,1,0.070802,3.264328,[92 49] ; [71 22],[98.21794872 42.78205128] ; [64.78205128 28.21794872],0
r2,1,0.087215,2.925043,[116  27] ; [84 10],[120.67510549  22.32489451] ; [79.32489451 14.67510549],0
p4,1,0.114262,2.494258,[51 91] ; [43 50],[56.8 85.2] ; [37.2 55.8],0
v4,1,0.116841,2.459166,[119  24] ; [85  9],[123.08860759  19.91139241] ; [80.91139241 13.08860759],0
d4,1,0.141478,2.161807,[74 70] ; [58 37],[79.53138075 64.46861925] ; [52.46861925 42.53138075],0
s6,1,0.173364,1.853607,[58 82] ; [46 45],[63.03030303 76.96969697] ; [40.96969697 50.03030303],0
b1,1,0.183081,1.772434,[64 80] ; [34 61],[59.0460251 84.9539749] ; [38.9539749 56.0460251],0
p8,1,0.194019,1.686833,[50 92] ; [41 53],[54.75423729 87.24576271] ; [36.24576271 57.75423729],0
s1,1,0.199356,1.647083,[  8 135] ; [ 2 91],[  6.05932203 136.94067797] ; [ 3.94067797 89.05932203],0
n3,1,0.22214,1.490491,[26 12] ; [19  4],[28.03278689  9.96721311] ; [16.96721311  6.03278689],0
p6,1,0.23367,1.418379,[ 27 115] ; [24 70],[ 30.68644068 111.31355932] ; [20.31355932 73.68644068],0
a5,1,0.235245,1.408864,[63 81] ; [49 46],[67.48117155 76.51882845] ; [44.51882845 50.48117155],0
a3,1,0.322216,0.97993,[62 79] ; [48 47],[65.72033898 75.27966102] ; [44.27966102 50.72033898],0
u1,1,0.349714,0.874494,[  2 142] ; [ 3 92],[  3.0125523 140.9874477] ; [ 1.9874477 93.0125523],0
b5,1,0.381743,0.765081,[90 54] ; [54 41],[86.76150628 57.23849372] ; [57.23849372 37.76150628],0
a2,1,0.386656,0.749432,[  8 136] ; [ 3 92],[  6.62761506 137.37238494] ; [ 4.37238494 90.62761506],0
a6,1,0.414291,0.666454,[85 59] ; [51 44],[81.94142259 62.05857741] ; [54.05857741 40.94142259],0
p12,1,0.476466,0.506941,[  5 139] ; [ 5 88],[  6.07594937 137.92405063] ; [ 3.92405063 89.07594937],0
n1,1,0.506692,0.440892,[13 25] ; [ 6 17],[11.83606557 26.16393443] ; [ 7.16393443 15.83606557],0
b4,1,0.565734,0.329872,[81 63] ; [57 38],[83.14644351 60.85355649] ; [54.85355649 40.14644351],0
n4,1,0.604543,0.268199,[84 60] ; [58 36],[85.91596639 58.08403361] ; [56.08403361 37.91596639],0
s8,1,0.609839,0.26041,[ 15 128] ; [12 83],[ 16.22268908 126.77731092] ; [10.77731092 84.22268908],0
p5,1,0.631868,0.229536,[  7 135] ; [ 6 88],[  7.8220339 134.1779661] ; [ 5.1779661 88.8220339],0
s3,1,0.663601,0.189178,[53 88] ; [32 60],[51.43776824 89.56223176] ; [33.56223176 58.43776824],0
s4,1,0.691862,0.157077,[ 20 122] ; [15 79],[ 21.05932203 120.94067797] ; [13.94067797 80.05932203],0
b3,1,0.718246,0.130179,[23 61] ; [11 34],[22.13953488 61.86046512] ; [11.86046512 33.13953488],0
b2,1,0.718246,0.130179,[23 61] ; [11 34],[22.13953488 61.86046512] ; [11.86046512 33.13953488],0
s2,1,0.75209,0.099783,[ 38 105] ; [23 70],[ 36.96186441 106.03813559] ; [24.03813559 68.96186441],0
p1,1,0.763652,0.090413,[ 12 130] ; [ 7 88],[ 11.38396624 130.61603376] ; [ 7.61603376 87.38396624],0
a4,1,0.792534,0.06918,[ 35 107] ; [22 73],[ 34.15189873 107.84810127] ; [22.84810127 72.15189873],0
a1,1,0.849073,0.036215,[ 10 134] ; [ 6 89],[  9.64016736 134.35983264] ; [ 6.35983264 88.64016736],0
s5,1,0.862427,0.030028,[ 24 114] ; [17 76],[ 24.49350649 113.50649351] ; [16.50649351 76.49350649],0
u3,1,0.918747,0.010407,[35 45] ; [21 26],[35.27559055 44.72440945] ; [20.72440945 26.27559055],0
p2,1,0.920068,0.01007,[98 45] ; [65 29],[98.35021097 44.64978903] ; [64.64978903 29.35021097],0
u2,1,0.941249,0.005432,[34 47] ; [19 27],[33.80314961 47.19685039] ; [19.19685039 26.80314961],0
n5,1,0.951476,0.003703,[88 54] ; [58 35],[88.2212766 53.7787234] ; [57.7787234 35.2212766],0
