Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,3e-06,21.648995,[39 17] ; [20 51],[26.01574803 29.98425197] ; [32.98425197 38.01574803],1
v3,1,2.9e-05,17.481657,[33 25] ; [15 56],[21.58139535 36.41860465] ; [26.41860465 44.58139535],1
r3,1,0.000165,14.190012,[57  1] ; [53 18],[49.45736434  8.54263566] ; [60.54263566 10.45736434],1
p3,1,0.002515,9.129638,[32 24] ; [22 50],[23.625 32.375] ; [30.375 41.625],0
p7,1,0.002869,8.888822,[37 19] ; [28 43],[28.66141732 27.33858268] ; [36.33858268 34.66141732],0
r1,1,0.004384,8.117588,[48 10] ; [43 29],[40.6 17.4] ; [50.4 21.6],0
p8,1,0.007592,7.127193,[35 21] ; [27 43],[27.55555556 28.44444444] ; [34.44444444 35.55555556],0
a7,1,0.01168,6.358773,[41 16] ; [36 36],[34.02325581 22.97674419] ; [42.97674419 29.02325581],0
p6,1,0.0132,6.142068,[26 30] ; [18 53],[19.4015748 36.5984252] ; [24.5984252 46.4015748],0
r4,1,0.013506,6.101533,[52  6] ; [52 20],[46.4 11.6] ; [57.6 14.4],0
p11,1,0.016847,5.71222,[48 10] ; [46 26],[41.93846154 16.06153846] ; [52.06153846 19.93846154],0
p10,1,0.021423,5.292075,[45 11] ; [43 27],[39.11111111 16.88888889] ; [48.88888889 21.11111111],0
u2,1,0.023669,5.11875,[15  9] ; [13 26],[10.66666667 13.33333333] ; [17.33333333 21.66666667],0
a5,1,0.027212,4.877315,[38 19] ; [34 38],[31.81395349 25.18604651] ; [40.18604651 31.81395349],0
v4,1,0.044803,4.026039,[54  3] ; [60 12],[50.37209302  6.62790698] ; [63.62790698  8.37209302],0
d3,1,0.047508,3.927316,[28 29] ; [23 49],[22.53488372 34.46511628] ; [28.46511628 43.53488372],0
p2,1,0.059372,3.554844,[43 13] ; [44 28],[38.0625 17.9375] ; [48.9375 23.0625],0
s4,1,0.060161,3.53294,[ 5 52] ; [15 57],[ 8.8372093 48.1627907] ; [11.1627907 60.8372093],0
s1,1,0.062975,3.457247,[ 1 55] ; [ 7 64],[ 3.52755906 52.47244094] ; [ 4.47244094 66.52755906],0
s8,1,0.073445,3.204288,[22 35] ; [17 54],[17.3671875 39.6328125] ; [21.6328125 49.3671875],0
a6,1,0.08068,3.051142,[38 19] ; [37 35],[33.13953488 23.86046512] ; [41.86046512 30.13953488],0
n6,1,0.084691,2.972491,[51  7] ; [54 17],[47.20930233 10.79069767] ; [57.79069767 13.20930233],0
p9,1,0.096814,2.757257,[45 11] ; [47 23],[40.88888889 15.11111111] ; [51.11111111 18.88888889],0
n3,1,0.119776,2.420247,[8 1] ; [12  8],[6.20689655 2.79310345] ; [13.79310345  6.20689655],0
u3,1,0.138364,2.196055,[15 10] ; [16 23],[12.109375 12.890625] ; [18.890625 20.109375],0
r2,1,0.146106,2.112446,[53  4] ; [61 11],[50.37209302  6.62790698] ; [63.62790698  8.37209302],0
b3,1,0.195995,1.671967,[14 28] ; [22 25],[16.98876404 25.01123596] ; [19.01123596 27.98876404],0
b2,1,0.195995,1.671967,[14 28] ; [22 25],[16.98876404 25.01123596] ; [19.01123596 27.98876404],0
a3,1,0.227723,1.455029,[33 24] ; [33 37],[29.62204724 27.37795276] ; [36.37795276 33.62204724],0
n2,1,0.231705,1.430363,[8 1] ; [15  7],[6.67741935 2.32258065] ; [16.32258065  5.67741935],0
p4,1,0.284893,1.143602,[29 27] ; [30 41],[26.01574803 29.98425197] ; [32.98425197 38.01574803],0
p12,1,0.29122,1.113972,[ 6 50] ; [ 4 67],[ 4.40944882 51.59055118] ; [ 5.59055118 65.40944882],0
