Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.355489,[54 10] ; [ 7 20],[42.9010989 21.0989011] ; [18.0989011  8.9010989],1
s4,1,0.00727,7.205,[ 8 56] ; [10 17],[12.65934066 51.34065934] ; [ 5.34065934 21.65934066],0
p9,1,0.020251,5.390145,[53 10] ; [16 10],[48.84269663 14.15730337] ; [20.15730337  5.84269663],0
u3,1,0.039962,4.219481,[4 7] ; [6 1],[6.11111111 4.88888889] ; [3.88888889 3.11111111],0
p2,1,0.0572,3.616765,[45 17] ; [14 13],[41.1011236 20.8988764] ; [17.8988764  9.1011236],0
n3,1,0.075927,3.15,[14  6] ; [6 9],[11.42857143  8.57142857] ; [8.57142857 6.42857143],0
v2,1,0.085325,2.960431,[38 23] ; [11 15],[34.35632184 26.64367816] ; [14.64367816 11.35632184],0
n6,1,0.096945,2.755102,[52 11] ; [18  9],[49. 14.] ; [21.  6.],0
p10,1,0.104377,2.637363,[48 15] ; [16 11],[44.8 18.2] ; [19.2  7.8],0
v3,1,0.11643,2.464702,[26 36] ; [ 6 19],[22.8045977 39.1954023] ; [ 9.1954023 15.8045977],0
p6,1,0.135047,2.233509,[26 33] ; [ 7 19],[22.90588235 36.09411765] ; [10.09411765 15.90588235],0
p5,1,0.143235,2.142857,[ 9 54] ; [ 1 26],[ 7. 56.] ; [ 3. 24.],0
r4,1,0.157999,1.993277,[41 23] ; [13 14],[37.97802198 26.02197802] ; [16.02197802 10.97802198],0
a7,1,0.182752,1.775101,[38 26] ; [20  7],[40.79120879 23.20879121] ; [17.20879121  9.79120879],0
p11,1,0.184303,1.762582,[49 15] ; [17 10],[46.41758242 17.58241758] ; [19.58241758  7.41758242],0
s6,1,0.210093,1.570782,[33 30] ; [18  9],[35.7 27.3] ; [15.3 11.7],0
r2,1,0.213318,1.548761,[52  7] ; [21  6],[50.08139535  8.91860465] ; [22.91860465  4.08139535],0
r3,1,0.223257,1.483314,[53 11] ; [25  2],[54.85714286  9.14285714] ; [23.14285714  3.85714286],0
p7,1,0.230613,1.437075,[32 31] ; [10 17],[29.4 33.6] ; [12.6 14.4],0
a3,1,0.339105,0.913811,[53 11] ; [20  7],[51.34065934 12.65934066] ; [21.65934066  5.34065934],0
a1,1,0.353698,0.860147,[ 6 58] ; [ 1 26],[ 4.92307692 59.07692308] ; [ 2.07692308 24.92307692],0
d3,1,0.369633,0.804898,[52 12] ; [24  3],[53.45054945 10.54945055] ; [22.54945055  4.45054945],0
s1,1,0.371889,0.797342,[ 2 61] ; [ 2 25],[ 2.8 60.2] ; [ 1.2 25.8],0
s3,1,0.381602,0.765533,[32 31] ; [11 16],[30.1 32.9] ; [12.9 14.1],0
s5,1,0.406408,0.689283,[16 41] ; [10 17],[17.64285714 39.35714286] ; [ 8.35714286 18.64285714],0
a4,1,0.40751,0.686053,[34 29] ; [12 15],[32.2 30.8] ; [13.8 13.2],0
s8,1,0.430079,0.622609,[27 37] ; [ 9 18],[25.31868132 38.68131868] ; [10.68131868 16.31868132],0
d2,1,0.441105,0.593407,[47 16] ; [18  9],[45.5 17.5] ; [19.5  7.5],0
p4,1,0.470006,0.521962,[35 27] ; [13 14],[33.43820225 28.56179775] ; [14.56179775 12.43820225],0
u4,1,0.524506,0.405024,[ 1 63] ; [ 1 26],[ 1.40659341 62.59340659] ; [ 0.59340659 26.40659341],0
n1,1,0.528871,0.396561,[ 7 12] ; [ 4 11],[ 6.14705882 12.85294118] ; [ 4.85294118 10.14705882],0
n2,1,0.537371,0.380435,[14  6] ; [9 6],[13.14285714  6.85714286] ; [9.85714286 5.14285714],0
s2,1,0.568146,0.325795,[29 35] ; [14 13],[30.24175824 33.75824176] ; [12.75824176 14.24175824],0
u1,1,0.606351,0.265522,[ 7 57] ; [ 2 25],[ 6.32967033 57.67032967] ; [ 2.67032967 24.32967033],0
v1,1,0.607122,0.264387,[28 32] ; [11 16],[26.89655172 33.10344828] ; [12.10344828 14.89655172],0
a5,1,0.675234,0.17554,[50 14] ; [20  7],[49.23076923 14.76923077] ; [20.76923077  6.23076923],0
b4,1,0.705677,0.142633,[40 24] ; [18  9],[40.79120879 23.20879121] ; [17.20879121  9.79120879],0
p1,1,0.765604,0.088881,[ 8 56] ; [ 4 23],[ 8.43956044 55.56043956] ; [ 3.56043956 23.43956044],0
p8,1,0.784425,0.074833,[23 38] ; [ 9 17],[22.43678161 38.56321839] ; [ 9.56321839 16.43678161],0
b3,1,0.820734,0.051348,[16 25] ; [ 8 11],[16.4 24.6] ; [ 7.6 11.4],0
b2,1,0.820734,0.051348,[16 25] ; [ 8 11],[16.4 24.6] ; [ 7.6 11.4],0
b1,1,0.842468,0.039497,[27 37] ; [12 15],[27.42857143 36.57142857] ; [11.57142857 15.42857143],0
v4,1,0.844413,0.038515,[51 13] ; [22  5],[51.34065934 12.65934066] ; [21.65934066  5.34065934],0
a6,1,0.881112,0.022368,[39 25] ; [16 11],[38.68131868 25.31868132] ; [16.31868132 10.68131868],0
p3,1,0.8998,0.015854,[30 33] ; [12 14],[29.73033708 33.26966292] ; [12.26966292 13.73033708],0
s7,1,0.909393,0.012951,[25 37] ; [10 14],[25.23255814 36.76744186] ; [ 9.76744186 14.23255814],0
u2,1,0.913906,0.011688,[5 6] ; [3 4],[4.88888889 6.11111111] ; [3.11111111 3.88888889],0
b5,1,0.966736,0.001739,[40 24] ; [17 10],[40.08791209 23.91208791] ; [16.91208791 10.08791209],0
a2,1,0.979353,0.00067,[12 52] ; [ 5 22],[11.95604396 52.04395604] ; [ 5.04395604 21.95604396],0
