Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,8e-06,20.054191,[ 3 21] ; [37 18],[12.15189873 11.84810127] ; [27.84810127 27.15189873],1
d4,1,2e-05,18.170883,[ 9 15] ; [46  8],[16.92307692  7.07692308] ; [38.07692308 15.92307692],1
a6,1,0.00092,10.982081,[ 6 18] ; [36 19],[12.75949367 11.24050633] ; [29.24050633 25.75949367],1
a5,1,0.00304,8.783455,[ 8 16] ; [38 17],[13.97468354 10.02531646] ; [32.02531646 22.97468354],0
v3,1,0.007358,7.183495,[ 1 23] ; [17 36],[ 5.61038961 18.38961039] ; [12.38961039 40.61038961],0
a4,1,0.014633,5.960084,[ 4 20] ; [25 30],[ 8.81012658 15.18987342] ; [20.18987342 34.81012658],0
d2,1,0.015648,5.842052,[ 5 19] ; [27 27],[ 9.84615385 14.15384615] ; [22.15384615 31.84615385],0
a7,1,0.023357,5.141727,[ 8 16] ; [33 21],[12.61538462 11.38461538] ; [28.38461538 25.61538462],0
s4,1,0.061568,3.494624,[ 8 16] ; [ 8 46],[ 4.92307692 19.07692308] ; [11.07692308 42.92307692],0
p5,1,0.067155,3.351221,[ 1 23] ; [11 43],[ 3.69230769 20.30769231] ; [ 8.30769231 45.69230769],0
s2,1,0.079476,3.075585,[ 6 18] ; [24 28],[ 9.47368421 14.52631579] ; [20.52631579 31.47368421],0
v2,1,0.080491,3.054963,[ 8 15] ; [30 23],[11.5 11.5] ; [26.5 26.5],0
p3,1,0.088068,2.909344,[ 5 19] ; [22 32],[ 8.30769231 15.69230769] ; [18.69230769 35.30769231],0
r2,1,0.092027,2.838546,[10 13] ; [31 17],[13.28169014  9.71830986] ; [27.71830986 20.28169014],0
r1,1,0.095394,2.780911,[ 3 21] ; [16 37],[ 5.92207792 18.07792208] ; [13.07792208 39.92207792],0
a3,1,0.102298,2.669346,[11 13] ; [36 19],[14.27848101  9.72151899] ; [32.72151899 22.27848101],0
p9,1,0.109072,2.567616,[16  8] ; [44  9],[18.7012987  5.2987013] ; [41.2987013 11.7012987],0
v1,1,0.121026,2.403991,[ 6 17] ; [23 28],[ 9.01351351 13.98648649] ; [19.98648649 31.01351351],0
s6,1,0.138701,2.192308,[ 9 15] ; [29 23],[12. 12.] ; [26. 26.],0
p4,1,0.141032,2.166667,[ 9 15] ; [30 24],[12. 12.] ; [27. 27.],0
p10,1,0.159877,1.975389,[15  9] ; [39 11],[17.51351351  6.48648649] ; [36.48648649 13.51351351],0
s7,1,0.170908,1.874958,[ 7 15] ; [26 27],[ 9.68 12.32] ; [23.32 29.68],0
u3,1,0.171188,1.872513,[4 9] ; [10  8],[5.87096774 7.12903226] ; [8.12903226 9.87096774],0
s5,1,0.185557,1.752546,[ 3 20] ; [14 38],[ 5.21333333 17.78666667] ; [11.78666667 40.21333333],0
n6,1,0.191207,1.708292,[15  9] ; [40 12],[17.36842105  6.63157895] ; [37.63157895 14.36842105],0
s3,1,0.224913,1.472744,[ 8 15] ; [25 25],[10.39726027 12.60273973] ; [22.60273973 27.39726027],0
n4,1,0.266376,1.235314,[13 11] ; [37 18],[15.18987342  8.81012658] ; [34.81012658 20.18987342],0
p6,1,0.289314,1.122809,[ 5 19] ; [17 35],[ 6.94736842 17.05263158] ; [15.05263158 36.94736842],0
b2,1,0.37777,0.777947,[ 2 11] ; [11 29],[3.18867925 9.81132075] ; [ 9.81132075 30.18867925],0
b3,1,0.37777,0.777947,[ 2 11] ; [11 29],[3.18867925 9.81132075] ; [ 9.81132075 30.18867925],0
u2,1,0.408942,0.681875,[6 7] ; [11  7],[7.12903226 5.87096774] ; [9.87096774 8.12903226],0
b1,1,0.409047,0.681569,[12 12] ; [22 33],[10.32911392 13.67088608] ; [23.67088608 31.32911392],0
n1,1,0.409328,0.680751,[3 7] ; [10 12],[4.0625 5.9375] ; [ 8.9375 13.0625],0
n5,1,0.450594,0.569157,[15  9] ; [37 15],[16.42105263  7.57894737] ; [35.57894737 16.42105263],0
r3,1,0.529119,0.396084,[16  7] ; [39 12],[17.09459459  5.90540541] ; [37.90540541 13.09459459],0
a8,1,0.539055,0.377295,[ 1 22] ; [ 4 44],[ 1.61971831 21.38028169] ; [ 3.38028169 44.61971831],0
b4,1,0.655129,0.199495,[14 10] ; [35 20],[14.88607595  9.11392405] ; [34.11392405 20.88607595],0
n2,1,0.659658,0.193939,[7 3] ; [17  5],[7.5 2.5] ; [16.5  5.5],0
p1,1,0.663264,0.189583,[ 3 21] ; [ 5 49],[ 2.46153846 21.53846154] ; [ 5.53846154 48.46153846],0
s8,1,0.743591,0.106996,[ 8 16] ; [16 38],[ 7.38461538 16.61538462] ; [16.61538462 37.38461538],0
b5,1,0.856536,0.032683,[13 11] ; [31 24],[13.36708861 10.63291139] ; [30.63291139 24.36708861],0
v4,1,0.858152,0.031943,[15  8] ; [33 16],[15.33333333  7.66666667] ; [32.66666667 16.33333333],0
s1,1,0.909704,0.012862,[ 1 23] ; [ 2 53],[ 0.91139241 23.08860759] ; [ 2.08860759 52.91139241],0
p8,1,0.964171,0.002018,[11 13] ; [24 29],[10.90909091 13.09090909] ; [24.09090909 28.90909091],0
p2,1,0.974585,0.001015,[19  5] ; [41 11],[18.94736842  5.05263158] ; [41.05263158 10.94736842],0
p7,1,0.984004,0.000402,[12 11] ; [27 25],[11.96 11.04] ; [27.04 24.96],0
