Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0009,11.023706,[10 35] ; [14  8],[16.11940299 28.88059701] ; [ 7.88059701 14.11940299],1
v4,1,0.048379,3.896776,[22 23] ; [17  6],[25.80882353 19.19117647] ; [13.19117647  9.80882353],0
p2,1,0.05562,3.663409,[14 32] ; [12 10],[17.58823529 28.41176471] ; [ 8.41176471 13.58823529],0
s7,1,0.05864,3.575437,[ 5 36] ; [ 7 15],[ 7.80952381 33.19047619] ; [ 4.19047619 17.80952381],0
a3,1,0.059524,3.550605,[22 22] ; [17  6],[25.6119403 18.3880597] ; [13.3880597  9.6119403],0
s8,1,0.069885,3.285714,[ 2 44] ; [ 4 19],[ 4. 42.] ; [ 2. 21.],0
n2,1,0.098281,2.733211,[ 8 16] ; [8 5],[10.37837838 13.62162162] ; [5.62162162 7.37837838],0
s2,1,0.10661,2.603774,[ 8 38] ; [ 8 15],[10.66666667 35.33333333] ; [ 5.33333333 17.66666667],0
r2,1,0.134087,2.244538,[23 20] ; [16  6],[25.8 17.2] ; [13.2  8.8],0
b4,1,0.173149,1.855462,[20 26] ; [14  9],[22.66666667 23.33333333] ; [11.33333333 11.66666667],0
p7,1,0.177458,1.818783,[10 35] ; [ 8 13],[12.27272727 32.72727273] ; [ 5.72727273 15.27272727],0
a4,1,0.181051,1.788975,[17 28] ; [ 5 18],[14.55882353 30.44117647] ; [ 7.44117647 15.55882353],0
a2,1,0.183702,1.767418,[ 7 39] ; [ 1 22],[ 5.33333333 40.66666667] ; [ 2.66666667 20.33333333],0
n3,1,0.225038,1.47195,[ 8 16] ; [7 6],[ 9.72972973 14.27027027] ; [5.27027027 7.72972973],0
r1,1,0.228949,1.447378,[13 32] ; [10 13],[15.22058824 29.77941176] ; [ 7.77941176 15.22058824],0
n1,1,0.240545,1.377398,[ 8 16] ; [ 2 11],[ 6.48648649 17.51351351] ; [3.51351351 9.48648649],0
p8,1,0.241701,1.370648,[ 5 40] ; [ 5 18],[ 6.61764706 38.38235294] ; [ 3.38235294 19.61764706],0
s5,1,0.270622,1.213594,[ 4 41] ; [ 4 18],[ 5.37313433 39.62686567] ; [ 2.62686567 19.37313433],0
d4,1,0.283549,1.15,[28 18] ; [17  6],[30. 16.] ; [15.  8.],0
d3,1,0.29086,1.115638,[23 23] ; [14  8],[25.02941176 20.97058824] ; [11.97058824 10.02941176],0
v1,1,0.292578,1.107722,[12 33] ; [ 9 14],[13.89705882 31.10294118] ; [ 7.10294118 15.89705882],0
a6,1,0.306556,1.045455,[24 22] ; [ 9 14],[22. 24.] ; [11. 12.],0
s6,1,0.313208,1.017099,[ 9 37] ; [ 7 16],[10.66666667 35.33333333] ; [ 5.33333333 17.66666667],0
p6,1,0.319812,0.989717,[ 4 40] ; [ 4 19],[ 5.25373134 38.74626866] ; [ 2.74626866 20.25373134],0
n4,1,0.3388,0.914966,[27 18] ; [11 12],[25.14705882 19.85294118] ; [12.85294118 10.14705882],0
a7,1,0.441915,0.591304,[21 24] ; [13 10],[22.5 22.5] ; [11.5 11.5],0
b3,1,0.442068,0.590909,[14 14] ; [4 7],[12.92307692 15.07692308] ; [5.07692308 5.92307692],0
b2,1,0.442068,0.590909,[14 14] ; [4 7],[12.92307692 15.07692308] ; [5.07692308 5.92307692],0
b1,1,0.478702,0.501818,[28 18] ; [16  7],[29.33333333 16.66666667] ; [14.66666667  8.33333333],0
d5,1,0.490303,0.475862,[28 18] ; [12 11],[26.66666667 19.33333333] ; [13.33333333  9.66666667],0
b5,1,0.494733,0.466216,[26 20] ; [11 12],[24.66666667 21.33333333] ; [12.33333333 10.66666667],0
a5,1,0.495823,0.463866,[24 22] ; [10 13],[22.66666667 23.33333333] ; [11.33333333 11.66666667],0
u3,1,0.517309,0.419255,[ 5 19] ; [2 4],[ 5.6 18.4] ; [1.4 4.6],0
r3,1,0.524748,0.404551,[16 29] ; [10 13],[17.20588235 27.79411765] ; [ 8.79411765 14.20588235],0
v3,1,0.566835,0.328007,[ 9 36] ; [ 6 17],[ 9.92647059 35.07352941] ; [ 5.07352941 17.92647059],0
s1,1,0.574408,0.315362,[ 6 39] ; [ 2 21],[ 5.29411765 39.70588235] ; [ 2.70588235 20.29411765],0
s3,1,0.618705,0.247691,[13 32] ; [ 8 15],[13.89705882 31.10294118] ; [ 7.10294118 15.89705882],0
s4,1,0.628648,0.233898,[ 6 40] ; [ 4 19],[ 6.66666667 39.33333333] ; [ 3.33333333 19.66666667],0
a1,1,0.641873,0.216301,[ 8 38] ; [ 3 20],[ 7.33333333 38.66666667] ; [ 3.66666667 19.33333333],0
p3,1,0.702452,0.145934,[10 35] ; [ 4 18],[ 9.40298507 35.59701493] ; [ 4.59701493 17.40298507],0
v2,1,0.727843,0.121102,[12 33] ; [ 5 17],[11.41791045 33.58208955] ; [ 5.58208955 16.41791045],0
d2,1,0.782758,0.076025,[18 27] ; [10 13],[18.52941176 26.47058824] ; [ 9.47058824 13.52941176],0
n6,1,0.80199,0.062887,[19 26] ; [10 12],[19.47761194 25.52238806] ; [ 9.52238806 12.47761194],0
d1,1,0.860556,0.030859,[17 29] ; [ 9 14],[17.33333333 28.66666667] ; [ 8.66666667 14.33333333],0
u2,1,0.891289,0.01868,[ 7 16] ; [2 4],[ 7.13793103 15.86206897] ; [1.86206897 4.13793103],0
p4,1,0.92675,0.008452,[10 36] ; [ 5 17],[10.14705882 35.85294118] ; [ 4.85294118 17.14705882],0
n5,1,0.939486,0.005763,[25 20] ; [13 10],[25.14705882 19.85294118] ; [12.85294118 10.14705882],0
p1,1,1.0,0.0,[ 4 42] ; [ 2 21],[ 4. 42.] ; [ 2. 21.],0
