Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,95.042679,[563  45] ; [12 19],[547.10485133  60.89514867] ; [27.89514867  3.10485133],1
r2,1,0.0,92.111256,[578  24] ; [16 14],[565.80379747  36.19620253] ; [28.19620253  1.80379747],1
r1,1,0.0,26.820264,[489 116] ; [13 18],[477.53144654 127.46855346] ; [24.46855346  6.53144654],1
r3,1,7.8e-05,15.611413,[583  25] ; [24  6],[578.45768025  29.54231975] ; [28.54231975  1.45768025],1
d3,1,0.001736,9.80954,[417 188] ; [13 18],[409.0408805 195.9591195] ; [20.9591195 10.0408805],0
s7,1,0.001878,9.664787,[292 289] ; [ 6 23],[283.83278689 297.16721311] ; [14.16721311 14.83278689],0
d1,1,0.002047,9.507223,[366 242] ; [10 21],[357.75899844 250.24100156] ; [18.24100156 12.75899844],0
p8,1,0.003694,8.428335,[334 266] ; [ 9 22],[326.14896989 273.85103011] ; [16.85103011 14.14896989],0
v1,1,0.003958,8.302905,[343 243] ; [10 21],[335.26418152 250.73581848] ; [17.73581848 13.26418152],0
n6,1,0.004853,7.933411,[518  87] ; [20 10],[512.58267717  92.41732283] ; [25.41732283  4.58267717],0
p2,1,0.005561,7.68742,[529  75] ; [21  9],[523.97476341  80.02523659] ; [26.02523659  3.97476341],0
s6,1,0.005612,7.670933,[400 202] ; [12 17],[393.06497623 208.93502377] ; [18.93502377 10.06497623],0
p4,1,0.007925,7.050335,[377 226] ; [12 19],[369.97949527 233.02050473] ; [19.02050473 11.97949527],0
p7,1,0.008308,6.96578,[387 206] ; [13 18],[380.12820513 212.87179487] ; [19.87179487 11.12820513],0
a7,1,0.00849,6.927154,[445 162] ; [16 15],[438.60031348 168.39968652] ; [22.39968652  8.60031348],0
u3,1,0.009049,6.813143,[96 68] ; [2 9],[91.84 72.16] ; [6.16 4.84],0
p10,1,0.022622,5.197319,[545  59] ; [24  7],[541.22204724  62.77795276] ; [27.77795276  3.22204724],0
p11,1,0.022928,5.173921,[508 100] ; [21 10],[503.33646322 104.66353678] ; [25.66353678  5.33646322],0
p3,1,0.024919,5.029521,[320 285] ; [10 21],[313.91509434 291.08490566] ; [16.08490566 14.91509434],0
b1,1,0.029324,4.7485,[216 392] ; [17 14],[221.69640063 386.30359937] ; [11.30359937 19.69640063],0
s2,1,0.033417,4.524271,[294 311] ; [ 9 22],[288.23113208 316.76886792] ; [14.76886792 16.23113208],0
a6,1,0.043718,4.067436,[417 188] ; [16 15],[411.89465409 193.10534591] ; [21.10534591  9.89465409],0
v2,1,0.053296,3.734622,[345 235] ; [13 18],[339.83633388 240.16366612] ; [18.16366612 12.83633388],0
