Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.1e-05,17.365637,[77 23] ; [14 22],[66.91176471 33.08823529] ; [24.08823529 11.91176471],1
n5,1,8.6e-05,15.416786,[77 24] ; [14 21],[67.58088235 33.41911765] ; [23.41911765 11.58088235],1
r4,1,0.000303,13.051181,[91 10] ; [23 13],[84.04379562 16.95620438] ; [29.95620438  6.04379562],1
s8,1,0.002377,9.232897,[52 49] ; [ 8 28],[44.23357664 56.76642336] ; [15.76642336 20.23357664],0
p2,1,0.004505,8.067973,[82 18] ; [21 15],[75.73529412 24.26470588] ; [27.26470588  8.73529412],0
r1,1,0.006719,7.346566,[79 21] ; [20 16],[72.79411765 27.20588235] ; [26.20588235  9.79411765],0
p10,1,0.007263,7.206723,[83 17] ; [22 14],[77.20588235 22.79411765] ; [27.79411765  8.20588235],0
r3,1,0.008177,6.994286,[92  8] ; [27  9],[87.5 12.5] ; [31.5  4.5],0
p4,1,0.008202,6.988897,[59 41] ; [12 24],[52.20588235 47.79411765] ; [18.79411765 17.20588235],0
s6,1,0.016324,5.76762,[73 25] ; [19 17],[67.28358209 30.71641791] ; [24.71641791 11.28358209],0
a5,1,0.017101,5.685942,[75 26] ; [19 17],[69.29927007 31.70072993] ; [24.70072993 11.29927007],0
d2,1,0.023897,5.102102,[57 44] ; [12 23],[51.24264706 49.75735294] ; [17.75735294 17.24264706],0
v4,1,0.026341,4.933472,[96  5] ; [30  6],[92.89051095  8.10948905] ; [33.10948905  2.89051095],0
u2,1,0.054116,3.709123,[11 21] ; [8 4],[13.81818182 18.18181818] ; [5.18181818 6.81818182],0
p7,1,0.054495,3.697483,[57 42] ; [14 22],[52.06666667 46.93333333] ; [18.93333333 17.06666667],0
v2,1,0.055934,3.654014,[52 47] ; [11 22],[47.25 51.75] ; [15.75 17.25],0
r2,1,0.061129,3.506494,[96  3] ; [32  4],[93.86666667  5.13333333] ; [34.13333333  1.86666667],0
a1,1,0.08092,3.046328,[ 2 99] ; [ 3 33],[ 3.68613139 97.31386861] ; [ 1.31386861 34.68613139],0
p6,1,0.087769,2.914828,[41 59] ; [ 9 27],[36.76470588 63.23529412] ; [13.23529412 22.76470588],0
u1,1,0.091315,2.851041,[21 80] ; [ 3 33],[17.69343066 83.30656934] ; [ 6.30656934 29.69343066],0
s7,1,0.112552,2.518014,[55 39] ; [15 20],[51.00775194 42.99224806] ; [18.99224806 16.00775194],0
d1,1,0.120933,2.405199,[60 41] ; [16 20],[56.02919708 44.97080292] ; [19.97080292 16.02919708],0
d5,1,0.184314,1.762493,[82 18] ; [25 10],[79.25925926 20.74074074] ; [27.74074074  7.25925926],0
p8,1,0.191902,1.702957,[37 63] ; [ 9 27],[33.82352941 66.17647059] ; [12.17647059 23.82352941],0
s5,1,0.208971,1.578541,[40 56] ; [ 9 22],[37.03937008 58.96062992] ; [11.96062992 19.03937008],0
a4,1,0.212237,1.556101,[51 49] ; [14 22],[47.79411765 52.20588235] ; [17.20588235 18.79411765],0
s2,1,0.278383,1.174966,[61 40] ; [18 18],[58.24087591 42.75912409] ; [20.75912409 15.24087591],0
n2,1,0.279651,1.168786,[27  8] ; [8 5],[25.52083333  9.47916667] ; [9.47916667 3.52083333],0
p3,1,0.310877,1.026945,[43 57] ; [12 24],[40.44117647 59.55882353] ; [14.55882353 21.44117647],0
n1,1,0.312326,1.020814,[16 18] ; [4 9],[14.46808511 19.53191489] ; [5.53191489 7.46808511],0
n3,1,0.348443,0.879121,[25 10] ; [11  2],[26.25  8.75] ; [9.75 3.25],0
b1,1,0.395816,0.721002,[45 56] ; [19 17],[47.18248175 53.81751825] ; [16.81751825 19.18248175],0
s3,1,0.41428,0.666483,[60 39] ; [19 17],[57.93333333 41.06666667] ; [21.06666667 14.93333333],0
p5,1,0.420134,0.64994,[10 90] ; [ 2 34],[ 8.82352941 91.17647059] ; [ 3.17647059 32.82352941],0
s1,1,0.474984,0.510357,[ 5 94] ; [ 3 33],[ 5.86666667 93.13333333] ; [ 2.13333333 33.86666667],0
a3,1,0.545568,0.365317,[68 30] ; [23 13],[66.55223881 31.44776119] ; [24.44776119 11.55223881],0
a7,1,0.573926,0.316158,[73 27] ; [28  8],[74.26470588 25.73529412] ; [26.73529412  9.26470588],0
u3,1,0.622101,0.242926,[16 16] ; [7 5],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
a6,1,0.648536,0.207751,[62 39] ; [23 12],[63.125 37.875] ; [21.875 13.125],0
a2,1,0.674591,0.176279,[26 75] ; [ 8 28],[25.06569343 75.93430657] ; [ 8.93430657 27.06569343],0
s4,1,0.678468,0.171855,[23 78] ; [ 7 29],[22.11678832 78.88321168] ; [ 7.88321168 28.11678832],0
a8,1,0.710068,0.138209,[12 74] ; [ 4 31],[11.37190083 74.62809917] ; [ 4.62809917 30.37190083],0
d3,1,0.712066,0.136222,[71 29] ; [23 11],[70.14925373 29.85074627] ; [23.85074627 10.14925373],0
b3,1,0.781637,0.076832,[14 35] ; [ 4 12],[13.56923077 35.43076923] ; [ 4.43076923 11.56923077],0
b2,1,0.781637,0.076832,[14 35] ; [ 4 12],[13.56923077 35.43076923] ; [ 4.43076923 11.56923077],0
d4,1,0.824445,0.049209,[79 22] ; [28  7],[79.46323529 21.53676471] ; [27.53676471  7.46323529],0
p1,1,0.836933,0.042361,[10 91] ; [ 4 32],[10.32116788 90.67883212] ; [ 3.67883212 32.32116788],0
b4,1,0.845727,0.037859,[58 43] ; [20 16],[57.50364964 43.49635036] ; [20.49635036 15.50364964],0
v3,1,0.885805,0.020625,[33 67] ; [11 21],[33.33333333 66.66666667] ; [10.66666667 21.33333333],0
v1,1,0.981725,0.000525,[47 53] ; [17 19],[47.05882353 52.94117647] ; [16.94117647 19.05882353],0
b5,1,0.987741,0.000236,[70 31] ; [25 11],[70.03649635 30.96350365] ; [24.96350365 11.03649635],0
