Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7.5e-05,15.692752,[ 2 10] ; [40 12],[7.875 4.125] ; [34.125 17.875],1
n5,1,0.000825,11.183824,[5 7] ; [44  7],[9.33333333 2.66666667] ; [39.66666667 11.33333333],1
d2,1,0.002166,9.403337,[ 2 10] ; [34 18],[6.75 5.25] ; [29.25 22.75],0
n6,1,0.002276,9.312406,[7 5] ; [48  4],[10.3125  1.6875] ; [44.6875  7.3125],0
v3,1,0.002353,9.25179,[2 9] ; [34 16],[6.49180328 4.50819672] ; [29.50819672 20.49180328],0
p11,1,0.005845,7.597341,[7 5] ; [47  5],[10.125  1.875] ; [43.875  8.125],0
a4,1,0.027001,4.890741,[ 2 10] ; [27 25],[5.4375 6.5625] ; [23.5625 28.4375],0
d5,1,0.041413,4.159045,[6 6] ; [41 11],[8.8125 3.1875] ; [38.1875 13.8125],0
p8,1,0.041576,4.152393,[4 8] ; [34 18],[7.125 4.875] ; [30.875 21.125],0
p3,1,0.075843,3.151811,[4 8] ; [32 20],[6.75 5.25] ; [29.25 22.75],0
a5,1,0.098169,2.735043,[7 5] ; [42 10],[9.1875 2.8125] ; [39.8125 12.1875],0
r1,1,0.098169,2.735043,[7 5] ; [42 10],[9.1875 2.8125] ; [39.8125 12.1875],0
d4,1,0.100033,2.705018,[8 4] ; [45  7],[9.9375 2.0625] ; [43.0625  8.9375],0
s5,1,0.199512,1.645945,[ 1 11] ; [12 35],[2.6440678 9.3559322] ; [10.3559322 36.6440678],0
p6,1,0.203243,1.618916,[3 9] ; [23 28],[4.95238095 7.04761905] ; [21.04761905 29.95238095],0
v1,1,0.208962,1.578604,[5 7] ; [32 20],[6.9375 5.0625] ; [30.0625 21.9375],0
r2,1,0.21369,1.546247,[10  2] ; [48  3],[11.04761905  0.95238095] ; [46.95238095  4.04761905],0
r4,1,0.226611,1.462005,[9 3] ; [46  6],[10.3125  1.6875] ; [44.6875  7.3125],0
p9,1,0.238455,1.389706,[9 3] ; [45  6],[10.28571429  1.71428571] ; [43.71428571  7.28571429],0
b2,1,0.252461,1.309634,[2 4] ; [25 18],[3.30612245 2.69387755] ; [23.69387755 19.30612245],0
b3,1,0.252461,1.309634,[2 4] ; [25 18],[3.30612245 2.69387755] ; [23.69387755 19.30612245],0
a2,1,0.252511,1.309355,[ 1 11] ; [12 40],[2.4375 9.5625] ; [10.5625 41.4375],0
v2,1,0.282332,1.155828,[6 5] ; [37 15],[7.50793651 3.49206349] ; [35.49206349 16.50793651],0
r3,1,0.33636,0.924256,[10  2] ; [48  4],[10.875  1.125] ; [47.125  4.875],0
s4,1,0.33636,0.924256,[ 2 10] ; [ 4 48],[ 1.125 10.875] ; [ 4.875 47.125],0
p7,1,0.347895,0.881119,[6 5] ; [36 16],[7.33333333 3.66666667] ; [34.66666667 17.33333333],0
u1,1,0.367095,0.813476,[ 1 11] ; [10 42],[2.0625 9.9375] ; [ 8.9375 43.0625],0
d3,1,0.387771,0.745921,[7 5] ; [37 15],[8.25 3.75] ; [35.75 16.25],0
s7,1,0.395079,0.723252,[8 4] ; [26 23],[6.68852459 5.31147541] ; [27.31147541 21.68852459],0
b5,1,0.446669,0.579091,[7 5] ; [24 28],[5.8125 6.1875] ; [25.1875 26.8125],0
p5,1,0.512265,0.429437,[ 2 10] ; [ 5 45],[ 1.35483871 10.64516129] ; [ 5.64516129 44.35483871],0
p10,1,0.559475,0.340614,[9 3] ; [42  9],[9.71428571 2.28571429] ; [41.28571429  9.71428571],0
n3,1,0.57077,0.321396,[2 1] ; [9 2],[2.35714286 0.64285714] ; [8.64285714 2.35714286],0
s3,1,0.582589,0.302068,[4 8] ; [21 29],[4.83870968 7.16129032] ; [20.16129032 29.83870968],0
a8,1,0.687594,0.161702,[2 8] ; [ 7 40],[1.57894737 8.42105263] ; [ 7.42105263 39.57894737],0
a7,1,0.759094,0.094047,[8 4] ; [37 15],[8.4375 3.5625] ; [36.5625 15.4375],0
s2,1,0.763776,0.090316,[4 8] ; [19 31],[4.4516129 7.5483871] ; [18.5483871 31.4516129],0
b1,1,0.834776,0.043505,[4 8] ; [19 33],[4.3125 7.6875] ; [18.6875 33.3125],0
p4,1,0.837472,0.042078,[7 5] ; [32 20],[7.3125 4.6875] ; [31.6875 20.3125],0
a3,1,0.837472,0.042078,[10  2] ; [42 10],[9.75 2.25] ; [42.25  9.75],0
n1,1,0.905581,0.014069,[1 1] ; [6 5],[1.07692308 0.92307692] ; [5.92307692 5.07692308],0
p2,1,0.912209,0.012156,[10  2] ; [44  8],[10.125  1.875] ; [43.875  8.125],0
b4,1,0.935037,0.006644,[7 5] ; [31 21],[7.125 4.875] ; [30.875 21.125],0
a6,1,0.935037,0.006644,[7 5] ; [31 21],[7.125 4.875] ; [30.875 21.125],0
