Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.773089,[19 55] ; [29 10],[31.43362832 42.56637168] ; [16.56637168 22.43362832],1
r3,1,0.001852,9.690916,[54 23] ; [38  2],[60.54700855 16.45299145] ; [31.45299145  8.54700855],0
p6,1,0.002665,9.02389,[ 8 66] ; [13 25],[13.875 60.125] ; [ 7.125 30.875],0
v2,1,0.002799,8.934328,[21 52] ; [22 16],[28.27927928 44.72072072] ; [14.72072072 23.27927928],0
p3,1,0.003181,8.700485,[16 60] ; [19 21],[22.93103448 53.06896552] ; [12.06896552 27.93103448],0
r4,1,0.006092,7.522921,[44 33] ; [33  7],[50.67521368 26.32478632] ; [26.32478632 13.67521368],0
s6,1,0.008043,7.023799,[23 54] ; [22 18],[29.61538462 47.38461538] ; [15.38461538 24.61538462],0
p4,1,0.012547,6.231881,[22 54] ; [21 19],[28.17241379 47.82758621] ; [14.82758621 25.17241379],0
s8,1,0.031162,4.643991,[ 9 68] ; [11 29],[13.16239316 63.83760684] ; [ 6.83760684 33.16239316],0
n4,1,0.032384,4.578035,[43 34] ; [14 26],[37.51282051 39.48717949] ; [19.48717949 20.51282051],0
p2,1,0.037312,4.336124,[42 34] ; [30 10],[47.17241379 28.82758621] ; [24.82758621 15.17241379],0
b5,1,0.043905,4.060211,[41 36] ; [29 11],[46.06837607 30.93162393] ; [23.93162393 16.06837607],0
p10,1,0.050772,3.815789,[33 43] ; [25 15],[38. 38.] ; [20. 20.],0
v3,1,0.060493,3.52381,[14 60] ; [13 24],[18. 56.] ; [ 9. 28.],0
p11,1,0.060689,3.518466,[36 41] ; [26 14],[40.8034188 36.1965812] ; [21.1965812 18.8034188],0
r1,1,0.065864,3.383206,[46 30] ; [31  9],[50.44827586 25.55172414] ; [26.55172414 13.44827586],0
a5,1,0.106747,2.601725,[40 37] ; [27 13],[44.09401709 32.90598291] ; [22.90598291 17.09401709],0
a6,1,0.134632,2.238261,[45 32] ; [29 11],[48.7008547 28.2991453] ; [25.2991453 14.7008547],0
v4,1,0.135036,2.233636,[56 21] ; [34  6],[59.23076923 17.76923077] ; [30.76923077  9.23076923],0
d3,1,0.156217,2.01047,[37 39] ; [25 15],[40.62068966 35.37931034] ; [21.37931034 18.62068966],0
a7,1,0.17233,1.862558,[46 31] ; [29 11],[49.35897436 27.64102564] ; [25.64102564 14.35897436],0
a4,1,0.17233,1.862558,[31 46] ; [11 29],[27.64102564 49.35897436] ; [14.35897436 25.64102564],0
d5,1,0.21312,1.550103,[49 28] ; [30 10],[51.99145299 25.00854701] ; [27.00854701 12.99145299],0
s5,1,0.222232,1.489897,[ 7 66] ; [ 7 33],[ 9.04424779 63.95575221] ; [ 4.95575221 35.04424779],0
p12,1,0.229573,1.443506,[ 1 76] ; [ 2 38],[ 1.97435897 75.02564103] ; [ 1.02564103 38.97435897],0
s4,1,0.239673,1.382519,[ 9 68] ; [ 2 38],[ 7.23931624 69.76068376] ; [ 3.76068376 36.23931624],0
a1,1,0.239673,1.382519,[ 9 68] ; [ 2 38],[ 7.23931624 69.76068376] ; [ 3.76068376 36.23931624],0
n5,1,0.308763,1.035961,[36 40] ; [15 25],[33.4137931 42.5862069] ; [17.5862069 22.4137931],0
p9,1,0.311506,1.024278,[42 34] ; [26 14],[44.55172414 31.44827586] ; [23.44827586 16.55172414],0
v1,1,0.334039,0.933177,[25 51] ; [16 22],[27.33333333 48.66666667] ; [13.66666667 24.33333333],0
s2,1,0.390339,0.737885,[18 59] ; [12 27],[19.9137931 57.0862069] ; [10.0862069 28.9137931],0
r2,1,0.412767,0.670817,[62 14] ; [35  5],[63.55172414 12.44827586] ; [33.44827586  6.55172414],0
a3,1,0.475549,0.509054,[47 29] ; [22 18],[45.20689655 30.79310345] ; [23.79310345 16.20689655],0
