Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.456775,0.553785,[ 2 12] ; [ 7 22],[ 2.93023256 11.06976744] ; [ 6.06976744 22.93023256],0
b5,1,0.460492,0.544699,[9 6] ; [14 15],[7.84090909 7.15909091] ; [15.15909091 13.84090909],0
s1,1,0.481426,0.495632,[ 2 13] ; [ 2 27],[ 1.36363636 13.63636364] ; [ 2.63636364 26.36363636],0
s7,1,0.507335,0.43956,[ 3 10] ; [ 9 18],[3.9 9.1] ; [ 8.1 18.9],0
a8,1,0.519496,0.414894,[ 3 10] ; [ 4 23],[ 2.275 10.725] ; [ 4.725 22.275],0
b2,1,0.524571,0.404898,[4 6] ; [ 6 15],[3.22580645 6.77419355] ; [ 6.77419355 14.22580645],0
b3,1,0.524571,0.404898,[4 6] ; [ 6 15],[3.22580645 6.77419355] ; [ 6.77419355 14.22580645],0
b4,1,0.603364,0.269952,[10  5] ; [17 12],[9.20454545 5.79545455] ; [17.79545455 11.20454545],0
a2,1,0.627099,0.236015,[ 1 14] ; [ 1 28],[ 0.68181818 14.31818182] ; [ 1.31818182 27.68181818],0
p1,1,0.687469,0.161839,[ 1 14] ; [ 3 26],[ 1.36363636 13.63636364] ; [ 2.63636364 26.36363636],0
p12,1,0.687469,0.161839,[ 1 14] ; [ 3 26],[ 1.36363636 13.63636364] ; [ 2.63636364 26.36363636],0
s2,1,0.709406,0.138871,[ 4 11] ; [ 9 19],[ 4.53488372 10.46511628] ; [ 8.46511628 19.53488372],0
u3,1,0.75235,0.099567,[3 8] ; [4 8],[3.34782609 7.65217391] ; [3.65217391 8.34782609],0
s4,1,0.756206,0.096389,[ 3 12] ; [ 7 22],[ 3.40909091 11.59090909] ; [ 6.59090909 22.40909091],0
p3,1,0.763781,0.090312,[ 5 10] ; [11 18],[5.45454545 9.54545455] ; [10.54545455 18.45454545],0
s3,1,0.816961,0.053571,[5 9] ; [ 9 19],[4.66666667 9.33333333] ; [ 9.33333333 18.66666667],0
n1,1,1.0,0.0,[2 3] ; [4 6],[2. 3.] ; [4. 6.],0
