Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.988753,[65 18] ; [ 2 12],[57.32989691 25.67010309] ; [9.67010309 4.32989691],1
v4,1,0.000261,13.334705,[74  9] ; [7 7],[69.30927835 13.69072165] ; [11.69072165  2.30927835],1
r2,1,0.001113,10.62976,[74  9] ; [7 6],[70.03125 12.96875] ; [10.96875  2.03125],0
s3,1,0.012921,6.179852,[43 39] ; [ 2 11],[38.84210526 43.15789474] ; [6.15789474 6.84210526],0
n6,1,0.025777,4.970944,[44 38] ; [ 3 11],[40.14583333 41.85416667] ; [6.85416667 7.14583333],0
d2,1,0.035232,4.433911,[43 40] ; [ 3 11],[39.36082474 43.63917526] ; [6.63917526 7.36082474],0
s6,1,0.050867,3.812659,[46 35] ; [ 4 10],[42.63157895 38.36842105] ; [7.36842105 6.63157895],0
s2,1,0.051838,3.780975,[41 42] ; [ 3 11],[37.64948454 45.35051546] ; [6.35051546 7.64948454],0
a5,1,0.058237,3.586901,[52 31] ; [5 9],[48.77319588 34.22680412] ; [8.22680412 5.77319588],0
r1,1,0.061094,3.507427,[57 26] ; [6 8],[53.90721649 29.09278351] ; [9.09278351 4.90721649],0
s7,1,0.067138,3.351648,[26 49] ; [ 1 11],[23.27586207 51.72413793] ; [3.72413793 8.27586207],0
a6,1,0.086666,2.935238,[50 33] ; [5 9],[47.06185567 35.93814433] ; [7.93814433 6.06185567],0
b1,1,0.090659,2.862628,[39 44] ; [10  4],[41.92783505 41.07216495] ; [7.07216495 6.92783505],0
p2,1,0.093755,2.808694,[49 33] ; [5 9],[46.125 35.875] ; [7.875 6.125],0
s8,1,0.128661,2.308589,[21 61] ; [ 1 13],[18.79166667 63.20833333] ; [ 3.20833333 10.79166667],0
p4,1,0.145453,2.119301,[34 47] ; [ 3 11],[31.54736842 49.45263158] ; [5.45263158 8.54736842],0
b2,1,0.152992,2.042159,[ 7 31] ; [3 4],[ 8.44444444 29.55555556] ; [1.55555556 5.44444444],0
b3,1,0.152992,2.042159,[ 7 31] ; [3 4],[ 8.44444444 29.55555556] ; [1.55555556 5.44444444],0
v1,1,0.161859,1.956769,[25 56] ; [7 7],[27.28421053 53.71578947] ; [4.71578947 9.28421053],0
d5,1,0.17532,1.836854,[66 16] ; [9 5],[64.0625 17.9375] ; [10.9375  3.0625],0
s5,1,0.220005,1.504338,[23 53] ; [ 2 12],[21.11111111 54.88888889] ; [ 3.88888889 10.11111111],0
a2,1,0.234997,1.410358,[17 66] ; [ 1 13],[15.40206186 67.59793814] ; [ 2.59793814 11.40206186],0
n2,1,0.239087,1.385971,[19 13] ; [2 4],[17.68421053 14.31578947] ; [3.31578947 2.68421053],0
p9,1,0.245631,1.347985,[41 37] ; [5 9],[39. 39.] ; [7. 7.],0
a7,1,0.310673,1.027811,[58 24] ; [8 6],[56.375 25.625] ; [9.625 4.375],0
b5,1,0.323514,0.974685,[53 30] ; [7 7],[51.34020619 31.65979381] ; [8.65979381 5.34020619],0
d1,1,0.338426,0.916383,[47 36] ; [6 8],[45.35051546 37.64948454] ; [7.64948454 6.35051546],0
s1,1,0.374603,0.78834,[ 6 77] ; [ 2 12],[ 6.84536082 76.15463918] ; [ 1.15463918 12.84536082],0
n1,1,0.421357,0.646528,[ 6 26] ; [2 4],[ 6.73684211 25.26315789] ; [1.26315789 4.73684211],0
s4,1,0.506756,0.440759,[25 58] ; [ 3 11],[23.95876289 59.04123711] ; [4.04123711 9.95876289],0
p8,1,0.529869,0.394642,[24 57] ; [ 3 11],[23.02105263 57.97894737] ; [ 3.97894737 10.02105263],0
n4,1,0.540994,0.373701,[23 60] ; [5 9],[23.95876289 59.04123711] ; [4.04123711 9.95876289],0
p3,1,0.550228,0.356909,[28 53] ; [6 8],[28.98947368 52.01052632] ; [5.01052632 8.98947368],0
a3,1,0.685626,0.163862,[48 34] ; [9 5],[48.6875 33.3125] ; [8.3125 5.6875],0
b4,1,0.71096,0.13732,[49 34] ; [9 5],[49.62886598 33.37113402] ; [8.37113402 5.62886598],0
u3,1,0.723264,0.125387,[17 16] ; [3 2],[17.36842105 15.63157895] ; [2.63157895 2.36842105],0
d4,1,0.730305,0.118832,[68 15] ; [12  2],[68.45360825 14.54639175] ; [11.54639175  2.45360825],0
p7,1,0.748738,0.102595,[33 49] ; [5 9],[32.45833333 49.54166667] ; [5.54166667 8.45833333],0
a4,1,0.774274,0.082248,[33 50] ; [5 9],[32.51546392 50.48453608] ; [5.48453608 8.51546392],0
d3,1,0.815019,0.054736,[56 26] ; [10  4],[56.375 25.625] ; [9.625 4.375],0
u2,1,0.819187,0.052254,[18 15] ; [3 2],[18.23684211 14.76315789] ; [2.76315789 2.23684211],0
p10,1,0.850905,0.035331,[36 43] ; [6 8],[35.67741935 43.32258065] ; [6.32258065 7.67741935],0
v3,1,0.954108,0.003312,[22 53] ; [ 4 10],[21.91011236 53.08988764] ; [4.08988764 9.91011236],0
n3,1,0.958926,0.002652,[21 10] ; [4 2],[20.94594595 10.05405405] ; [4.05405405 1.94594595],0
p1,1,0.981514,0.000537,[ 6 76] ; [ 1 13],[ 5.97916667 76.02083333] ; [ 1.02083333 12.97916667],0
