Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,9.5e-05,15.224526,[20 21] ; [41  6],[28.42045455 12.57954545] ; [32.57954545 14.42045455],1
a6,1,0.000716,11.446925,[14 27] ; [33 14],[21.89772727 19.10227273] ; [25.10227273 21.89772727],1
d5,1,0.001545,10.023714,[20 21] ; [38  9],[27.02272727 13.97727273] ; [30.97727273 16.02272727],0
a3,1,0.002038,9.514785,[11 30] ; [28 19],[18.17045455 22.82954545] ; [20.82954545 26.17045455],0
d1,1,0.002146,9.420417,[ 8 33] ; [24 23],[14.90909091 26.09090909] ; [17.09090909 29.90909091],0
s6,1,0.002774,8.950427,[17 22] ; [34 11],[23.67857143 15.32142857] ; [27.32142857 17.67857143],0
d3,1,0.003304,8.631558,[16 25] ; [33 14],[22.82954545 18.17045455] ; [26.17045455 20.82954545],0
s5,1,0.004438,8.095484,[ 4 34] ; [17 28],[ 9.61445783 28.38554217] ; [11.38554217 33.61445783],0
p3,1,0.011519,6.383428,[16 25] ; [31 16],[21.89772727 19.10227273] ; [25.10227273 21.89772727],0
a4,1,0.027666,4.848744,[ 5 36] ; [15 32],[ 9.31818182 31.68181818] ; [10.68181818 36.31818182],0
p4,1,0.041198,4.16786,[21 20] ; [34 13],[25.625 15.375] ; [29.375 17.625],0
n5,1,0.047138,3.940474,[24 17] ; [36 10],[28.27586207 12.72413793] ; [31.72413793 14.27586207],0
n6,1,0.08342,2.996971,[32  9] ; [42  4],[34.87356322  6.12643678] ; [39.12643678  6.87356322],0
s2,1,0.118611,2.435565,[15 26] ; [25 22],[18.63636364 22.36363636] ; [21.36363636 25.63636364],0
p10,1,0.138727,2.192019,[29 10] ; [40  6],[31.65882353  7.34117647] ; [37.34117647  8.65882353],0
v1,1,0.144447,2.129935,[15 26] ; [24 22],[18.37931034 22.62068966] ; [20.62068966 25.37931034],0
p9,1,0.158441,1.989045,[31 10] ; [41  6],[33.54545455  7.45454545] ; [38.45454545  8.54545455],0
r4,1,0.169723,1.885388,[23 18] ; [33 14],[26.09090909 14.90909091] ; [29.90909091 17.09090909],0
d2,1,0.186527,1.74484,[ 8 33] ; [15 32],[10.71590909 30.28409091] ; [12.28409091 34.71590909],0
p5,1,0.190733,1.711949,[ 5 35] ; [11 36],[ 7.35632184 32.64367816] ; [ 8.64367816 38.35632184],0
n4,1,0.252691,1.308367,[24 17] ; [33 14],[26.55681818 14.44318182] ; [30.44318182 16.55681818],0
p11,1,0.253016,1.306572,[32  9] ; [41  6],[34.01136364  6.98863636] ; [38.98863636  8.01136364],0
s1,1,0.307145,1.042912,[ 4 37] ; [ 2 45],[ 2.79545455 38.20454545] ; [ 3.20454545 43.79545455],0
b2,1,0.33463,0.930899,[ 6 22] ; [ 8 16],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],0
b3,1,0.33463,0.930899,[ 6 22] ; [ 8 16],[ 7.53846154 20.46153846] ; [ 6.46153846 17.53846154],0
a7,1,0.343341,0.897916,[23 18] ; [31 16],[25.15909091 15.84090909] ; [28.84090909 18.15909091],0
p1,1,0.344255,0.894521,[ 6 34] ; [ 4 43],[ 4.59770115 35.40229885] ; [ 5.40229885 41.59770115],0
b5,1,0.419125,0.652767,[27 14] ; [27 20],[25.15909091 15.84090909] ; [28.84090909 18.15909091],0
p2,1,0.451368,0.567214,[34  6] ; [37 10],[32.64367816  7.35632184] ; [38.35632184  8.64367816],0
s8,1,0.473192,0.514513,[17 24] ; [16 31],[15.375 25.625] ; [17.625 29.375],0
p7,1,0.490986,0.474366,[28 11] ; [36 10],[29.36470588  9.63529412] ; [34.63529412 11.36470588],0
u3,1,0.498962,0.457143,[12 18] ; [9 9],[13.125 16.875] ; [ 7.875 10.125],0
v4,1,0.513125,0.427688,[35  4] ; [44  3],[35.8255814  3.1744186] ; [43.1744186  3.8255814],0
s3,1,0.548289,0.360391,[17 23] ; [23 24],[18.3908046 21.6091954] ; [21.6091954 25.3908046],0
s4,1,0.551107,0.355337,[10 31] ; [ 9 38],[ 8.85227273 32.14772727] ; [10.14772727 36.85227273],0
n2,1,0.596613,0.280135,[7 4] ; [11  4],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
v2,1,0.659845,0.193711,[16 24] ; [21 26],[17.01149425 22.98850575] ; [19.98850575 27.01149425],0
u2,1,0.684029,0.165626,[16 14] ; [ 9 10],[15.30612245 14.69387755] ; [9.69387755 9.30612245],0
n3,1,0.740797,0.109428,[8 3] ; [10  5],[7.61538462 3.38461538] ; [10.38461538  4.61538462],0
n1,1,0.740797,0.109428,[3 8] ; [ 5 10],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
p6,1,0.765324,0.0891,[17 22] ; [22 25],[17.68604651 21.31395349] ; [21.31395349 25.68604651],0
b1,1,0.824198,0.04935,[14 27] ; [15 32],[13.51136364 27.48863636] ; [15.48863636 31.51136364],0
r2,1,0.849323,0.036093,[32  7] ; [37  9],[31.65882353  7.34117647] ; [37.34117647  8.65882353],0
p12,1,0.864328,0.029196,[ 4 37] ; [ 4 42],[ 3.77011494 37.22988506] ; [ 4.22988506 41.77011494],0
b4,1,0.917719,0.010673,[24 17] ; [27 20],[23.76136364 17.23863636] ; [27.23863636 19.76136364],0
a8,1,0.923725,0.009167,[ 3 34] ; [ 4 42],[ 3.12048193 33.87951807] ; [ 3.87951807 42.12048193],0
s7,1,0.932439,0.007187,[16 24] ; [18 26],[16.19047619 23.80952381] ; [17.80952381 26.19047619],0
r3,1,0.935625,0.006524,[36  5] ; [41  6],[35.875  5.125] ; [41.125  5.875],0
v3,1,0.953574,0.00339,[13 27] ; [15 32],[12.87356322 27.12643678] ; [15.12643678 31.87356322],0
