Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.004547,8.051144,[43  4] ; [37 17],[37.22772277  9.77227723] ; [42.77227723 11.22772277],0
b3,1,0.012286,6.269142,[12 11] ; [ 5 22],[ 7.82 15.18] ; [ 9.18 17.82],0
b2,1,0.012286,6.269142,[12 11] ; [ 5 22],[ 7.82 15.18] ; [ 9.18 17.82],0
a5,1,0.013529,6.098617,[34 13] ; [26 28],[27.92079208 19.07920792] ; [32.07920792 21.92079208],0
d1,1,0.022178,5.231747,[29 18] ; [21 33],[23.26732673 23.73267327] ; [26.73267327 27.26732673],0
p9,1,0.022699,5.19136,[41  4] ; [38 14],[36.64948454  8.35051546] ; [42.35051546  9.64948454],0
s4,1,0.02884,4.777114,[22 25] ; [14 40],[16.75247525 30.24752475] ; [19.24752475 34.75247525],0
v1,1,0.034715,4.459146,[27 19] ; [19 32],[21.81443299 24.18556701] ; [24.18556701 26.81443299],0
p10,1,0.040854,4.182079,[39  6] ; [36 16],[34.79381443 10.20618557] ; [40.20618557 11.79381443],0
a4,1,0.047877,3.914299,[19 28] ; [12 42],[14.42574257 32.57425743] ; [16.57425743 37.42574257],0
d5,1,0.053902,3.715747,[39  8] ; [35 18],[34.78 12.22] ; [39.22 13.78],0
b4,1,0.059844,3.5417,[33 14] ; [28 26],[28.38613861 18.61386139] ; [32.61386139 21.38613861],0
p3,1,0.061703,3.491001,[22 24] ; [16 38],[17.48 28.52] ; [20.52 33.48],0
a1,1,0.06242,3.471879,[ 5 42] ; [ 1 53],[ 2.79207921 44.20792079] ; [ 3.20792079 50.79207921],0
s6,1,0.078421,3.097333,[42  5] ; [41 13],[38.62376238  8.37623762] ; [44.37623762  9.62376238],0
n6,1,0.080805,3.048627,[33 13] ; [29 24],[28.80808081 17.19191919] ; [33.19191919 19.80808081],0
n3,1,0.082751,3.010033,[9 9] ; [14  4],[11.5  6.5] ; [11.5  6.5],0
s8,1,0.088636,2.898973,[28 19] ; [23 31],[23.73267327 23.26732673] ; [27.26732673 26.73267327],0
b5,1,0.114541,2.49042,[25 22] ; [37 17],[28.85148515 18.14851485] ; [33.14851485 20.85148515],0
d2,1,0.117352,2.452307,[21 26] ; [16 38],[17.21782178 29.78217822] ; [19.78217822 34.21782178],0
p12,1,0.117573,2.44936,[ 4 42] ; [ 1 53],[ 2.3 43.7] ; [ 2.7 51.3],0
d3,1,0.134749,2.236927,[35 12] ; [32 21],[31.49 15.51] ; [35.51 17.49],0
v4,1,0.137027,2.21103,[45  1] ; [49  5],[43.24  2.76] ; [50.76  3.24],0
a2,1,0.162831,1.947737,[10 37] ; [ 6 48],[ 7.44554455 39.55445545] ; [ 8.55445545 45.44554455],0
p1,1,0.180116,1.796667,[ 6 39] ; [ 3 51],[ 4.09090909 40.90909091] ; [ 4.90909091 49.09090909],0
p8,1,0.183627,1.768023,[23 22] ; [20 33],[19.74489796 25.25510204] ; [23.25510204 29.74489796],0
s7,1,0.214701,1.539442,[22 20] ; [21 32],[19.01052632 22.98947368] ; [23.98947368 29.01052632],0
p5,1,0.233365,1.420233,[ 3 42] ; [ 1 52],[ 1.83673469 43.16326531] ; [ 2.16326531 50.83673469],0
v3,1,0.23451,1.413299,[14 31] ; [10 39],[11.4893617 33.5106383] ; [12.5106383 36.4893617],0
u1,1,0.245277,1.350008,[ 8 39] ; [ 5 49],[ 6.04950495 40.95049505] ; [ 6.95049505 47.04950495],0
p11,1,0.269204,1.220799,[32 15] ; [31 23],[29.31683168 17.68316832] ; [33.68316832 20.31683168],0
a3,1,0.303054,1.060705,[30 17] ; [29 25],[27.45544554 19.54455446] ; [31.54455446 22.45544554],0
r4,1,0.308277,1.038045,[41  6] ; [43 11],[39.08910891  7.91089109] ; [44.91089109  9.08910891],0
r2,1,0.323321,0.975464,[45  2] ; [49  5],[43.74257426  3.25742574] ; [50.25742574  3.74257426],0
n1,1,0.327929,0.957058,[ 7 11] ; [ 4 13],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
n5,1,0.402331,0.701348,[14 33] ; [20 33],[15.98 31.02] ; [18.02 34.98],0
r1,1,0.437391,0.603118,[29 17] ; [38 16],[30.82 15.18] ; [36.18 17.82],0
b1,1,0.465434,0.532795,[15 32] ; [21 33],[16.75247525 30.24752475] ; [19.24752475 34.75247525],0
v2,1,0.469717,0.522641,[24 21] ; [22 26],[22.25806452 22.74193548] ; [23.74193548 24.25806452],0
s1,1,0.488324,0.480217,[ 2 45] ; [ 1 52],[ 1.41 45.59] ; [ 1.59 51.41],0
a6,1,0.495936,0.463622,[31 16] ; [39 15],[32.57425743 14.42574257] ; [37.42574257 16.57425743],0
u2,1,0.616065,0.251437,[9 8] ; [14  9],[9.775 7.225] ; [13.225  9.775],0
p6,1,0.625958,0.237582,[16 30] ; [16 37],[14.86868687 31.13131313] ; [17.13131313 35.86868687],0
u3,1,0.62873,0.233787,[13  4] ; [16  7],[12.325  4.675] ; [16.675  6.325],0
s3,1,0.667497,0.184544,[39  8] ; [43 11],[38.15841584  8.84158416] ; [43.84158416 10.15841584],0
p7,1,0.722207,0.126388,[24 18] ; [31 20],[24.83870968 17.16129032] ; [30.16129032 20.83870968],0
p4,1,0.828413,0.046975,[24 22] ; [27 27],[23.46 22.54] ; [27.54 26.46],0
a7,1,0.919953,0.010099,[35 12] ; [39 14],[34.78 12.22] ; [39.22 13.78],0
p2,1,0.933538,0.006955,[33 12] ; [40 14],[33.18181818 11.81818182] ; [39.81818182 14.18181818],0
n2,1,1.0,0.0,[14  4] ; [14  4],[14.  4.] ; [14.  4.],0
