Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,26.610693,[49 10] ; [ 7 20],[38.41860465 20.58139535] ; [17.58139535  9.41860465],1
p11,1,0.000902,11.017706,[43 16] ; [10 18],[35.94252874 23.05747126] ; [17.05747126 10.94252874],1
v4,1,0.002073,9.483451,[56  3] ; [20  8],[51.54022989  7.45977011] ; [24.45977011  3.54022989],0
n5,1,0.002552,9.103061,[43 16] ; [11 17],[36.62068966 22.37931034] ; [17.37931034 10.62068966],0
n6,1,0.005684,7.647962,[49  9] ; [16 12],[43.8372093 14.1627907] ; [21.1627907  6.8372093],0
p7,1,0.021303,5.301817,[30 27] ; [ 7 20],[25.10714286 31.89285714] ; [11.89285714 15.10714286],0
s8,1,0.024766,5.040144,[27 31] ; [ 6 22],[22.25581395 35.74418605] ; [10.74418605 17.25581395],0
r4,1,0.030932,4.65672,[50  9] ; [18 10],[46.11494253 12.88505747] ; [21.88505747  6.11494253],0
a6,1,0.031013,4.652266,[39 19] ; [12 16],[34.39534884 23.60465116] ; [16.60465116 11.39534884],0
r2,1,0.049778,3.848921,[55  3] ; [22  5],[52.54117647  5.45882353] ; [24.45882353  2.54117647],0
r3,1,0.060966,3.510896,[57  2] ; [24  4],[54.93103448  4.06896552] ; [26.06896552  1.93103448],0
p6,1,0.082981,3.005525,[19 39] ; [ 4 23],[15.69411765 42.30588235] ; [ 7.30588235 19.69411765],0
a7,1,0.100577,2.696368,[44 15] ; [16 12],[40.68965517 18.31034483] ; [19.31034483  8.68965517],0
r1,1,0.123215,2.375968,[47 12] ; [18 10],[44.08045977 14.91954023] ; [20.91954023  7.08045977],0
n4,1,0.142107,2.154993,[43 16] ; [16 12],[40.01149425 18.98850575] ; [18.98850575  9.01149425],0
s5,1,0.1514,2.058091,[21 36] ; [ 6 22],[18.10588235 38.89411765] ; [ 8.89411765 19.10588235],0
s4,1,0.171276,1.871742,[16 42] ; [ 4 24],[13.48837209 44.51162791] ; [ 6.51162791 21.48837209],0
p8,1,0.182146,1.780024,[21 38] ; [ 6 22],[18.31034483 40.68965517] ; [ 8.68965517 19.31034483],0
a3,1,0.194231,1.68523,[42 17] ; [16 12],[39.33333333 19.66666667] ; [18.66666667  9.33333333],0
b2,1,0.196458,1.668515,[10 27] ; [ 8 10],[12.10909091 24.89090909] ; [ 5.89090909 12.10909091],0
b3,1,0.196458,1.668515,[10 27] ; [ 8 10],[12.10909091 24.89090909] ; [ 5.89090909 12.10909091],0
b1,1,0.199953,1.64272,[23 36] ; [15 13],[25.77011494 33.22988506] ; [12.22988506 15.77011494],0
a1,1,0.211082,1.563987,[ 7 52] ; [ 1 27],[ 5.42528736 53.57471264] ; [ 2.57471264 25.42528736],0
v3,1,0.214195,1.542843,[29 30] ; [ 9 17],[26.37647059 32.62352941] ; [11.62352941 14.37647059],0
d3,1,0.222438,1.488573,[37 21] ; [14 14],[34.39534884 23.60465116] ; [16.60465116 11.39534884],0
s2,1,0.24767,1.336397,[31 28] ; [11 17],[28.48275862 30.51724138] ; [13.51724138 14.48275862],0
d4,1,0.253312,1.304947,[46 12] ; [25  3],[47.88372093 10.11627907] ; [23.11627907  4.88372093],0
p3,1,0.297911,1.08352,[24 34] ; [ 8 19],[21.83529412 36.16470588] ; [10.16470588 16.83529412],0
s7,1,0.308414,1.037454,[27 30] ; [10 18],[24.81176471 32.18823529] ; [12.18823529 15.81176471],0
a2,1,0.347026,0.884303,[11 48] ; [ 3 25],[ 9.49425287 49.50574713] ; [ 4.50574713 23.49425287],0
n1,1,0.352704,0.863705,[ 3 12] ; [4 7],[ 4.03846154 10.96153846] ; [2.96153846 8.03846154],0
d1,1,0.412785,0.670766,[35 24] ; [14 14],[33.22988506 25.77011494] ; [15.77011494 12.22988506],0
u3,1,0.428398,0.627163,[11  6] ; [6 6],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
s1,1,0.445834,0.581221,[ 2 56] ; [ 2 26],[ 2.69767442 55.30232558] ; [ 1.30232558 26.69767442],0
u1,1,0.446008,0.580776,[10 49] ; [ 3 25],[ 8.81609195 50.18390805] ; [ 4.18390805 23.81609195],0
a4,1,0.459852,0.546254,[26 33] ; [10 18],[24.4137931 34.5862069] ; [11.5862069 16.4137931],0
s6,1,0.516147,0.421585,[40 19] ; [17 11],[38.65517241 20.34482759] ; [18.34482759  9.65517241],0
n2,1,0.52518,0.403708,[12  4] ; [7 4],[11.25925926  4.74074074] ; [7.74074074 3.25925926],0
s3,1,0.594129,0.283943,[31 28] ; [13 15],[29.83908046 29.16091954] ; [14.16091954 13.83908046],0
a5,1,0.628527,0.234064,[43 16] ; [19  9],[42.04597701 16.95402299] ; [19.95402299  8.04597701],0
u2,1,0.698791,0.149733,[8 9] ; [6 5],[8.5 8.5] ; [5.5 5.5],0
p1,1,0.699987,0.148485,[ 3 56] ; [ 2 26],[ 3.3908046 55.6091954] ; [ 1.6091954 26.3908046],0
b4,1,0.730643,0.118522,[36 23] ; [16 12],[35.26436782 23.73563218] ; [16.73563218 11.26436782],0
d5,1,0.780482,0.077668,[44 14] ; [22  6],[44.51162791 13.48837209] ; [21.48837209  6.51162791],0
n3,1,0.780914,0.077355,[9 6] ; [6 5],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
d2,1,0.880854,0.022466,[28 30] ; [14 14],[28.3255814 29.6744186] ; [13.6744186 14.3255814],0
v1,1,0.909264,0.012988,[27 32] ; [12 15],[26.75581395 32.24418605] ; [12.24418605 14.75581395],0
p4,1,0.919131,0.010308,[21 36] ; [10 18],[20.78823529 36.21176471] ; [10.21176471 17.78823529],0
b5,1,0.965954,0.001822,[34 25] ; [16 12],[33.90804598 25.09195402] ; [16.09195402 11.90804598],0
a8,1,0.977169,0.000819,[ 6 47] ; [ 3 23],[ 6.03797468 46.96202532] ; [ 2.96202532 23.03797468],0
