Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,2.3e-05,17.955665,[2 1] ; [ 4 83],[0.2 2.8] ; [ 5.8 81.2],1
p1,1,0.000348,12.792262,[2 1] ; [ 6 81],[0.26666667 2.73333333] ; [ 7.73333333 79.26666667],1
s1,1,0.061671,3.491867,[1 2] ; [ 5 81],[0.20224719 2.79775281] ; [ 5.79775281 80.20224719],0
d4,1,0.083492,2.995574,[1 2] ; [67 20],[2.26666667 0.73333333] ; [65.73333333 21.26666667],0
d5,1,0.163787,1.938913,[1 2] ; [61 25],[2.08988764 0.91011236] ; [59.91011236 26.08988764],0
a7,1,0.239052,1.386176,[1 2] ; [57 29],[1.95505618 1.04494382] ; [56.04494382 29.95505618],0
s2,1,0.259454,1.271666,[1 2] ; [56 30],[1.92134831 1.07865169] ; [55.07865169 30.92134831],0
s7,1,0.41393,0.667485,[1 2] ; [48 36],[1.68965517 1.31034483] ; [47.31034483 36.68965517],0
b3,1,0.437168,0.603705,[1 2] ; [ 7 37],[0.5106383 2.4893617] ; [ 7.4893617 36.5106383],0
b2,1,0.437168,0.603705,[1 2] ; [ 7 37],[0.5106383 2.4893617] ; [ 7.4893617 36.5106383],0
d2,1,0.455203,0.557663,[2 1] ; [39 48],[1.36666667 1.63333333] ; [39.63333333 47.36666667],0
d1,1,0.5053,0.443788,[1 2] ; [46 41],[1.56666667 1.43333333] ; [45.43333333 41.56666667],0
v3,1,0.695406,0.153295,[1 2] ; [20 65],[0.71590909 2.28409091] ; [20.28409091 64.71590909],0
p2,1,0.715579,0.132768,[2 1] ; [66 21],[2.26666667 0.73333333] ; [65.73333333 21.26666667],0
n4,1,0.751211,0.100517,[2 1] ; [50 37],[1.73333333 1.26666667] ; [50.26666667 36.73333333],0
n5,1,0.810538,0.057471,[2 1] ; [52 35],[1.8 1.2] ; [52.2 34.8],0
a5,1,0.840886,0.040305,[2 1] ; [53 34],[1.83333333 1.16666667] ; [53.16666667 33.83333333],0
a3,1,0.840886,0.040305,[2 1] ; [53 34],[1.83333333 1.16666667] ; [53.16666667 33.83333333],0
s8,1,0.840886,0.040305,[1 2] ; [34 53],[1.16666667 1.83333333] ; [33.83333333 53.16666667],0
b4,1,0.840886,0.040305,[2 1] ; [53 34],[1.83333333 1.16666667] ; [53.16666667 33.83333333],0
s5,1,0.860356,0.030948,[1 1] ; [35 45],[0.87804878 1.12195122] ; [35.12195122 44.87804878],0
v2,1,0.887572,0.019987,[1 2] ; [31 52],[1.11627907 1.88372093] ; [30.88372093 52.11627907],0
s3,1,0.908571,0.013188,[2 1] ; [60 26],[2.08988764 0.91011236] ; [59.91011236 26.08988764],0
