Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.00017,14.136299,[28 23] ; [ 3 24],[20.26923077 30.73076923] ; [10.73076923 16.26923077],1
p8,1,0.057666,3.603261,[34 17] ; [12 15],[30.07692308 20.92307692] ; [15.92307692 11.07692308],0
a5,1,0.069609,3.292207,[27 24] ; [20  7],[30.73076923 20.26923077] ; [16.26923077 10.73076923],0
s5,1,0.085122,2.964278,[17 33] ; [ 4 22],[13.81578947 36.18421053] ; [ 7.18421053 18.81578947],0
p2,1,0.09352,2.812711,[41 10] ; [17 10],[37.92307692 13.07692308] ; [20.07692308  6.92307692],0
a4,1,0.110363,2.54902,[11 40] ; [ 2 25],[ 8.5 42.5] ; [ 4.5 22.5],0
p4,1,0.133165,2.255212,[28 23] ; [10 17],[24.84615385 26.15384615] ; [13.15384615 13.84615385],0
n6,1,0.133837,2.247426,[46  5] ; [21  6],[43.80769231  7.19230769] ; [23.19230769  3.80769231],0
s8,1,0.134564,2.239047,[22 29] ; [ 7 20],[18.96153846 32.03846154] ; [10.03846154 16.96153846],0
u2,1,0.171188,1.872513,[ 8 10] ; [9 4],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
n5,1,0.179108,1.805006,[41 10] ; [18  9],[38.57692308 12.42307692] ; [20.42307692  6.57692308],0
s7,1,0.203713,1.615555,[24 24] ; [ 9 17],[21.40540541 26.59459459] ; [11.59459459 14.40540541],0
a7,1,0.207233,1.590654,[39 12] ; [17 10],[36.61538462 14.38461538] ; [19.38461538  7.61538462],0
n1,1,0.263552,1.25,[4 5] ; [1 5],[3. 6.] ; [2. 4.],0
n3,1,0.291841,1.111111,[8 1] ; [4 2],[7.2 1.8] ; [4.8 1.2],0
a3,1,0.352111,0.865835,[32 19] ; [14 13],[30.07692308 20.92307692] ; [15.92307692 11.07692308],0
d2,1,0.381931,0.764478,[14 37] ; [ 5 22],[12.42307692 38.57692308] ; [ 6.57692308 20.42307692],0
b4,1,0.395788,0.721086,[27 24] ; [17 10],[28.76923077 22.23076923] ; [15.23076923 11.76923077],0
d4,1,0.475224,0.509804,[24 27] ; [15 12],[25.5 25.5] ; [13.5 13.5],0
p12,1,0.546213,0.364146,[ 6 45] ; [ 2 25],[ 5.23076923 45.76923077] ; [ 2.76923077 24.23076923],0
s2,1,0.567357,0.327124,[22 29] ; [13 13],[23.18181818 27.81818182] ; [11.81818182 14.18181818],0
s4,1,0.580732,0.305052,[ 8 43] ; [ 3 24],[ 7.19230769 43.80769231] ; [ 3.80769231 23.19230769],0
p3,1,0.58272,0.301858,[26 25] ; [12 15],[24.84615385 26.15384615] ; [13.15384615 13.84615385],0
b5,1,0.58272,0.301858,[25 26] ; [15 12],[26.15384615 24.84615385] ; [13.84615385 13.15384615],0
b1,1,0.59352,0.28488,[24 27] ; [11 16],[22.88461538 28.11538462] ; [12.11538462 14.88461538],0
p9,1,0.610076,0.260064,[39 12] ; [22  5],[39.88461538 11.11538462] ; [21.11538462  5.88461538],0
a8,1,0.620616,0.245003,[ 5 41] ; [ 4 23],[ 5.67123288 40.32876712] ; [ 3.32876712 23.67123288],0
r1,1,0.625721,0.237908,[42  9] ; [21  6],[41.19230769  9.80769231] ; [21.80769231  5.19230769],0
a6,1,0.635837,0.224228,[33 18] ; [16 11],[32.03846154 18.96153846] ; [16.96153846 10.03846154],0
r3,1,0.643144,0.214654,[50  1] ; [26  1],[49.69230769  1.30769231] ; [26.30769231  0.69230769],0
u4,1,0.643144,0.214654,[ 1 50] ; [ 1 26],[ 1.30769231 49.69230769] ; [ 0.69230769 26.30769231],0
v4,1,0.664826,0.187714,[47  3] ; [26  1],[47.4025974  2.5974026] ; [25.5974026  1.4025974],0
s3,1,0.711976,0.136311,[28 23] ; [16 11],[28.76923077 22.23076923] ; [15.23076923 11.76923077],0
u3,1,0.718894,0.129555,[10  9] ; [6 7],[9.5 9.5] ; [6.5 6.5],0
v1,1,0.771668,0.084212,[31 19] ; [17  9],[31.57894737 18.42105263] ; [16.42105263  9.57894737],0
p10,1,0.814535,0.055028,[39 12] ; [20  7],[38.57692308 12.42307692] ; [20.42307692  6.57692308],0
b2,1,0.822334,0.05042,[11 23] ; [5 9],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
b3,1,0.822334,0.05042,[11 23] ; [5 9],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
s6,1,0.8385,0.04154,[29 22] ; [16 11],[29.42307692 21.57692308] ; [15.57692308 11.42307692],0
n4,1,0.838806,0.04138,[37 14] ; [19  8],[36.61538462 14.38461538] ; [19.38461538  7.61538462],0
p1,1,0.895377,0.017293,[ 7 44] ; [ 4 23],[ 7.19230769 43.80769231] ; [ 3.80769231 23.19230769],0
p11,1,0.923987,0.009104,[42  9] ; [22  5],[41.84615385  9.15384615] ; [22.15384615  4.84615385],0
r2,1,0.926246,0.008569,[46  4] ; [25  2],[46.1038961  3.8961039] ; [24.8961039  2.1038961],0
d3,1,0.926968,0.008402,[24 27] ; [13 14],[24.19230769 26.80769231] ; [12.80769231 14.19230769],0
v3,1,0.926968,0.008402,[27 24] ; [14 13],[26.80769231 24.19230769] ; [14.19230769 12.80769231],0
r4,1,0.931501,0.007388,[45  6] ; [24  3],[45.11538462  5.88461538] ; [23.88461538  3.11538462],0
d1,1,0.945224,0.00472,[ 4 47] ; [ 2 25],[ 3.92307692 47.07692308] ; [ 2.07692308 24.92307692],0
