Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000449,12.315341,[5 1] ; [ 3 21],[1.6 4.4] ; [ 6.4 17.6],1
v3,1,0.014306,6.0,[3 3] ; [ 2 22],[1. 5.] ; [ 4. 20.],0
a2,1,0.033169,4.537037,[2 4] ; [ 1 23],[0.6 5.4] ; [ 2.4 21.6],0
s1,1,0.033169,4.537037,[2 4] ; [ 1 23],[0.6 5.4] ; [ 2.4 21.6],0
a4,1,0.052808,3.75,[4 2] ; [ 6 18],[2. 4.] ; [ 8. 16.],0
p9,1,0.119355,2.425759,[1 5] ; [12 11],[2.68965517 3.31034483] ; [10.31034483 12.68965517],0
p7,1,0.136037,2.222222,[2 4] ; [16  8],[3.6 2.4] ; [14.4  9.6],0
u3,1,0.142041,2.155711,[2 1] ; [ 3 10],[0.9375 2.0625] ; [4.0625 8.9375],0
a6,1,0.197213,1.662896,[4 2] ; [ 9 15],[2.6 3.4] ; [10.4 13.6],0
s8,1,0.220671,1.5,[2 4] ; [ 3 21],[1. 5.] ; [ 4. 20.],0
b4,1,0.272254,1.205357,[4 2] ; [10 14],[2.8 3.2] ; [11.2 12.8],0
a5,1,0.272254,1.205357,[4 2] ; [10 14],[2.8 3.2] ; [11.2 12.8],0
p4,1,0.332922,0.9375,[1 5] ; [ 9 15],[2. 4.] ; [ 8. 16.],0
r4,1,0.36131,0.833333,[2 4] ; [ 4 20],[1.2 4.8] ; [ 4.8 19.2],0
p2,1,0.36131,0.833333,[2 4] ; [13 11],[3. 3.] ; [12. 12.],0
b5,1,0.36131,0.833333,[4 2] ; [11 13],[3. 3.] ; [12. 12.],0
v2,1,0.410004,0.678788,[3 3] ; [ 7 15],[2.14285714 3.85714286] ; [ 7.85714286 14.14285714],0
r1,1,0.44861,0.574163,[3 3] ; [ 8 16],[2.2 3.8] ; [ 8.8 15.2],0
s6,1,0.44861,0.574163,[3 3] ; [ 8 16],[2.2 3.8] ; [ 8.8 15.2],0
p11,1,0.464214,0.535714,[2 4] ; [12 12],[2.8 3.2] ; [11.2 12.8],0
a7,1,0.464214,0.535714,[4 2] ; [12 12],[3.2 2.8] ; [12.8 11.2],0
v4,1,0.464214,0.535714,[4 2] ; [12 12],[3.2 2.8] ; [12.8 11.2],0
p10,1,0.524967,0.404125,[2 4] ; [11 12],[2.68965517 3.31034483] ; [10.31034483 12.68965517],0
r3,1,0.580498,0.30543,[4 2] ; [13 11],[3.4 2.6] ; [13.6 10.4],0
b1,1,0.665984,0.186335,[5 1] ; [18  6],[4.6 1.4] ; [18.4  5.6],0
n4,1,0.709388,0.138889,[2 4] ; [10 14],[2.4 3.6] ; [ 9.6 14.4],0
s7,1,0.785028,0.074405,[1 3] ; [ 4 17],[0.8 3.2] ; [ 4.2 16.8],0
p6,1,0.812126,0.056494,[1 4] ; [ 6 18],[1.20689655 3.79310345] ; [ 5.79310345 18.20689655],0
s4,1,0.819477,0.052083,[1 5] ; [ 5 19],[1.2 4.8] ; [ 4.8 19.2],0
n3,1,0.825498,0.048611,[1 1] ; [7 5],[1.14285714 0.85714286] ; [6.85714286 5.14285714],0
a3,1,0.924393,0.009006,[3 3] ; [11 12],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
s3,1,0.946969,0.004424,[2 4] ; [ 8 15],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
p8,1,0.946969,0.004424,[2 4] ; [ 8 15],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
p3,1,0.96662,0.001751,[1 4] ; [ 5 19],[1.03448276 3.96551724] ; [ 4.96551724 19.03448276],0
s2,1,1.0,0.0,[1 5] ; [ 4 20],[1. 5.] ; [ 4. 20.],0
b3,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
b2,1,1.0,0.0,[1 5] ; [ 2 10],[1. 5.] ; [ 2. 10.],0
v1,1,1.0,0.0,[2 4] ; [ 8 16],[2. 4.] ; [ 8. 16.],0
