Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.907721,[ 1 35] ; [76 42],[18. 18.] ; [59. 59.],1
v4,1,0.0,29.919468,[16 20] ; [102  14],[27.94736842  8.05263158] ; [90.05263158 25.94736842],1
n6,1,0.0,27.125202,[13 22] ; [97 21],[25.16339869  9.83660131] ; [84.83660131 33.16339869],1
p9,1,0.0,25.97533,[12 21] ; [94 21],[23.63513514  9.36486486] ; [82.36486486 32.63513514],1
p10,1,1e-06,24.107959,[10 25] ; [86 30],[22.25165563 12.74834437] ; [73.74834437 42.25165563],1
p11,1,3e-06,21.856416,[10 26] ; [84 34],[21.97402597 14.02597403] ; [72.02597403 45.97402597],1
n2,1,1.3e-05,19.025709,[ 4 11] ; [34  5],[10.55555556  4.44444444] ; [27.44444444 11.55555556],1
p2,1,0.000157,14.286216,[13 23] ; [83 34],[22.58823529 13.41176471] ; [73.41176471 43.58823529],1
s2,1,0.001795,9.747855,[ 5 31] ; [50 68],[12.85714286 23.14285714] ; [42.14285714 75.85714286],0
s6,1,0.001871,9.672001,[ 8 28] ; [60 56],[16.10526316 19.89473684] ; [51.89473684 64.10526316],0
a1,1,0.002886,8.878338,[ 7 29] ; [  5 113],[ 2.80519481 33.19480519] ; [  9.19480519 108.80519481],0
b5,1,0.004758,7.96905,[15 21] ; [80 38],[22.20779221 13.79220779] ; [72.79220779 45.20779221],0
n3,1,0.00517,7.819005,[ 5 10] ; [29 10],[9.44444444 5.55555556] ; [24.55555556 14.44444444],0
v2,1,0.005245,7.792912,[ 4 31] ; [42 74],[10.66225166 24.33774834] ; [35.33774834 80.66225166],0
s8,1,0.00619,7.494167,[ 1 35] ; [27 91],[ 6.54545455 29.45454545] ; [21.45454545 96.54545455],0
s3,1,0.012778,6.199583,[ 8 26] ; [56 62],[14.31578947 19.68421053] ; [49.68421053 68.31578947],0
a7,1,0.019262,5.477527,[14 22] ; [72 46],[20.1038961 15.8961039] ; [65.8961039 52.1038961],0
