Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.1e-05,17.38172,[244 109] ; [85 84],[222.48467433 130.51532567] ; [106.51532567  62.48467433],1
p5,1,0.000204,13.793979,[ 72 280] ; [ 13 157],[ 57.31800766 294.68199234] ; [ 27.68199234 142.31800766],1
p9,1,0.000674,11.559044,[322  32] ; [136  33],[310.00382409  43.99617591] ; [147.99617591  21.00382409],1
p6,1,0.001371,10.244225,[189 163] ; [ 65 103],[171.93846154 180.06153846] ; [82.06153846 85.93846154],0
p10,1,0.003175,8.704143,[312  41] ; [132  36],[300.82917466  52.17082534] ; [143.17082534  24.82917466],0
p12,1,0.00322,8.678518,[ 43 311] ; [  7 164],[ 33.71428571 320.28571429] ; [ 16.28571429 154.71428571],0
s7,1,0.005435,7.728779,[199 132] ; [78 88],[184.48088531 146.51911469] ; [92.51911469 73.48088531],0
n6,1,0.009997,6.635453,[316  38] ; [137  32],[306.61950287  47.38049713] ; [146.38049713  22.61950287],0
s5,1,0.0105,6.548116,[142 197] ; [ 50 116],[128.88712871 210.11287129] ; [ 63.11287129 102.88712871],0
p7,1,0.012359,6.258622,[269  82] ; [112  57],[257.175  93.825] ; [123.825  45.175],0
u1,1,0.012632,6.219981,[ 83 272] ; [ 24 147],[ 72.2148289 282.7851711] ; [ 34.7851711 136.2148289],0
n4,1,0.026543,4.920325,[298  57] ; [129  41],[288.73333333  66.26666667] ; [138.26666667  31.73333333],0
v3,1,0.035847,4.404391,[155 186] ; [ 58 105],[144.11309524 196.88690476] ; [68.88690476 94.11309524],0
n5,1,0.057138,3.618561,[289  64] ; [127  43],[280.78011472  72.21988528] ; [135.21988528  34.78011472],0
r4,1,0.061111,3.506968,[337  18] ; [155  16],[332.05323194  22.94676806] ; [159.94676806  11.05323194],0
b1,1,0.067039,3.354068,[150 205] ; [ 58 113],[140.38022814 214.61977186] ; [ 67.61977186 103.38022814],0
a3,1,0.092145,2.836491,[263  91] ; [115  56],[254.88  99.12] ; [123.12  47.88],0
p1,1,0.099762,2.709338,[ 41 311] ; [ 12 159],[ 35.67112811 316.32887189] ; [ 17.32887189 153.67112811],0
s8,1,0.09987,2.70762,[187 166] ; [77 93],[178.1873805 174.8126195] ; [85.8126195 84.1873805],0
p11,1,0.11758,2.449269,[298  57] ; [134  37],[291.55893536  63.44106464] ; [140.44106464  30.55893536],0
p2,1,0.119029,2.430049,[321  32] ; [147  23],[315.87762906  37.12237094] ; [152.12237094  17.87762906],0
a5,1,0.121081,2.403284,[281  74] ; [125  46],[274.01140684  80.98859316] ; [131.98859316  39.01140684],0
