Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3.1e-05,17.331726,[ 30 314] ; [6 8],[ 34.59217877 309.40782123] ; [ 1.40782123 12.59217877],1
r1,1,0.009775,6.675459,[289  56] ; [8 6],[285.4178273  59.5821727] ; [11.5821727  2.4178273],0
s5,1,0.099722,2.709983,[ 79 256] ; [6 8],[ 81.59025788 253.40974212] ; [ 3.40974212 10.59025788],0
n3,1,0.1126,2.517351,[59 20] ; [1 2],[57.80487805 21.19512195] ; [2.19512195 0.80487805],0
d1,1,0.138997,2.189025,[193 153] ; [5 9],[190.3 155.7] ; [7.7 6.3],0
s1,1,0.15366,2.035539,[  6 337] ; [ 1 13],[  6.7254902 336.2745098] ; [ 0.2745098 13.7254902],0
p7,1,0.155932,2.013236,[204 138] ; [11  3],[206.54494382 135.45505618] ; [8.45505618 5.54494382],0
p10,1,0.159592,1.97809,[262  79] ; [13  1],[264.15492958  76.84507042] ; [10.84507042  3.15492958],0
n4,1,0.162312,1.952556,[256  90] ; [8 6],[253.73333333  92.26666667] ; [10.26666667  3.73333333],0
n6,1,0.209096,1.577672,[291  55] ; [10  4],[289.29444444  56.70555556] ; [11.70555556  2.29444444],0
b1,1,0.239632,1.382759,[120 226] ; [7 7],[122.06111111 223.93888889] ; [4.93888889 9.06111111],0
d5,1,0.268713,1.223305,[286  59] ; [10  4],[284.45682451  60.54317549] ; [11.54317549  2.45682451],0
v4,1,0.310694,1.027722,[337   9] ; [13  1],[336.38888889   9.61111111] ; [13.61111111  0.38888889],0
p8,1,0.341986,0.90297,[173 164] ; [9 5],[174.74074074 162.25925926] ; [7.25925926 6.74074074],0
d4,1,0.361811,0.831597,[281  65] ; [10  4],[279.68333333  66.31666667] ; [11.31666667  2.68333333],0
a7,1,0.363064,0.827269,[259  86] ; [9 5],[257.54874652  87.45125348] ; [10.45125348  3.54874652],0
a3,1,0.375953,0.783894,[236 109] ; [8 6],[234.48467967 110.51532033] ; [9.51532033 4.48467967],0
d3,1,0.375953,0.783894,[236 109] ; [8 6],[234.48467967 110.51532033] ; [9.51532033 4.48467967],0
s6,1,0.40666,0.688543,[155 183] ; [8 6],[156.51704545 181.48295455] ; [6.48295455 7.51704545],0
v2,1,0.471933,0.517446,[189 147] ; [6 7],[187.73638968 148.26361032] ; [7.26361032 5.73638968],0
p4,1,0.477489,0.504592,[188 156] ; [9 5],[189.29608939 154.70391061] ; [7.70391061 6.29608939],0
v1,1,0.493483,0.468923,[179 164] ; [6 8],[177.74509804 165.25490196] ; [7.25490196 6.74509804],0
b3,1,0.50054,0.453792,[ 76 132] ; [3 3],[ 76.78504673 131.21495327] ; [2.21495327 3.78504673],0
b2,1,0.50054,0.453792,[ 76 132] ; [3 3],[ 76.78504673 131.21495327] ; [2.21495327 3.78504673],0
a4,1,0.509943,0.434185,[154 191] ; [5 9],[152.7994429 192.2005571] ; [6.2005571 7.7994429],0
a6,1,0.515293,0.423303,[250  96] ; [9 5],[248.92777778  97.07222222] ; [10.07222222  3.92777778],0
a1,1,0.520627,0.41265,[ 13 333] ; [ 1 13],[ 13.45555556 332.54444444] ; [ 0.54444444 13.45555556],0
p2,1,0.582318,0.302502,[275  70] ; [12  2],[275.80779944  69.19220056] ; [11.19220056  2.80779944],0
p12,1,0.623462,0.241032,[ 15 328] ; [ 1 13],[ 15.37254902 327.62745098] ; [ 0.62745098 13.37254902],0
b4,1,0.653913,0.201002,[194 152] ; [7 7],[193.18333333 152.81666667] ; [7.81666667 6.18333333],0
p6,1,0.678053,0.172326,[115 224] ; [ 4 10],[114.28045326 224.71954674] ; [4.71954674 9.28045326],0
s4,1,0.679633,0.170539,[ 36 304] ; [ 1 13],[ 35.53672316 304.46327684] ; [ 1.46327684 12.53672316],0
n5,1,0.697574,0.151008,[238 106] ; [9 5],[237.34078212 106.65921788] ; [9.65921788 4.34078212],0
s7,1,0.699722,0.148762,[ 92 234] ; [4 8],[ 92.59171598 233.40828402] ; [3.40828402 8.59171598],0
p3,1,0.731044,0.118155,[164 181] ; [6 8],[163.37047354 181.62952646] ; [6.62952646 7.37047354],0
u3,1,0.759742,0.093525,[62 48] ; [3 3],[61.63793103 48.36206897] ; [3.36206897 2.63793103],0
a8,1,0.780622,0.077567,[ 39 267] ; [ 2 11],[ 39.32915361 266.67084639] ; [ 1.67084639 11.32915361],0
a5,1,0.850094,0.03572,[255  91] ; [10  4],[254.69444444  91.30555556] ; [10.30555556  3.69444444],0
d2,1,0.878638,0.023316,[155 190] ; [6 8],[154.72144847 190.27855153] ; [6.27855153 7.72144847],0
s8,1,0.890181,0.019065,[ 92 250] ; [ 4 10],[ 92.2247191 249.7752809] ; [ 3.7752809 10.2247191],0
b5,1,0.90523,0.014175,[217 129] ; [9 5],[217.21111111 128.78888889] ; [8.78888889 5.21111111],0
v3,1,0.944048,0.004926,[122 211] ; [5 9],[121.87608069 211.12391931] ; [5.12391931 8.87608069],0
s2,1,0.972319,0.001204,[ 50 292] ; [ 2 12],[ 49.95505618 292.04494382] ; [ 2.04494382 11.95505618],0
p1,1,0.988311,0.000215,[ 25 320] ; [ 1 13],[ 24.98607242 320.01392758] ; [ 1.01392758 12.98607242],0
