Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.006634,7.369353,[56 16] ; [45 34],[48.1589404 23.8410596] ; [52.8410596 26.1589404],0
d5,1,0.008926,6.837607,[64  8] ; [56 22],[57.6 14.4] ; [62.4 15.6],0
r4,1,0.014734,5.948034,[70  2] ; [68 11],[65.8013245  6.1986755] ; [72.1986755  6.8013245],0
s8,1,0.018334,5.563945,[43 29] ; [32 47],[35.7615894 36.2384106] ; [39.2384106 39.7615894],0
n4,1,0.023781,5.11054,[52 20] ; [43 36],[45.29801325 26.70198675] ; [49.70198675 29.29801325],0
p5,1,0.027241,4.875495,[10 62] ; [ 3 76],[ 6.1986755 65.8013245] ; [ 6.8013245 72.1986755],0
n3,1,0.039776,4.227397,[10  6] ; [24  3],[12.65116279  3.34883721] ; [21.34883721  5.65116279],0
u1,1,0.051294,3.798643,[18 54] ; [10 69],[13.35099338 58.64900662] ; [14.64900662 64.35099338],0
b3,1,0.065186,3.400262,[13 29] ; [ 5 32],[ 9.56962025 32.43037975] ; [ 8.43037975 28.56962025],0
b2,1,0.065186,3.400262,[13 29] ; [ 5 32],[ 9.56962025 32.43037975] ; [ 8.43037975 28.56962025],0
p10,1,0.068326,3.322783,[62  8] ; [61 18],[57.7852349 12.2147651] ; [65.2147651 13.7852349],0
v2,1,0.071815,3.241039,[38 33] ; [29 46],[32.58219178 38.41780822] ; [34.41780822 40.58219178],0
a5,1,0.074148,3.188721,[56 16] ; [51 28],[51.01986755 20.98013245] ; [55.98013245 23.01986755],0
a3,1,0.080708,3.050582,[55 17] ; [50 29],[50.06622517 21.93377483] ; [54.93377483 24.06622517],0
p3,1,0.120741,2.407688,[41 31] ; [35 44],[36.2384106 35.7615894] ; [39.7615894 39.2384106],0
a4,1,0.139341,2.185222,[35 37] ; [29 50],[30.51655629 41.48344371] ; [33.48344371 45.51655629],0
u2,1,0.14062,2.171166,[ 5 12] ; [15 14],[7.39130435 9.60869565] ; [12.60869565 16.39130435],0
p8,1,0.164564,1.931776,[38 31] ; [34 44],[33.79591837 35.20408163] ; [38.20408163 39.79591837],0
a8,1,0.180539,1.793179,[ 5 61] ; [ 2 73],[ 3.27659574 62.72340426] ; [ 3.72340426 71.27659574],0
p4,1,0.181931,1.781779,[46 26] ; [42 37],[41.9602649 30.0397351] ; [46.0397351 32.9602649],0
r3,1,0.18729,1.738808,[69  2] ; [72  6],[67.18791946  3.81208054] ; [73.81208054  4.18791946],0
b4,1,0.196523,1.668028,[40 32] ; [52 27],[43.86754967 28.13245033] ; [48.13245033 30.86754967],0
a6,1,0.201212,1.633553,[42 30] ; [54 25],[45.77483444 26.22516556] ; [50.22516556 28.77483444],0
r1,1,0.21024,1.56977,[59 13] ; [58 21],[55.78807947 16.21192053] ; [61.21192053 17.78807947],0
s5,1,0.21751,1.520721,[39 27] ; [35 37],[35.39130435 30.60869565] ; [38.60869565 33.39130435],0
v3,1,0.222291,1.489518,[25 46] ; [20 57],[21.58783784 49.41216216] ; [23.41216216 53.58783784],0
p7,1,0.226714,1.461362,[47 22] ; [45 32],[43.47945205 25.52054795] ; [48.52054795 28.47945205],0
p9,1,0.265606,1.239298,[62  8] ; [64 14],[59.59459459 10.40540541] ; [66.40540541 11.59459459],0
a1,1,0.267571,1.229159,[ 3 69] ; [ 1 78],[ 1.90728477 70.09271523] ; [ 2.09271523 76.90728477],0
n6,1,0.276154,1.185919,[63  9] ; [64 15],[60.55629139 11.44370861] ; [66.44370861 12.55629139],0
s2,1,0.29546,1.094575,[53 17] ; [53 25],[50.13513514 19.86486486] ; [55.86486486 22.13513514],0
s1,1,0.300517,1.071897,[ 2 69] ; [ 5 73],[ 3.33557047 67.66442953] ; [ 3.66442953 74.33557047],0
a2,1,0.368935,0.807248,[16 56] ; [13 66],[13.82781457 58.17218543] ; [15.17218543 63.82781457],0
p11,1,0.381447,0.766032,[53 19] ; [53 26],[50.54304636 21.45695364] ; [55.45695364 23.54304636],0
d1,1,0.395967,0.720539,[45 27] ; [44 35],[42.43708609 29.56291391] ; [46.56291391 32.43708609],0
d4,1,0.472385,0.516391,[59 13] ; [61 18],[57.21854305 14.78145695] ; [62.78145695 16.21854305],0
s7,1,0.510115,0.433831,[44 25] ; [45 32],[42.06164384 26.93835616] ; [46.93835616 30.06164384],0
d2,1,0.586156,0.296387,[36 36] ; [36 43],[34.33112583 37.66887417] ; [37.66887417 41.33112583],0
s6,1,0.5884,0.292849,[58  9] ; [65 13],[56.83448276 10.16551724] ; [66.16551724 11.83448276],0
v4,1,0.594462,0.28343,[67  4] ; [76  3],[67.68666667  3.31333333] ; [75.31333333  3.68666667],0
p12,1,0.630685,0.231134,[ 4 67] ; [ 6 73],[ 4.73333333 66.26666667] ; [ 5.26666667 73.73333333],0
p2,1,0.636395,0.223488,[57 15] ; [60 19],[55.78807947 16.21192053] ; [61.21192053 17.78807947],0
b1,1,0.670481,0.18104,[27 45] ; [27 52],[25.74834437 46.25165563] ; [28.25165563 50.74834437],0
b5,1,0.691949,0.156984,[46 26] ; [48 31],[44.82119205 27.17880795] ; [49.17880795 29.82119205],0
a7,1,0.701881,0.146522,[51 21] ; [53 25],[49.92 22.08] ; [54.08 23.92],0
p6,1,0.771397,0.084418,[30 40] ; [32 47],[29.12751678 40.87248322] ; [32.87248322 46.12751678],0
d3,1,0.773243,0.083022,[55 17] ; [58 20],[54.24 17.76] ; [58.76 19.24],0
n2,1,0.83491,0.043434,[12  4] ; [21  6],[12.27906977  3.72093023] ; [20.72093023  6.27906977],0
p1,1,0.855349,0.033232,[ 7 65] ; [ 7 72],[ 6.67549669 65.32450331] ; [ 7.32450331 71.67549669],0
n1,1,0.887933,0.019858,[ 5 11] ; [ 9 18],[ 5.20930233 10.79069767] ; [ 8.79069767 18.20930233],0
u3,1,0.955526,0.00311,[11  6] ; [19 10],[11.08695652  5.91304348] ; [18.91304348 10.08695652],0
s3,1,0.982163,0.0005,[52 19] ; [57 21],[51.93959732 19.06040268] ; [57.06040268 20.93959732],0
