Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000205,13.780506,[17  6] ; [16 40],[ 9.60759494 13.39240506] ; [23.39240506 32.60759494],1
p6,1,0.000513,12.067419,[11 13] ; [ 6 49],[ 5.16455696 18.83544304] ; [11.83544304 43.16455696],1
v2,1,0.009961,6.641802,[14 10] ; [15 39],[ 8.92307692 15.07692308] ; [20.07692308 33.92307692],0
v4,1,0.021837,5.258754,[22  2] ; [37 18],[17.92405063  6.07594937] ; [41.07594937 13.92405063],0
r4,1,0.026888,4.897959,[18  6] ; [27 29],[13.5 10.5] ; [31.5 24.5],0
s6,1,0.034066,4.491364,[15  8] ; [21 33],[10.75324675 12.24675325] ; [25.24675325 28.75324675],0
r3,1,0.034393,4.475059,[20  4] ; [33 23],[15.9  8.1] ; [37.1 18.9],0
v3,1,0.050695,3.818334,[11 13] ; [12 39],[ 7.36 16.64] ; [15.64 35.36],0
s2,1,0.063893,3.433336,[13 11] ; [18 38],[ 9.3 14.7] ; [21.7 34.3],0
p3,1,0.073973,3.19259,[12 12] ; [16 39],[ 8.50632911 15.49367089] ; [19.49367089 35.50632911],0
n6,1,0.076083,3.146648,[18  6] ; [29 25],[14.46153846  9.53846154] ; [32.53846154 21.46153846],0
n1,1,0.081904,3.026707,[5 2] ; [11 20],[2.94736842 4.05263158] ; [13.05263158 17.94736842],0
d3,1,0.09041,2.867063,[13 11] ; [19 37],[ 9.6 14.4] ; [22.4 33.6],0
s7,1,0.123437,2.373154,[11 12] ; [14 34],[ 8.09859155 14.90140845] ; [16.90140845 31.09859155],0
p7,1,0.13637,2.218444,[13 10] ; [21 34],[10.02564103 12.97435897] ; [23.97435897 31.02564103],0
a6,1,0.1447,2.127255,[ 5 19] ; [21 35],[ 7.8 16.2] ; [18.2 37.8],0
p10,1,0.157567,1.997419,[13 11] ; [20 34],[10.15384615 13.84615385] ; [22.84615385 31.15384615],0
d1,1,0.176332,1.82827,[12 12] ; [19 37],[ 9.3 14.7] ; [21.7 34.3],0
b1,1,0.243093,1.362568,[13 11] ; [38 18],[15.3  8.7] ; [35.7 20.3],0
a5,1,0.261592,1.260312,[14 10] ; [25 31],[11.7 12.3] ; [27.3 28.7],0
b3,1,0.269879,1.21736,[2 7] ; [16 22],[3.44680851 5.55319149] ; [14.55319149 23.44680851],0
b2,1,0.269879,1.21736,[2 7] ; [16 22],[3.44680851 5.55319149] ; [14.55319149 23.44680851],0
p2,1,0.272015,1.206559,[15  9] ; [27 28],[12.75949367 11.24050633] ; [29.24050633 25.75949367],0
d5,1,0.277579,1.178906,[16  8] ; [30 26],[13.8 10.2] ; [32.2 23.8],0
s3,1,0.310816,1.027206,[13 11] ; [23 32],[10.93670886 13.06329114] ; [25.06329114 29.93670886],0
d4,1,0.322889,0.977207,[18  6] ; [35 20],[16.10126582  7.89873418] ; [36.89873418 18.10126582],0
p9,1,0.420024,0.650249,[13 11] ; [23 29],[11.36842105 12.63157895] ; [24.63157895 27.36842105],0
s5,1,0.421653,0.645702,[ 8 16] ; [13 40],[ 6.54545455 17.45454545] ; [14.45454545 38.54545455],0
n2,1,0.421999,0.644742,[5 2] ; [17 14],[4.05263158 2.94736842] ; [17.94736842 13.05263158],0
r2,1,0.44088,0.593992,[19  4] ; [41 14],[17.69230769  5.30769231] ; [42.30769231 12.69230769],0
b4,1,0.46069,0.544218,[15  9] ; [30 26],[13.5 10.5] ; [31.5 24.5],0
s8,1,0.472465,0.516205,[ 8 16] ; [14 41],[ 6.6835443 17.3164557] ; [15.3164557 39.6835443],0
r1,1,0.590397,0.289725,[14 10] ; [29 27],[12.9 11.1] ; [30.1 25.9],0
u2,1,0.598725,0.276923,[4 6] ; [ 8 18],[3.33333333 6.66666667] ; [ 8.66666667 17.33333333],0
a2,1,0.614295,0.253968,[ 1 23] ; [ 4 52],[ 1.5 22.5] ; [ 3.5 52.5],0
p5,1,0.628889,0.233571,[ 2 22] ; [ 3 52],[ 1.51898734 22.48101266] ; [ 3.48101266 51.51898734],0
u3,1,0.63591,0.224132,[3 7] ; [10 16],[3.61111111 6.38888889] ; [ 9.38888889 16.61111111],0
n5,1,0.680947,0.169062,[16  8] ; [34 21],[15.18987342  8.81012658] ; [34.81012658 20.18987342],0
v1,1,0.680947,0.169062,[ 8 16] ; [21 34],[ 8.81012658 15.18987342] ; [20.18987342 34.81012658],0
s4,1,0.754632,0.09768,[ 5 19] ; [10 46],[ 4.5 19.5] ; [10.5 45.5],0
a3,1,0.755269,0.097157,[14 10] ; [30 25],[13.36708861 10.63291139] ; [30.63291139 24.36708861],0
n4,1,0.795671,0.067057,[16  8] ; [35 20],[15.49367089  8.50632911] ; [35.50632911 19.49367089],0
n3,1,0.796602,0.066434,[4 3] ; [15 14],[3.69444444 3.30555556] ; [15.30555556 13.69444444],0
p1,1,0.853028,0.03432,[ 2 22] ; [ 4 52],[ 1.8 22.2] ; [ 4.2 51.8],0
u1,1,0.897817,0.016491,[ 1 23] ; [ 2 54],[ 0.9 23.1] ; [ 2.1 53.9],0
d2,1,0.906138,0.013903,[11 13] ; [26 29],[11.24050633 12.75949367] ; [25.75949367 29.24050633],0
a4,1,0.923228,0.009287,[ 9 15] ; [20 35],[ 8.81012658 15.18987342] ; [20.18987342 34.81012658],0
b5,1,1.0,0.0,[12 12] ; [28 28],[12. 12.] ; [28. 28.],0
a8,1,1.0,0.0,[ 2 20] ; [ 5 50],[ 2. 20.] ; [ 5. 50.],0
