Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.164897,[91  7] ; [22 25],[76.37241379 21.62758621] ; [36.62758621 10.37241379],1
a5,1,2.1e-05,18.098957,[62 36] ; [12 35],[50.0137931 47.9862069] ; [23.9862069 23.0137931],1
r2,1,0.000252,13.396028,[92  6] ; [33 13],[85.06944444 12.93055556] ; [39.93055556  6.06944444],1
p10,1,0.000604,11.764547,[79 17] ; [26 21],[70.48951049 25.51048951] ; [34.51048951 12.48951049],1
v2,1,0.001168,10.539691,[48 44] ; [11 36],[39.05035971 52.94964029] ; [19.94964029 27.05035971],0
a6,1,0.002065,9.491116,[66 32] ; [19 28],[57.44827586 40.55172414] ; [27.55172414 19.44827586],0
v3,1,0.002285,9.305178,[36 60] ; [ 6 41],[28.1958042 67.8041958] ; [13.8041958 33.1958042],0
v1,1,0.004591,8.033805,[50 46] ; [12 33],[42.21276596 53.78723404] ; [19.78723404 25.21276596],0
p11,1,0.00579,7.61444,[81 17] ; [29 18],[74.34482759 23.65517241] ; [35.65517241 11.34482759],0
b3,1,0.007339,7.188031,[27 32] ; [ 4 22],[21.51764706 37.48235294] ; [ 9.48235294 16.51764706],0
b2,1,0.007339,7.188031,[27 32] ; [ 4 22],[21.51764706 37.48235294] ; [ 9.48235294 16.51764706],0
r3,1,0.011374,6.405864,[91  7] ; [36 10],[86.43055556 11.56944444] ; [40.56944444  5.43055556],0
d3,1,0.011669,6.360459,[51 47] ; [14 33],[43.93103448 54.06896552] ; [21.06896552 25.93103448],0
a7,1,0.012573,6.228228,[67 31] ; [22 25],[60.15172414 37.84827586] ; [28.84827586 18.15172414],0
a3,1,0.013101,6.155435,[60 38] ; [18 28],[53.08333333 44.91666667] ; [24.91666667 21.08333333],0
a4,1,0.019942,5.416977,[27 70] ; [ 5 42],[21.55555556 75.44444444] ; [10.44444444 36.55555556],0
u3,1,0.02165,5.273685,[22 15] ; [ 9 20],[17.37878788 19.62121212] ; [13.62121212 15.37878788],0
s7,1,0.021827,5.259502,[49 43] ; [15 31],[42.66666667 49.33333333] ; [21.33333333 24.66666667],0
n6,1,0.022651,5.195045,[82 15] ; [32 15],[76.79166667 20.20833333] ; [37.20833333  9.79166667],0
a2,1,0.06276,3.462894,[11 87] ; [ 1 46],[ 8.11034483 89.88965517] ; [ 3.88965517 43.11034483],0
p6,1,0.071763,3.242228,[37 59] ; [11 36],[32.22377622 63.77622378] ; [15.77622378 31.22377622],0
s8,1,0.084272,2.98052,[39 58] ; [12 35],[34.35416667 62.64583333] ; [16.64583333 30.35416667],0
u2,1,0.107183,2.595268,[22 15] ; [11 17],[18.78461538 18.21538462] ; [14.21538462 13.78461538],0
p9,1,0.110819,2.542504,[82 14] ; [35 12],[78.54545455 17.45454545] ; [38.45454545  8.54545455],0
d1,1,0.116551,2.463072,[ 9 89] ; [ 1 46],[ 6.75862069 91.24137931] ; [ 3.24137931 43.75862069],0
d2,1,0.165484,1.923388,[27 71] ; [ 8 39],[23.65517241 74.34482759] ; [11.34482759 35.65517241],0
