Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,122.518754,[21 40] ; [328  30],[50.80906921 10.19093079] ; [298.19093079  59.80906921],1
s8,1,1e-06,23.472469,[19 43] ; [226 130],[36.33971292 25.66028708] ; [208.66028708 147.33971292],1
n6,1,2e-06,22.492131,[40 22] ; [311  42],[52.43855422  9.56144578] ; [298.56144578  54.43855422],1
p11,1,3e-06,21.772133,[35 27] ; [296  62],[48.86190476 13.13809524] ; [282.13809524  75.86190476],1
s2,1,1.1e-05,19.392032,[37 25] ; [300  58],[49.74761905 12.25238095] ; [287.25238095  70.74761905],1
d4,1,3.9e-05,16.9029,[42 19] ; [315  40],[52.34855769  8.65144231] ; [304.65144231  50.34855769],1
p2,1,8e-05,15.567397,[42 20] ; [312  45],[52.38186158  9.61813842] ; [301.61813842  55.38186158],1
v4,1,0.000113,14.913943,[53  7] ; [350   7],[57.98561151  2.01438849] ; [345.01438849  11.98561151],1
b1,1,0.000723,11.430321,[37 25] ; [132 226],[24.94761905 37.05238095] ; [144.05238095 213.94761905],1
s6,1,0.000738,11.391237,[44 18] ; [309  44],[52.7373494  9.2626506] ; [300.2626506  52.7373494],1
v2,1,0.000789,11.268036,[22 37] ; [207 134],[33.7775 25.2225] ; [195.2225 145.7775],1
s7,1,0.000953,10.916687,[27 29] ; [244 102],[37.75124378 18.24875622] ; [233.24875622 112.75124378],1
r2,1,0.001492,10.088719,[58  4] ; [353   3],[60.96172249  1.03827751] ; [350.03827751   5.96172249],0
s5,1,0.001684,9.865198,[15 47] ; [156 186],[26.24257426 35.75742574] ; [144.75742574 197.24257426],0
d1,1,0.001828,9.715144,[29 33] ; [241 117],[39.85714286 22.14285714] ; [230.14285714 127.85714286],0
n5,1,0.001974,9.57357,[39 23] ; [286  69],[48.32134293 13.67865707] ; [276.67865707  78.32134293],0
a4,1,0.003443,8.556356,[19 42] ; [184 174],[29.55369928 31.44630072] ; [173.44630072 184.55369928],0
a3,1,0.003583,8.483993,[38 24] ; [280  77],[47.0548926 14.9451074] ; [270.9451074  86.0548926],0
a5,1,0.00412,8.229974,[38 24] ; [280  78],[46.94285714 15.05714286] ; [271.05714286  86.94285714],0
a2,1,0.005622,7.667603,[ 8 54] ; [107 251],[16.97619048 45.02380952] ; [ 98.02380952 259.97619048],0
p3,1,0.007347,7.186214,[22 39] ; [195 162],[31.66746411 29.33253589] ; [185.33253589 171.66746411],0
d5,1,0.007388,7.176153,[43 19] ; [297  58],[50.55155875 11.44844125] ; [289.44844125  65.55155875],0
