Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000144,14.454763,[ 9 64] ; [14 16],[16.30097087 56.69902913] ; [ 6.69902913 23.30097087],1
r1,1,0.001066,10.709695,[31 44] ; [23  7],[38.57142857 36.42857143] ; [15.42857143 14.57142857],0
s5,1,0.015291,5.882636,[13 61] ; [12 18],[17.78846154 56.21153846] ; [ 7.21153846 22.78846154],0
r3,1,0.022911,5.175246,[55 20] ; [28  2],[59.28571429 15.71428571] ; [23.71428571  6.28571429],0
p9,1,0.027334,4.869563,[41 31] ; [24  6],[45.88235294 26.11764706] ; [19.11764706 10.88235294],0
p11,1,0.029002,4.767478,[43 32] ; [24  6],[47.85714286 27.14285714] ; [19.14285714 10.85714286],0
r4,1,0.029525,4.736744,[46 29] ; [25  5],[50.71428571 24.28571429] ; [20.28571429  9.71428571],0
a7,1,0.041358,4.161276,[33 41] ; [20 10],[37.71153846 36.28846154] ; [15.28846154 14.71153846],0
p10,1,0.046632,3.958633,[38 35] ; [22  8],[42.52427184 30.47572816] ; [17.47572816 12.52427184],0
a5,1,0.047032,3.944241,[29 46] ; [18 12],[33.57142857 41.42857143] ; [13.42857143 16.57142857],0
r2,1,0.054369,3.701346,[58 17] ; [28  2],[61.42857143 13.57142857] ; [24.57142857  5.42857143],0
b5,1,0.055602,3.663943,[43 32] ; [11 19],[38.57142857 36.42857143] ; [15.42857143 14.57142857],0
a4,1,0.081141,3.041895,[19 56] ; [ 3 27],[15.71428571 59.28571429] ; [ 6.28571429 23.71428571],0
a6,1,0.092231,2.835,[39 36] ; [21  9],[42.85714286 32.14285714] ; [17.14285714 12.85714286],0
a3,1,0.103983,2.64337,[29 45] ; [17 13],[32.73076923 41.26923077] ; [13.26923077 16.73076923],0
s4,1,0.128305,2.312896,[17 57] ; [ 3 27],[14.23076923 59.76923077] ; [ 5.76923077 24.23076923],0
v4,1,0.151699,2.055085,[61 13] ; [28  2],[63.32692308 10.67307692] ; [25.67307692  4.32692308],0
s6,1,0.189295,1.723098,[31 42] ; [17 13],[34.01941748 38.98058252] ; [13.98058252 16.01941748],0
n2,1,0.19317,1.693271,[17 14] ; [5 1],[18.43243243 12.56756757] ; [3.56756757 2.43243243],0
s8,1,0.211437,1.561562,[16 58] ; [10 20],[18.5 55.5] ; [ 7.5 22.5],0
s2,1,0.216719,1.525966,[23 52] ; [13 17],[25.71428571 49.28571429] ; [10.28571429 19.71428571],0
d2,1,0.224188,1.477361,[21 54] ; [ 5 25],[18.57142857 56.42857143] ; [ 7.42857143 22.57142857],0
d3,1,0.230832,1.435727,[14 59] ; [ 9 21],[16.30097087 56.69902913] ; [ 6.69902913 23.30097087],0
p12,1,0.231468,1.431818,[ 3 72] ; [ 3 27],[ 4.28571429 70.71428571] ; [ 1.71428571 28.28571429],0
s7,1,0.297245,1.086512,[21 52] ; [10 15],[23.09183673 49.90816327] ; [ 7.90816327 17.09183673],0
p4,1,0.349575,0.875,[30 45] ; [15 15],[32.14285714 42.85714286] ; [12.85714286 17.14285714],0
p3,1,0.359538,0.839507,[25 49] ; [13 17],[27.03846154 46.96153846] ; [10.96153846 19.03846154],0
p7,1,0.386865,0.748773,[40 34] ; [19 11],[41.98076923 32.01923077] ; [17.01923077 12.98076923],0
p8,1,0.407799,0.685207,[30 43] ; [15 15],[31.89320388 41.10679612] ; [13.10679612 16.89320388],0
s3,1,0.450694,0.568905,[31 43] ; [15 15],[32.73076923 41.26923077] ; [13.26923077 16.73076923],0
d5,1,0.482969,0.492151,[29 45] ; [14 16],[30.59615385 43.40384615] ; [12.40384615 17.59615385],0
a8,1,0.483144,0.491759,[ 8 61] ; [ 2 27],[ 7.04081633 61.95918367] ; [ 2.95918367 26.04081633],0
u1,1,0.498214,0.458738,[ 1 74] ; [ 1 29],[ 1.42857143 73.57142857] ; [ 0.57142857 29.42857143],0
a2,1,0.506198,0.441919,[ 5 70] ; [ 1 29],[ 4.28571429 70.71428571] ; [ 1.71428571 28.28571429],0
p2,1,0.599236,0.27615,[53 21] ; [23  7],[54.07692308 19.92307692] ; [21.92307692  8.07692308],0
b4,1,0.621452,0.243832,[36 39] ; [16 14],[37.14285714 37.85714286] ; [14.85714286 15.14285714],0
d1,1,0.66375,0.189,[ 4 71] ; [ 1 29],[ 3.57142857 71.42857143] ; [ 1.42857143 28.57142857],0
n6,1,0.724051,0.124644,[55 20] ; [23  7],[55.71428571 19.28571429] ; [22.28571429  7.71428571],0
n1,1,0.733271,0.116129,[10 21] ; [2 3],[10.33333333 20.66666667] ; [1.66666667 3.33333333],0
p5,1,0.771214,0.084557,[ 6 67] ; [ 3 27],[ 6.37864078 66.62135922] ; [ 2.62135922 27.37864078],0
n4,1,0.799344,0.064615,[47 28] ; [18 12],[46.42857143 28.57142857] ; [18.57142857 11.42857143],0
u3,1,0.806749,0.05984,[16 30] ; [5 8],[16.37288136 29.62711864] ; [4.62711864 8.37288136],0
b3,1,0.825811,0.048434,[10 34] ; [ 3 12],[ 9.69491525 34.30508475] ; [ 3.30508475 11.69491525],0
b2,1,0.825811,0.048434,[10 34] ; [ 3 12],[ 9.69491525 34.30508475] ; [ 3.30508475 11.69491525],0
p6,1,0.860013,0.031102,[21 53] ; [ 8 22],[20.63461538 53.36538462] ; [ 8.36538462 21.63461538],0
u2,1,0.900261,0.015708,[15 31] ; [4 9],[14.81355932 31.18644068] ; [4.18644068 8.81355932],0
n5,1,0.946547,0.004495,[52 23] ; [21  9],[52.14285714 22.85714286] ; [20.85714286  9.14285714],0
b1,1,0.950275,0.003889,[32 43] ; [13 17],[32.14285714 42.85714286] ; [12.85714286 17.14285714],0
