Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.738473,[32 36] ; [200  67],[47.09253731 20.90746269] ; [184.90746269  82.09253731],1
p8,1,1.8e-05,18.348832,[23 46] ; [168 103],[38.76176471 30.23823529] ; [152.23823529 118.76176471],1
p10,1,0.001076,10.692777,[50 16] ; [248  26],[57.84705882  8.15294118] ; [240.15294118  33.84705882],0
n4,1,0.0015,10.078193,[48 19] ; [242  35],[56.48255814 10.51744186] ; [233.51744186  43.48255814],0
b1,1,0.005719,7.636686,[38 31] ; [102 175],[27.91907514 41.08092486] ; [112.08092486 164.91907514],0
p9,1,0.007339,7.188182,[55 12] ; [255  20],[60.73099415  6.26900585] ; [249.26900585  25.73099415],0
r3,1,0.015778,5.827397,[64  5] ; [272   5],[67.00578035  1.99421965] ; [268.99421965   8.00578035],0
n5,1,0.017506,5.644925,[48 20] ; [229  46],[54.9154519 13.0845481] ; [222.0845481  52.9154519],0
p1,1,0.027053,4.887399,[10 58] ; [ 18 258],[ 5.53488372 62.46511628] ; [ 22.46511628 253.53488372],0
s4,1,0.031521,4.624378,[20 49] ; [ 48 227],[13.63953488 55.36046512] ; [ 54.36046512 220.63953488],0
p2,1,0.043837,4.062823,[53 16] ; [239  37],[58.4 10.6] ; [233.6  42.4],0
a5,1,0.048018,3.909367,[51 18] ; [233  44],[56.63583815 12.36416185] ; [227.36416185  49.63583815],0
p4,1,0.066437,3.368935,[40 29] ; [192  84],[46.4 22.6] ; [185.6  90.4],0
s5,1,0.086021,2.947301,[35 28] ; [115 149],[28.89908257 34.10091743] ; [121.10091743 142.89908257],0
n6,1,0.138632,2.19308,[55 12] ; [245  31],[58.60058309  8.39941691] ; [241.39941691  34.60058309],0
u1,1,0.149251,2.07989,[22 47] ; [ 65 212],[17.34971098 51.65028902] ; [ 69.65028902 207.34971098],0
s7,1,0.156095,2.011656,[50 10] ; [201  68],[45.77507599 14.22492401] ; [205.22492401  63.77507599],0
v3,1,0.157481,1.998253,[27 38] ; [136 129],[32.10606061 32.89393939] ; [130.89393939 134.10606061],0
s2,1,0.165742,1.921037,[55 14] ; [195  78],[50.43859649 18.56140351] ; [199.56140351  73.43859649],0
b3,1,0.178667,1.808676,[13 27] ; [ 88 112],[16.83333333 23.16666667] ; [ 84.16666667 115.83333333],0
b2,1,0.178667,1.808676,[13 27] ; [ 88 112],[16.83333333 23.16666667] ; [ 84.16666667 115.83333333],0
p3,1,0.200318,1.640056,[36 33] ; [168 109],[40.68208092 28.31791908] ; [163.31791908 113.68208092],0
s3,1,0.202329,1.625484,[47 22] ; [205  66],[51.14117647 17.85882353] ; [200.85882353  70.14117647],0
s6,1,0.214646,1.539813,[60  6] ; [233  41],[56.87647059  9.12352941] ; [236.12352941  37.87647059],0
d4,1,0.223955,1.47885,[60  9] ; [254  23],[62.61849711  6.38150289] ; [251.38150289  25.61849711],0
n1,1,0.225548,1.468721,[15 12] ; [21 30],[12.46153846 14.53846154] ; [23.53846154 27.46153846],0
d2,1,0.231073,1.434243,[47 22] ; [167 110],[42.67630058 26.32369942] ; [171.32369942 105.67630058],0
u3,1,0.24746,1.337585,[13  2] ; [36 14],[11.30769231  3.69230769] ; [37.69230769 12.30769231],0
v1,1,0.274106,1.196085,[39 29] ; [171  94],[42.88288288 25.11711712] ; [167.11711712  97.88288288],0
a7,1,0.282616,1.154466,[53 16] ; [194  82],[49.4 19.6] ; [197.6  78.4],0
r1,1,0.325995,0.964741,[61  7] ; [234  41],[58.48396501  9.51603499] ; [236.51603499  38.48396501],0
p12,1,0.340774,0.907518,[ 5 63] ; [ 31 243],[ 7.15789474 60.84210526] ; [ 28.84210526 245.15789474],0
p5,1,0.349861,0.873961,[ 8 61] ; [ 44 229],[10.49122807 58.50877193] ; [ 41.50877193 231.49122807],0
p6,1,0.361935,0.831167,[29 40] ; [131 141],[32.37536657 36.62463343] ; [127.62463343 144.37536657],0
v2,1,0.388309,0.74423,[39 28] ; [170  96],[42.05105105 24.94894895] ; [166.94894895  99.05105105],0
b5,1,0.389877,0.739327,[45 24] ; [165 112],[41.87861272 27.12138728] ; [168.12138728 108.87861272],0
a2,1,0.397601,0.71557,[23 46] ; [ 78 199],[20.1416185 48.8583815] ; [ 80.8583815 196.1416185],0
a3,1,0.446192,0.580307,[54 15] ; [227  49],[56.2 12.8] ; [224.8  51.2],0
n3,1,0.463386,0.537704,[20  7] ; [35 18],[18.5625  8.4375] ; [36.4375 16.5625],0
a4,1,0.466038,0.531354,[39 30] ; [143 134],[36.29479769 32.70520231] ; [145.70520231 131.29479769],0
b4,1,0.491565,0.473098,[43 26] ; [160 117],[40.48265896 28.51734104] ; [162.51734104 114.48265896],0
a1,1,0.503262,0.448052,[ 3 66] ; [ 18 259],[ 4.18786127 64.81213873] ; [ 16.81213873 260.18786127],0
d1,1,0.557321,0.344364,[51 18] ; [214  63],[52.84682081 16.15317919] ; [212.15317919  64.84682081],0
a6,1,0.606506,0.265294,[48 21] ; [183  93],[46.2 22.8] ; [184.8  91.2],0
r4,1,0.647208,0.209439,[64  5] ; [261  16],[64.81213873  4.18786127] ; [260.18786127  16.81213873],0
a8,1,0.657016,0.197168,[ 9 51] ; [ 44 209],[10.15974441 49.84025559] ; [ 42.84025559 210.15974441],0
s1,1,0.67141,0.179958,[ 2 66] ; [ 11 261],[ 2.6 65.4] ; [ 10.4 261.6],0
u2,1,0.793615,0.068445,[9 5] ; [34 16],[9.40625 4.59375] ; [33.59375 16.40625],0
d3,1,0.842328,0.039568,[50 19] ; [204  73],[50.65317919 18.34682081] ; [203.34682081  73.65317919],0
v4,1,0.878226,0.023476,[67  2] ; [267   9],[66.8  2.2] ; [267.2   8.8],0
r2,1,0.881974,0.022043,[66  2] ; [264   9],[65.80645161  2.19354839] ; [264.19354839   8.80645161],0
u4,1,0.887006,0.02019,[ 3 66] ; [ 11 266],[ 2.79190751 66.20809249] ; [ 11.20809249 265.79190751],0
n2,1,0.962497,0.002211,[20  7] ; [39 14],[19.9125  7.0875] ; [39.0875 13.9125],0
