Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,59.762448,[233  69] ; [62 91],[195.8021978 106.1978022] ; [99.1978022 53.8021978],1
a4,1,0.0,45.523103,[147 154] ; [ 25 128],[114.03524229 186.96475771] ; [57.96475771 95.03524229],1
a6,1,0.0,38.831771,[231  71] ; [73 81],[201.33333333 100.66666667] ; [102.66666667  51.33333333],1
d5,1,0.0,36.061324,[251  51] ; [88 66],[224.51315789  77.48684211] ; [114.48684211  39.51315789],1
d2,1,0.0,35.543788,[154 147] ; [ 34 120],[124.36923077 176.63076923] ; [63.63076923 90.36923077],1
d1,1,0.0,31.053937,[176 127] ; [ 47 107],[147.85339168 155.14660832] ; [75.14660832 78.85339168],1
u1,1,1e-06,23.566913,[ 54 249] ; [  3 151],[ 37.79212254 265.20787746] ; [ 19.20787746 134.79212254],1
d4,1,2e-06,22.847778,[246  56] ; [93 60],[225.00659341  76.99340659] ; [113.99340659  39.00659341],1
r1,1,1.9e-05,18.32713,[238  63] ; [92 61],[218.78854626  82.21145374] ; [111.21145374  41.78854626],1
d3,1,7.7e-05,15.635798,[210  92] ; [78 76],[190.73684211 111.26315789] ; [97.26315789 56.73684211],1
r4,1,0.000176,14.076239,[256  47] ; [107  47],[240.6761488  62.3238512] ; [122.3238512  31.6761488],1
n4,1,0.000201,13.825547,[227  75] ; [89 64],[209.74065934  92.25934066] ; [106.25934066  46.74065934],1
s7,1,0.00049,12.15279,[110 174] ; [ 33 116],[ 93.79214781 190.20785219] ; [49.20785219 99.79214781],1
p11,1,0.001851,9.69205,[231  72] ; [96 58],[216.80743982  86.19256018] ; [110.19256018  43.80743982],0
p4,1,0.002734,8.976901,[143 160] ; [ 49 102],[128.14096916 174.85903084] ; [63.85903084 87.14096916],0
v1,1,0.007095,7.24876,[138 156] ; [50 99],[124.76749436 169.23250564] ; [63.23250564 85.76749436],0
r3,1,0.008903,6.842222,[275  26] ; [128  26],[266.6  34.4] ; [136.4  17.6],0
v2,1,0.010691,6.515901,[149 141] ; [54 87],[136.58932715 153.41067285] ; [66.41067285 74.58932715],0
a7,1,0.014048,6.03211,[222  80] ; [96 58],[210.60526316  91.39473684] ; [107.39473684  46.60526316],0
n5,1,0.015513,5.857275,[216  85] ; [92 60],[204.65342163  96.34657837] ; [103.34657837  48.65342163],0
r2,1,0.020436,5.374253,[271  27] ; [127  25],[263.56444444  34.43555556] ; [134.43555556  17.56444444],0
p9,1,0.022427,5.212355,[227  71] ; [99 51],[216.84821429  81.15178571] ; [109.15178571  40.84821429],0
p8,1,0.023165,5.156118,[125 175] ; [ 47 106],[113.90728477 186.09271523] ; [58.09271523 94.90728477],0
p3,1,0.029241,4.753363,[115 186] ; [ 43 111],[104.52307692 196.47692308] ; [ 53.47692308 100.52307692],0
b3,1,0.030304,4.691974,[ 63 123] ; [17 65],[ 55.52238806 130.47761194] ; [24.47761194 57.52238806],0
b2,1,0.030304,4.691974,[ 63 123] ; [17 65],[ 55.52238806 130.47761194] ; [24.47761194 57.52238806],0
p10,1,0.030625,4.673885,[223  79] ; [96 54],[213.13716814  88.86283186] ; [105.86283186  44.13716814],0
v3,1,0.038282,4.292427,[105 181] ; [ 40 109],[ 95.33333333 190.66666667] ; [49.66666667 99.33333333],0
v4,1,0.063825,3.435088,[273  28] ; [129  23],[267.11258278  33.88741722] ; [134.88741722  17.11258278],0
a8,1,0.079869,3.067559,[ 39 235] ; [ 12 132],[ 33.43062201 240.56937799] ; [ 17.56937799 126.43062201],0
s6,1,0.120155,2.415296,[157 144] ; [68 85],[149.17400881 151.82599119] ; [75.82599119 77.17400881],0
p2,1,0.121266,2.400891,[224  77] ; [104  50],[216.98461538  84.01538462] ; [111.01538462  42.98461538],0
s8,1,0.129984,2.292692,[ 93 209] ; [ 37 117],[ 86.09649123 215.90350877] ; [ 43.90350877 110.09649123],0
a1,1,0.185061,1.756508,[ 16 287] ; [  4 150],[ 13.26039387 289.73960613] ; [  6.73960613 147.26039387],0
n1,1,0.248991,1.328955,[31 51] ; [14 36],[27.95454545 54.04545455] ; [17.04545455 32.95454545],0
p7,1,0.26795,1.227209,[145 154] ; [64 85],[139.48883929 159.51116071] ; [69.51116071 79.48883929],0
u4,1,0.273518,1.199017,[  6 297] ; [  1 153],[  4.64113786 298.35886214] ; [  2.35886214 151.64113786],0
b4,1,0.312852,1.018597,[170 133] ; [94 60],[175.03719912 127.96280088] ; [88.96280088 65.03719912],0
s4,1,0.338423,0.916395,[ 34 268] ; [ 22 131],[ 37.16923077 264.83076923] ; [ 18.83076923 134.16923077],0
p1,1,0.40546,0.692072,[ 14 287] ; [ 10 144],[ 15.87692308 285.12307692] ; [  8.12307692 145.87692308],0
p12,1,0.410965,0.676007,[ 10 291] ; [  3 150],[  8.61894273 292.38105727] ; [  4.38105727 148.61894273],0
s3,1,0.487397,0.482267,[131 170] ; [70 79],[134.44666667 166.55333333] ; [66.55333333 82.44666667],0
n2,1,0.494186,0.467399,[58 26] ; [31 18],[56.21052632 27.78947368] ; [32.78947368 16.21052632],0
n6,1,0.495364,0.464853,[227  73] ; [112  42],[224.00881057  75.99118943] ; [114.99118943  39.00881057],0
s2,1,0.498079,0.459027,[106 195] ; [ 49 104],[102.76431718 198.23568282] ; [ 52.23568282 100.76431718],0
u3,1,0.508919,0.436288,[37 32] ; [44 47],[34.93125 34.06875] ; [46.06875 44.93125],0
s1,1,0.510709,0.432613,[ 10 290] ; [  7 146],[ 11.25827815 288.74172185] ; [  5.74172185 147.25827815],0
n3,1,0.586715,0.295504,[54 27] ; [31 19],[52.55725191 28.44274809] ; [32.44274809 17.55725191],0
b1,1,0.591301,0.288317,[118 185] ; [56 98],[115.3654267 187.6345733] ; [58.6345733 95.3654267],0
u2,1,0.773729,0.082656,[37 33] ; [45 44],[36.10062893 33.89937107] ; [45.89937107 43.10062893],0
p5,1,0.818026,0.052939,[ 11 287] ; [  5 148],[ 10.57206208 287.42793792] ; [  5.42793792 147.57206208],0
b5,1,0.94259,0.005186,[186 117] ; [94 60],[185.64551422 117.35448578] ; [94.35448578 59.64551422],0
