Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.05945,3.552653,[4 6] ; [6 1],[5.88235294 4.11764706] ; [4.11764706 2.88235294],0
s6,1,0.068406,3.320866,[11 13] ; [10  3],[13.62162162 10.37837838] ; [7.37837838 5.62162162],0
v3,1,0.07932,3.078772,[ 6 18] ; [7 6],[ 8.43243243 15.56756757] ; [4.56756757 8.43243243],0
s7,1,0.08209,3.023032,[ 5 16] ; [6 5],[ 7.21875 13.78125] ; [3.78125 7.21875],0
p9,1,0.10247,2.666667,[16  8] ; [11  1],[18.  6.] ; [9. 3.],0
p5,1,0.114905,2.485428,[ 7 16] ; [ 1 12],[ 5.11111111 17.88888889] ; [ 2.88888889 10.11111111],0
b4,1,0.139488,2.183598,[ 7 17] ; [7 6],[ 9.08108108 14.91891892] ; [4.91891892 8.08108108],0
s3,1,0.151494,2.057143,[ 8 16] ; [7 5],[10. 14.] ; [5. 7.],0
a4,1,0.173023,1.856556,[11 13] ; [ 3 10],[ 9.08108108 14.91891892] ; [4.91891892 8.08108108],0
n4,1,0.173023,1.856556,[13 11] ; [10  3],[14.91891892  9.08108108] ; [8.08108108 4.91891892],0
p6,1,0.189446,1.721923,[ 6 18] ; [6 7],[ 7.78378378 16.21621622] ; [4.21621622 8.78378378],0
v4,1,0.189446,1.721923,[18  6] ; [7 6],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
p3,1,0.225038,1.47195,[16  8] ; [6 7],[14.27027027  9.72972973] ; [7.72972973 5.27027027],0
b1,1,0.225038,1.47195,[16  8] ; [6 7],[14.27027027  9.72972973] ; [7.72972973 5.27027027],0
n5,1,0.258152,1.278641,[14 10] ; [10  3],[15.56756757  8.43243243] ; [8.43243243 4.56756757],0
r3,1,0.35092,0.870129,[17  7] ; [11  2],[18.16216216  5.83783784] ; [9.83783784 3.16216216],0
d1,1,0.37095,0.800481,[ 9 15] ; [ 3 10],[ 7.78378378 16.21621622] ; [4.21621622 8.78378378],0
p8,1,0.428602,0.626609,[11 12] ; [8 5],[12.13888889 10.86111111] ; [6.86111111 6.13888889],0
r1,1,0.442703,0.589266,[ 8 16] ; [6 7],[ 9.08108108 14.91891892] ; [4.91891892 8.08108108],0
s2,1,0.473289,0.514286,[ 9 15] ; [6 6],[10. 14.] ; [5. 7.],0
a3,1,0.477897,0.503658,[14 10] ; [6 7],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
u3,1,0.485845,0.485714,[4 6] ; [4 3],[4.70588235 5.29411765] ; [3.29411765 3.70588235],0
a8,1,0.512336,0.429293,[ 2 20] ; [ 2 10],[ 2.58823529 19.41176471] ; [ 1.41176471 10.58823529],0
v2,1,0.549495,0.358222,[10 13] ; [7 6],[10.86111111 12.13888889] ; [6.13888889 6.86111111],0
d2,1,0.564222,0.332447,[ 7 17] ; [5 8],[ 7.78378378 16.21621622] ; [4.21621622 8.78378378],0
p7,1,0.564222,0.332447,[17  7] ; [8 5],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
d5,1,0.564222,0.332447,[17  7] ; [8 5],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
d3,1,0.608766,0.261976,[15  9] ; [7 6],[14.27027027  9.72972973] ; [7.72972973 5.27027027],0
s4,1,0.634592,0.225885,[ 4 20] ; [ 3 10],[ 4.54054054 19.45945946] ; [ 2.45945946 10.54054054],0
a2,1,0.650722,0.204991,[ 1 23] ; [ 1 12],[ 1.2972973 22.7027027] ; [ 0.7027027 12.2972973],0
s1,1,0.650722,0.204991,[ 1 23] ; [ 1 12],[ 1.2972973 22.7027027] ; [ 0.7027027 12.2972973],0
u1,1,0.650722,0.204991,[ 1 23] ; [ 1 12],[ 1.2972973 22.7027027] ; [ 0.7027027 12.2972973],0
r4,1,0.682234,0.167622,[ 9 15] ; [4 9],[ 8.43243243 15.56756757] ; [4.56756757 8.43243243],0
p2,1,0.686225,0.163202,[19  5] ; [11  2],[19.45945946  4.54054054] ; [10.54054054  2.45945946],0
p11,1,0.690487,0.158559,[17  7] ; [10  3],[17.51351351  6.48648649] ; [9.48648649 3.51351351],0
