Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.150245,[73  4] ; [2 4],[69.57831325  7.42168675] ; [5.42168675 0.57831325],1
n6,1,0.003779,8.386831,[73  3] ; [4 2],[71.36585366  4.63414634] ; [5.63414634 0.36585366],0
d5,1,0.005984,7.555129,[62 14] ; [2 4],[59.31707317 16.68292683] ; [4.68292683 1.31707317],0
v1,1,0.006352,7.447764,[54 22] ; [1 5],[50.97560976 25.02439024] ; [4.02439024 1.97560976],0
s3,1,0.028728,4.783837,[57 19] ; [2 4],[54.68292683 21.31707317] ; [4.31707317 1.68292683],0
r2,1,0.043205,4.087364,[70  6] ; [4 2],[68.58536585  7.41463415] ; [5.41463415 0.58536585],0
s7,1,0.062634,3.46623,[59 13] ; [3 3],[57.23076923 14.76923077] ; [4.76923077 1.23076923],0
s2,1,0.063873,3.433857,[54 23] ; [2 4],[51.95180723 25.04819277] ; [4.04819277 1.95180723],0
d2,1,0.089843,2.877193,[40 36] ; [1 5],[38. 38.] ; [3. 3.],0
a3,1,0.100816,2.692589,[61 16] ; [3 3],[59.37349398 17.62650602] ; [4.62650602 1.37349398],0
d1,1,0.162042,1.955068,[48 29] ; [2 4],[46.38554217 30.61445783] ; [3.61445783 2.38554217],0
p2,1,0.17226,1.863169,[67 10] ; [4 2],[65.86746988 11.13253012] ; [5.13253012 0.86746988],0
b4,1,0.208931,1.578817,[44 33] ; [5 1],[45.45783133 31.54216867] ; [3.54216867 2.45783133],0
v3,1,0.2173,1.522114,[45 31] ; [2 4],[43.56097561 32.43902439] ; [3.43902439 2.56097561],0
d4,1,0.223352,1.482701,[65 11] ; [4 2],[63.95121951 12.04878049] ; [5.04878049 0.95121951],0
p12,1,0.236927,1.398787,[21 56] ; [3 3],[22.26506024 54.73493976] ; [1.73493976 4.26506024],0
r1,1,0.313152,1.017333,[64 13] ; [4 2],[63.08433735 13.91566265] ; [4.91566265 1.08433735],0
s5,1,0.314604,1.011248,[51 22] ; [3 3],[49.89873418 23.10126582] ; [4.10126582 1.89873418],0
d3,1,0.317214,1.000398,[53 23] ; [3 3],[51.90243902 24.09756098] ; [4.09756098 1.90243902],0
b2,1,0.33373,0.934372,[28 28] ; [1 3],[27.06666667 28.93333333] ; [1.93333333 2.06666667],0
b3,1,0.33373,0.934372,[28 28] ; [1 3],[27.06666667 28.93333333] ; [1.93333333 2.06666667],0
b5,1,0.379718,0.771614,[37 40] ; [4 2],[38.03614458 38.96385542] ; [2.96385542 3.03614458],0
s8,1,0.394972,0.72358,[51 25] ; [3 3],[50.04878049 25.95121951] ; [3.95121951 2.04878049],0
p6,1,0.408804,0.682278,[50 25] ; [3 3],[49.07407407 25.92592593] ; [3.92592593 2.07407407],0
a7,1,0.492023,0.472098,[54 23] ; [5 1],[54.73493976 22.26506024] ; [4.26506024 1.73493976],0
p1,1,0.530306,0.393806,[22 55] ; [1 5],[21.3373494 55.6626506] ; [1.6626506 4.3373494],0
a5,1,0.570754,0.321422,[56 21] ; [5 1],[56.59036145 20.40963855] ; [4.40963855 1.59036145],0
v2,1,0.587906,0.293627,[42 34] ; [4 2],[42.63414634 33.36585366] ; [3.36585366 2.63414634],0
b1,1,0.693133,0.155714,[32 45] ; [2 4],[31.54216867 45.45783133] ; [2.45783133 3.54216867],0
a6,1,0.719933,0.128557,[45 31] ; [4 2],[45.41463415 30.58536585] ; [3.58536585 2.41463415],0
p4,1,0.738101,0.111803,[66  9] ; [5 1],[65.74074074  9.25925926] ; [5.25925926 0.74074074],0
p3,1,0.745301,0.105522,[59 17] ; [5 1],[59.31707317 16.68292683] ; [4.68292683 1.31707317],0
p7,1,0.775374,0.081426,[58 16] ; [5 1],[58.275 15.725] ; [4.725 1.275],0
s4,1,0.808173,0.058944,[10 66] ; [1 5],[10.19512195 65.80487805] ; [0.80487805 5.19512195],0
u1,1,0.866353,0.028322,[15 62] ; [1 5],[14.84337349 62.15662651] ; [1.15662651 4.84337349],0
p8,1,0.866353,0.028322,[62 15] ; [5 1],[62.15662651 14.84337349] ; [4.84337349 1.15662651],0
u3,1,0.8908,0.018849,[10  6] ; [2 1],[10.10526316  5.89473684] ; [1.89473684 1.10526316],0
a1,1,0.943992,0.004936,[12 65] ; [1 5],[12.06024096 64.93975904] ; [0.93975904 5.06024096],0
