Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.9e-05,17.510218,[81  1] ; [4 2],[79.20454545  2.79545455] ; [5.79545455 0.20454545],1
p11,1,8.8e-05,15.375838,[74  8] ; [2 4],[70.81818182 11.18181818] ; [5.18181818 0.81818182],1
s1,1,0.002437,9.187031,[ 3 79] ; [2 4],[ 4.65909091 77.34090909] ; [0.34090909 5.65909091],0
p2,1,0.018272,5.569841,[76  5] ; [4 2],[74.48275862  6.51724138] ; [5.51724138 0.48275862],0
v3,1,0.037608,4.32265,[47 31] ; [1 5],[44.57142857 33.42857143] ; [3.42857143 2.57142857],0
v1,1,0.04019,4.209857,[57 21] ; [2 4],[54.78571429 23.21428571] ; [4.21428571 1.78571429],0
a5,1,0.063076,3.454588,[67 15] ; [3 3],[65.22727273 16.77272727] ; [4.77272727 1.22727273],0
s5,1,0.107077,2.596836,[49 25] ; [2 4],[47.175 26.825] ; [3.825 2.175],0
a6,1,0.109934,2.555168,[54 28] ; [2 4],[52.18181818 29.81818182] ; [3.81818182 2.18181818],0
p1,1,0.14291,2.146341,[19 63] ; [3 3],[20.5 61.5] ; [1.5 4.5],0
a7,1,0.195346,1.676829,[61 21] ; [3 3],[59.63636364 22.36363636] ; [4.36363636 1.63636364],0
b4,1,0.230928,1.435137,[48 34] ; [5 1],[49.38636364 32.61363636] ; [3.61363636 2.38636364],0
s3,1,0.256971,1.285001,[48 32] ; [5 1],[49.30232558 30.69767442] ; [3.69767442 2.30232558],0
a3,1,0.27171,1.208093,[69 13] ; [4 2],[68.02272727 13.97727273] ; [4.97727273 1.02272727],0
n6,1,0.311431,1.024599,[76  6] ; [4 1],[75.40229885  6.59770115] ; [4.59770115 0.40229885],0
r3,1,0.334043,0.93316,[75  5] ; [5 1],[74.41860465  5.58139535] ; [5.58139535 0.41860465],0
v4,1,0.334043,0.93316,[75  5] ; [5 1],[74.41860465  5.58139535] ; [5.58139535 0.41860465],0
p7,1,0.345619,0.889477,[65 14] ; [4 2],[64.12941176 14.87058824] ; [4.87058824 1.12941176],0
b5,1,0.36613,0.816756,[39 43] ; [4 2],[40.06818182 41.93181818] ; [2.93181818 3.06818182],0
r1,1,0.377193,0.779832,[66 15] ; [4 2],[65.17241379 15.82758621] ; [4.82758621 1.17241379],0
a4,1,0.397641,0.715447,[42 40] ; [2 4],[41. 41.] ; [3. 3.],0
s7,1,0.455802,0.556183,[53 24] ; [5 1],[53.80722892 23.19277108] ; [4.19277108 1.80722892],0
n1,1,0.527089,0.4,[7 8] ; [2 1],[7.5 7.5] ; [1.5 1.5],0
s8,1,0.527757,0.398709,[51 30] ; [3 3],[50.27586207 30.72413793] ; [3.72413793 2.27586207],0
u1,1,0.572929,0.317807,[19 63] ; [2 4],[19.56818182 62.43181818] ; [1.43181818 4.56818182],0
d1,1,0.584447,0.2991,[60 22] ; [5 1],[60.56818182 21.43181818] ; [4.43181818 1.56818182],0
u2,1,0.591208,0.288462,[9 4] ; [1 1],[8.66666667 4.33333333] ; [1.33333333 0.66666667],0
p6,1,0.630591,0.231261,[48 32] ; [3 3],[47.44186047 32.55813953] ; [3.55813953 2.44186047],0
d2,1,0.638935,0.220138,[49 33] ; [3 3],[48.45454545 33.54545455] ; [3.54545455 2.45454545],0
d5,1,0.671563,0.179779,[73  9] ; [5 1],[72.68181818  9.31818182] ; [5.31818182 0.68181818],0
s2,1,0.703419,0.144939,[47 33] ; [4 2],[47.44186047 32.55813953] ; [3.55813953 2.44186047],0
r4,1,0.749197,0.102207,[72 10] ; [5 1],[71.75 10.25] ; [5.25 0.75],0
p3,1,0.761364,0.092228,[64 18] ; [5 1],[64.29545455 17.70454545] ; [4.70454545 1.29545455],0
b1,1,0.771637,0.084236,[36 46] ; [3 3],[36.34090909 45.65909091] ; [2.65909091 3.34090909],0
b3,1,0.773885,0.08254,[28 32] ; [2 3],[27.69230769 32.30769231] ; [2.30769231 2.69230769],0
b2,1,0.773885,0.08254,[28 32] ; [2 3],[27.69230769 32.30769231] ; [2.30769231 2.69230769],0
p8,1,0.864676,0.029045,[66 16] ; [5 1],[66.15909091 15.84090909] ; [4.84090909 1.15909091],0
a1,1,0.892262,0.018345,[12 70] ; [1 5],[12.11363636 69.88636364] ; [0.88636364 5.11363636],0
s6,1,0.91478,0.011452,[62 14] ; [5 1],[62.09756098 13.90243902] ; [4.90243902 1.09756098],0
