Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-05,19.575045,[77  3] ; [76 31],[65.45454545 14.54545455] ; [87.54545455 19.45454545],1
v3,1,1.1e-05,19.260852,[39 39] ; [20 84],[25.28571429 52.71428571] ; [33.71428571 70.28571429],1
v1,1,2.1e-05,18.135561,[50 28] ; [34 71],[35.80327869 42.19672131] ; [48.19672131 56.80327869],1
d5,1,0.000324,12.924779,[63 17] ; [57 50],[51.3368984 28.6631016] ; [68.6631016 38.3368984],1
p7,1,0.000588,11.813784,[48 31] ; [37 68],[36.49456522 42.50543478] ; [48.50543478 56.49456522],1
r4,1,0.000986,10.853914,[67 13] ; [66 41],[56.89839572 23.10160428] ; [76.10160428 30.89839572],1
d4,1,0.001715,9.831556,[65 15] ; [64 43],[55.18716578 24.81283422] ; [73.81283422 33.18716578],0
p8,1,0.001794,9.748761,[36 44] ; [25 82],[26.09625668 53.90374332] ; [34.90374332 72.09625668],0
p10,1,0.001869,9.673868,[61 18] ; [59 48],[50.96774194 28.03225806] ; [69.03225806 37.96774194],0
d1,1,0.003373,8.594023,[40 40] ; [31 76],[30.37433155 49.62566845] ; [40.62566845 66.37433155],0
r1,1,0.004285,8.158742,[61 19] ; [60 47],[51.76470588 28.23529412] ; [69.23529412 37.76470588],0
s2,1,0.00908,6.807,[40 40] ; [33 73],[31.39784946 48.60215054] ; [41.60215054 64.39784946],0
p11,1,0.015181,5.895371,[62 18] ; [65 42],[54.3315508 25.6684492] ; [72.6684492 34.3315508],0
p3,1,0.015834,5.821209,[38 42] ; [32 74],[30.10752688 49.89247312] ; [39.89247312 66.10752688],0
r2,1,0.015841,5.820489,[70  7] ; [82 24],[63.95628415 13.04371585] ; [88.04371585 17.95628415],0
p9,1,0.016087,5.79333,[62 17] ; [65 40],[54.52717391 24.47282609] ; [72.47282609 32.52717391],0
s8,1,0.018918,5.509098,[34 46] ; [28 79],[26.52406417 53.47593583] ; [35.47593583 71.52406417],0
s5,1,0.020081,5.404848,[29 48] ; [23 82],[22. 55.] ; [30. 75.],0
a5,1,0.029353,4.746779,[58 22] ; [61 46],[50.90909091 29.09090909] ; [68.09090909 38.90909091],0
p4,1,0.052167,3.7704,[38 41] ; [36 70],[31.6 47.4] ; [42.4 63.6],0
v4,1,0.05239,3.763274,[71  8] ; [84 22],[66.18918919 12.81081081] ; [88.81081081 17.18918919],0
a3,1,0.065828,3.384097,[60 20] ; [66 40],[54.19354839 25.80645161] ; [71.80645161 34.19354839],0
p2,1,0.075027,3.169458,[59 21] ; [65 41],[53.33333333 26.66666667] ; [70.66666667 35.33333333],0
s4,1,0.147595,2.096932,[10 70] ; [22 85],[13.68983957 66.31016043] ; [18.31016043 88.68983957],0
n4,1,0.156402,2.008676,[60 19] ; [71 36],[55.63978495 23.36021505] ; [75.36021505 31.63978495],0
n3,1,0.162745,1.948531,[14  4] ; [26 18],[11.61290323  6.38709677] ; [28.38709677 15.61290323],0
n6,1,0.185894,1.749859,[64 15] ; [77 29],[60.21081081 18.78918919] ; [80.78918919 25.21081081],0
s6,1,0.186838,1.742376,[43 35] ; [48 58],[38.57608696 39.42391304] ; [52.42391304 53.57608696],0
s1,1,0.198127,1.65613,[ 3 77] ; [ 9 98],[ 5.13368984 74.86631016] ; [  6.86631016 100.13368984],0
b2,1,0.212393,1.555037,[23 30] ; [22 46],[19.7107438 33.2892562] ; [25.2892562 42.7107438],0
b3,1,0.212393,1.555037,[23 30] ; [22 46],[19.7107438 33.2892562] ; [25.2892562 42.7107438],0
n2,1,0.259011,1.274036,[14  4] ; [29 17],[12.09375  5.90625] ; [30.90625 15.09375],0
p1,1,0.263899,1.248187,[ 4 76] ; [10 97],[ 5.98930481 74.01069519] ; [ 8.01069519 98.98930481],0
s7,1,0.271258,1.210375,[34 43] ; [36 64],[30.4519774 46.5480226] ; [39.5480226 60.4519774],0
b5,1,0.280158,1.166323,[34 46] ; [54 53],[37.64705882 42.35294118] ; [50.35294118 56.64705882],0
d2,1,0.290193,1.118727,[39 41] ; [43 62],[35.45945946 44.54054054] ; [46.54054054 58.45945946],0
u1,1,0.298829,1.079414,[ 2 78] ; [  6 101],[ 3.42245989 76.57754011] ; [  4.57754011 102.42245989],0
a4,1,0.356542,0.850037,[34 46] ; [38 68],[30.96774194 49.03225806] ; [41.03225806 64.96774194],0
s3,1,0.360284,0.836905,[42 38] ; [48 57],[38.91891892 41.08108108] ; [51.08108108 53.91891892],0
b1,1,0.36282,0.828109,[35 45] ; [54 53],[38.07486631 41.92513369] ; [50.92513369 56.07486631],0
a1,1,0.401108,0.705002,[ 3 77] ; [  7 100],[ 4.27807487 75.72192513] ; [  5.72192513 101.27807487],0
a8,1,0.630356,0.231579,[ 6 70] ; [10 90],[ 6.90909091 69.09090909] ; [ 9.09090909 90.90909091],0
d3,1,0.709411,0.138866,[30 50] ; [43 64],[31.22994652 48.77005348] ; [41.77005348 65.22994652],0
a2,1,0.75111,0.100601,[ 7 73] ; [ 8 99],[ 6.4171123 73.5828877] ; [ 8.5828877 98.4171123],0
p5,1,0.780099,0.077947,[ 7 73] ; [ 8 97],[ 6.48648649 73.51351351] ; [ 8.51351351 96.48648649],0
u3,1,0.796159,0.06673,[ 8 12] ; [15 26],[ 7.54098361 12.45901639] ; [15.45901639 25.54098361],0
