Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,8e-06,20.017743,[53  6] ; [3 7],[47.88405797 11.11594203] ; [8.11594203 1.88405797],1
d1,1,7.3e-05,15.718941,[44 15] ; [1 9],[38.47826087 20.52173913] ; [6.52173913 3.47826087],1
d3,1,0.000626,11.696062,[48 11] ; [3 7],[43.60869565 15.39130435] ; [7.39130435 2.60869565],1
a3,1,0.024609,5.051177,[52  7] ; [6 4],[49.5942029  9.4057971] ; [8.4057971 1.5942029],0
p1,1,0.027996,4.828329,[15 44] ; [6 4],[17.95652174 41.04347826] ; [3.04347826 6.95652174],0
p7,1,0.031601,4.62,[49  7] ; [6 4],[46.66666667  9.33333333] ; [8.33333333 1.66666667],0
p9,1,0.037669,4.319922,[57  2] ; [8 2],[55.57971014  3.42028986] ; [9.42028986 0.57971014],0
u3,1,0.044045,4.054847,[6 1] ; [1 3],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
s1,1,0.049294,3.865313,[ 5 54] ; [3 7],[ 6.84057971 52.15942029] ; [1.15942029 8.84057971],0
d2,1,0.129006,2.30443,[33 26] ; [3 7],[30.7826087 28.2173913] ; [5.2173913 4.7826087],0
p2,1,0.17007,1.882324,[55  4] ; [8 2],[53.86956522  5.13043478] ; [9.13043478 0.86956522],0
p8,1,0.189086,1.724725,[51  8] ; [7 3],[49.5942029  9.4057971] ; [8.4057971 1.5942029],0
s5,1,0.228007,1.453252,[33 22] ; [8 2],[34.69230769 20.30769231] ; [6.30769231 3.69230769],0
p10,1,0.274117,1.196027,[53  5] ; [8 2],[52.02941176  5.97058824] ; [8.97058824 1.02941176],0
v2,1,0.293886,1.101735,[33 24] ; [4 6],[31.47761194 25.52238806] ; [5.52238806 4.47761194],0
a4,1,0.304763,1.053237,[28 31] ; [3 7],[26.50724638 32.49275362] ; [4.49275362 5.50724638],0
n2,1,0.316233,1.004464,[13  3] ; [1 1],[12.44444444  3.55555556] ; [1.55555556 0.44444444],0
p3,1,0.329094,0.952461,[49 10] ; [7 3],[47.88405797 11.11594203] ; [8.11594203 1.88405797],0
a7,1,0.406408,0.689284,[43 16] ; [6 4],[41.89855072 17.10144928] ; [7.10144928 2.89855072],0
s8,1,0.408968,0.681798,[48 11] ; [7 3],[47.02898551 11.97101449] ; [7.97101449 2.02898551],0
p12,1,0.479399,0.50023,[18 40] ; [2 8],[17.05882353 40.94117647] ; [2.94117647 7.05882353],0
p4,1,0.479947,0.498983,[52  7] ; [8 2],[51.30434783  7.69565217] ; [8.69565217 1.30434783],0
a2,1,0.504856,0.444715,[11 48] ; [1 9],[10.26086957 48.73913043] ; [1.73913043 8.26086957],0
a6,1,0.511788,0.43041,[36 23] ; [5 5],[35.05797101 23.94202899] ; [5.94202899 4.05797101],0
a8,1,0.556535,0.345739,[ 8 47] ; [2 7],[ 8.59375 46.40625] ; [1.40625 7.59375],0
v3,1,0.568253,0.325614,[34 23] ; [5 5],[33.17910448 23.82089552] ; [5.82089552 4.17910448],0
a5,1,0.580984,0.304647,[46 13] ; [7 3],[45.31884058 13.68115942] ; [7.68115942 2.31884058],0
b5,1,0.587772,0.293837,[23 36] ; [3 7],[22.23188406 36.76811594] ; [3.76811594 6.23188406],0
p11,1,0.592648,0.286228,[51  8] ; [8 2],[50.44927536  8.55072464] ; [8.55072464 1.44927536],0
a1,1,0.66251,0.190488,[ 9 50] ; [1 9],[ 8.55072464 50.44927536] ; [1.44927536 8.55072464],0
r3,1,0.716436,0.131933,[55  4] ; [9 1],[54.72463768  4.27536232] ; [9.27536232 0.72463768],0
b4,1,0.734783,0.114765,[32 27] ; [6 4],[32.49275362 26.50724638] ; [5.50724638 4.49275362],0
r1,1,0.757288,0.095508,[51  8] ; [9 1],[51.30434783  7.69565217] ; [8.69565217 1.30434783],0
b3,1,0.763944,0.090183,[23 24] ; [3 4],[22.62962963 24.37037037] ; [3.37037037 3.62962963],0
b2,1,0.763944,0.090183,[23 24] ; [3 4],[22.62962963 24.37037037] ; [3.37037037 3.62962963],0
u2,1,0.818971,0.052381,[4 3] ; [2 2],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
p6,1,0.835985,0.042862,[38 19] ; [7 3],[38.28358209 18.71641791] ; [6.71641791 3.28358209],0
n1,1,0.866815,0.028125,[9 7] ; [1 1],[8.88888889 7.11111111] ; [1.11111111 0.88888889],0
b1,1,0.870012,0.026779,[22 37] ; [4 6],[22.23188406 36.76811594] ; [3.76811594 6.23188406],0
v1,1,0.920917,0.009856,[39 18] ; [7 3],[39.13432836 17.86567164] ; [6.86567164 3.13432836],0
s6,1,0.973563,0.001098,[52  6] ; [9 1],[52.02941176  5.97058824] ; [8.97058824 1.02941176],0
s2,1,0.974222,0.001044,[41 18] ; [7 3],[41.04347826 17.95652174] ; [6.95652174 3.04347826],0
s3,1,0.989874,0.000161,[46 13] ; [7 2],[45.98529412 13.01470588] ; [7.01470588 1.98529412],0
