Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.770284,[14  3] ; [11 47],[ 5.66666667 11.33333333] ; [19.33333333 38.66666667],1
s5,1,0.000146,14.42259,[7 8] ; [ 4 53],[ 2.29166667 12.70833333] ; [ 8.70833333 48.29166667],1
s3,1,0.000312,12.997438,[12  5] ; [13 43],[ 5.82191781 11.17808219] ; [19.17808219 36.82191781],1
s7,1,0.00058,11.83764,[9 7] ; [ 8 47],[ 3.83098592 12.16901408] ; [13.16901408 41.83098592],1
p4,1,0.000875,11.075438,[12  5] ; [15 42],[ 6.2027027 10.7972973] ; [20.7972973 36.2027027],1
s8,1,0.002454,9.174598,[ 6 11] ; [ 4 54],[ 2.26666667 14.73333333] ; [ 7.73333333 50.26666667],0
p3,1,0.002787,8.942194,[10  7] ; [12 45],[ 5.05405405 11.94594595] ; [16.94594595 40.05405405],0
n6,1,0.028482,4.798649,[14  3] ; [30 27],[10.10810811  6.89189189] ; [33.89189189 23.10810811],0
v1,1,0.031494,4.625821,[7 9] ; [10 46],[ 3.77777778 12.22222222] ; [13.22222222 42.77777778],0
a5,1,0.050494,3.824978,[11  6] ; [22 36],[7.48 9.52] ; [25.52 32.48],0
u3,1,0.061369,3.5,[4 3] ; [ 6 22],[2. 5.] ; [ 8. 20.],0
s4,1,0.073022,3.213742,[ 6 11] ; [ 9 49],[ 3.4 13.6] ; [11.6 46.4],0
b5,1,0.114952,2.484787,[13  4] ; [32 26],[10.2  6.8] ; [34.8 23.2],0
d4,1,0.145013,2.123944,[13  4] ; [33 25],[10.42666667  6.57333333] ; [35.57333333 22.42666667],0
v4,1,0.149127,2.081158,[14  3] ; [37 21],[11.56  5.44] ; [39.44 18.56],0
d3,1,0.149405,2.078314,[11  6] ; [26 32],[8.38666667 8.61333333] ; [28.61333333 29.38666667],0
p2,1,0.149405,2.078314,[11  6] ; [26 32],[8.38666667 8.61333333] ; [28.61333333 29.38666667],0
r3,1,0.180876,1.790415,[13  4] ; [34 24],[10.65333333  6.34666667] ; [36.34666667 21.65333333],0
v2,1,0.187314,1.738621,[8 9] ; [17 40],[ 5.74324324 11.25675676] ; [19.25675676 37.74324324],0
n4,1,0.203891,1.614279,[ 7 10] ; [34 24],[9.29333333 7.70666667] ; [31.70666667 26.29333333],0
a7,1,0.208927,1.578844,[ 5 12] ; [27 31],[7.25333333 9.74666667] ; [24.74666667 33.25333333],0
n5,1,0.253242,1.305328,[ 7 10] ; [33 25],[9.06666667 7.93333333] ; [30.93333333 27.06666667],0
