Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.133614,2.25,[1 2] ; [5 1],[2. 1.] ; [4. 2.],0
a7,1,0.153338,2.03873,[4 1] ; [6 8],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
b3,1,0.157299,2.0,[2 1] ; [2 7],[1. 2.] ; [3. 6.],0
b2,1,0.157299,2.0,[2 1] ; [2 7],[1. 2.] ; [3. 6.],0
v1,1,0.211088,1.563946,[3 2] ; [ 4 10],[1.84210526 3.15789474] ; [5.15789474 8.84210526],0
n5,1,0.211088,1.563946,[2 3] ; [10  4],[3.15789474 1.84210526] ; [8.84210526 5.15789474],0
r4,1,0.211088,1.563946,[3 2] ; [ 4 10],[1.84210526 3.15789474] ; [5.15789474 8.84210526],0
b1,1,0.243498,1.360227,[1 4] ; [7 7],[2.10526316 2.89473684] ; [5.89473684 8.10526316],0
d5,1,0.243498,1.360227,[4 1] ; [7 7],[2.89473684 2.10526316] ; [8.10526316 5.89473684],0
s7,1,0.252136,1.311429,[4 1] ; [6 6],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
p8,1,0.345099,0.891396,[2 3] ; [9 5],[2.89473684 2.10526316] ; [8.10526316 5.89473684],0
b4,1,0.36308,0.827211,[4 1] ; [8 6],[3.15789474 1.84210526] ; [8.84210526 5.15789474],0
r3,1,0.421317,0.646639,[4 1] ; [13  1],[4.47368421 0.52631579] ; [12.52631579  1.47368421],0
p12,1,0.421317,0.646639,[1 4] ; [ 1 13],[0.52631579 4.47368421] ; [ 1.47368421 12.52631579],0
p4,1,0.516407,0.421062,[4 1] ; [9 5],[3.42105263 1.57894737] ; [9.57894737 4.42105263],0
p3,1,0.516407,0.421062,[1 4] ; [5 9],[1.57894737 3.42105263] ; [4.42105263 9.57894737],0
p6,1,0.636982,0.222711,[2 3] ; [ 4 10],[1.57894737 3.42105263] ; [4.42105263 9.57894737],0
v3,1,0.700668,0.147778,[3 2] ; [7 7],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
d3,1,0.700668,0.147778,[3 2] ; [7 7],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
b5,1,0.700668,0.147778,[3 2] ; [7 7],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
a3,1,0.700668,0.147778,[2 3] ; [7 7],[2.36842105 2.63157895] ; [6.63157895 7.36842105],0
n4,1,0.708687,0.139592,[4 1] ; [10  4],[3.68421053 1.31578947] ; [10.31578947  3.68421053],0
n6,1,0.708687,0.139592,[4 1] ; [10  4],[3.68421053 1.31578947] ; [10.31578947  3.68421053],0
p11,1,0.763573,0.090476,[4 1] ; [12  2],[4.21052632 0.78947368] ; [11.78947368  2.21052632],0
p2,1,0.763573,0.090476,[4 1] ; [12  2],[4.21052632 0.78947368] ; [11.78947368  2.21052632],0
u3,1,0.77816,0.079365,[2 1] ; [4 3],[1.8 1.2] ; [4.2 2.8],0
a8,1,0.813945,0.055385,[1 4] ; [ 2 11],[0.83333333 4.16666667] ; [ 2.16666667 10.83333333],0
s3,1,0.813945,0.055385,[2 3] ; [6 7],[2.22222222 2.77777778] ; [5.77777778 7.22222222],0
d2,1,0.864591,0.029082,[2 3] ; [5 9],[1.84210526 3.15789474] ; [5.15789474 8.84210526],0
p7,1,0.911557,0.012338,[3 2] ; [8 6],[2.89473684 2.10526316] ; [8.10526316 5.89473684],0
r1,1,0.911557,0.012338,[3 2] ; [8 6],[2.89473684 2.10526316] ; [8.10526316 5.89473684],0
v2,1,0.911557,0.012338,[2 3] ; [6 8],[2.10526316 2.89473684] ; [5.89473684 8.10526316],0
a5,1,0.911557,0.012338,[3 2] ; [8 6],[2.89473684 2.10526316] ; [8.10526316 5.89473684],0
a6,1,0.911557,0.012338,[2 3] ; [6 8],[2.10526316 2.89473684] ; [5.89473684 8.10526316],0
v4,1,0.911557,0.012338,[3 2] ; [8 6],[2.89473684 2.10526316] ; [8.10526316 5.89473684],0
s2,1,0.95218,0.003596,[2 3] ; [5 8],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
