Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.1e-05,19.352557,[28  5] ; [17 31],[18.33333333 14.66666667] ; [26.66666667 21.33333333],1
n3,1,0.003934,8.313926,[12  2] ; [ 9 15],[7.73684211 6.26315789] ; [13.26315789 10.73684211],0
p7,1,0.004623,8.021454,[20 15] ; [12 34],[13.82716049 21.17283951] ; [18.17283951 27.82716049],0
p11,1,0.007132,7.239331,[26 10] ; [21 28],[19.90588235 16.09411765] ; [27.09411765 21.90588235],0
p6,1,0.007161,7.232223,[12 22] ; [ 5 42],[ 7.13580247 26.86419753] ; [ 9.86419753 37.13580247],0
v1,1,0.007833,7.071187,[17 16] ; [11 37],[11.40740741 21.59259259] ; [16.59259259 31.40740741],0
s2,1,0.009036,6.815657,[17 17] ; [11 38],[11.46987952 22.53012048] ; [16.53012048 32.46987952],0
d5,1,0.01696,5.700516,[30  6] ; [29 20],[24.98823529 11.01176471] ; [34.01176471 14.98823529],0
s6,1,0.021323,5.3002,[19 15] ; [15 34],[13.92771084 20.07228916] ; [20.07228916 28.92771084],0
d4,1,0.02846,4.8,[28  7] ; [28 21],[23.33333333 11.66666667] ; [32.66666667 16.33333333],0
u3,1,0.029279,4.751107,[5 6] ; [ 2 17],[2.56666667 8.43333333] ; [ 4.43333333 14.56666667],0
s8,1,0.029842,4.718367,[13 22] ; [ 8 41],[ 8.75 26.25] ; [12.25 36.75],0
a7,1,0.035043,4.443077,[21 14] ; [18 31],[16.25 18.75] ; [22.75 26.25],0
v3,1,0.035352,4.428106,[14 22] ; [ 9 40],[ 9.74117647 26.25882353] ; [13.25882353 35.74117647],0
p2,1,0.040868,4.181492,[25 10] ; [23 24],[20.48780488 14.51219512] ; [27.51219512 19.48780488],0
n2,1,0.048001,3.909963,[12  2] ; [13 11],[9.21052632 4.78947368] ; [15.78947368  8.21052632],0
d1,1,0.055258,3.674287,[20 16] ; [17 32],[15.67058824 20.32941176] ; [21.32941176 27.67058824],0
n1,1,0.082187,3.021118,[ 3 11] ; [12 12],[5.52631579 8.47368421] ; [ 9.47368421 14.52631579],0
b5,1,0.083046,3.00426,[23 13] ; [22 27],[19.05882353 16.94117647] ; [25.94117647 23.05882353],0
b2,1,0.110753,2.543445,[ 6 19] ; [15 19],[ 8.89830508 16.10169492] ; [12.10169492 21.89830508],0
b3,1,0.110753,2.543445,[ 6 19] ; [15 19],[ 8.89830508 16.10169492] ; [12.10169492 21.89830508],0
v4,1,0.113966,2.498341,[22 10] ; [25 24],[18.56790123 13.43209877] ; [28.43209877 20.56790123],0
d3,1,0.158497,1.988511,[21 15] ; [21 28],[17.78823529 18.21176471] ; [24.21176471 24.78823529],0
u2,1,0.189465,1.721773,[5 4] ; [ 6 14],[3.4137931 5.5862069] ; [ 7.5862069 12.4137931],0
s5,1,0.293909,1.10163,[ 7 26] ; [ 6 42],[ 5.2962963 27.7037037] ; [ 7.7037037 40.2962963],0
p9,1,0.297265,1.086425,[23 11] ; [27 21],[20.73170732 13.26829268] ; [29.26829268 18.73170732],0
