Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,8.8e-05,15.37824,[71 29] ; [255 259],[53.09446254 46.90553746] ; [272.90553746 241.09446254],1
s3,1,0.000119,14.805932,[75 25] ; [277 234],[57.61047463 42.38952537] ; [294.38952537 216.61047463],1
s5,1,0.000169,14.144316,[49 43] ; [166 340],[33.07692308 58.92307692] ; [181.92307692 324.07692308],1
s6,1,0.000221,13.640518,[84 14] ; [342 168],[68.66447368 29.33552632] ; [357.33552632 152.66447368],1
v3,1,0.000376,12.64549,[28 72] ; [239 266],[44.1322314 55.8677686] ; [222.8677686 282.1322314],1
b3,1,0.000554,11.923554,[10 43] ; [148 189],[21.47179487 31.52820513] ; [136.52820513 200.47179487],1
b2,1,0.000554,11.923554,[10 43] ; [148 189],[21.47179487 31.52820513] ; [136.52820513 200.47179487],1
n4,1,0.001961,9.585676,[83 19] ; [474  44],[91.63548387 10.36451613] ; [465.36451613  52.63548387],0
v2,1,0.006041,7.53812,[44 55] ; [297 203],[56.35893155 42.64106845] ; [284.64106845 215.35893155],0
a8,1,0.006906,7.297383,[ 6 91] ; [ 79 386],[14.67081851 82.32918149] ; [ 70.32918149 394.67081851],0
s1,1,0.023469,5.133461,[ 7 94] ; [ 13 498],[ 3.30065359 97.69934641] ; [ 16.69934641 494.30065359],0
r1,1,0.080536,3.05405,[76 26] ; [423  93],[82.3592233 19.6407767] ; [416.6407767  99.3592233],0
a6,1,0.130678,2.284431,[62 40] ; [354 163],[68.54927302 33.45072698] ; [347.45072698 169.54927302],0
r3,1,0.149233,2.080078,[92  9] ; [489  27],[95.10696921  5.89303079] ; [485.89303079  30.10696921],0
n1,1,0.159228,1.981541,[ 8 18] ; [47 55],[11.171875 14.828125] ; [43.828125 58.171875],0
d4,1,0.162238,1.953243,[78 24] ; [425  91],[83.01941748 18.98058252] ; [419.98058252  96.01941748],0
r4,1,0.172383,1.862098,[89 13] ; [475  44],[92.63768116  9.36231884] ; [471.36231884  47.63768116],0
u4,1,0.206547,1.595463,[  1 101] ; [ 17 502],[ 2.95652174 99.04347826] ; [ 15.04347826 503.95652174],0
u2,1,0.225074,1.47172,[13 19] ; [73 66],[16.09356725 15.90643275] ; [69.90643275 69.09356725],0
s8,1,0.227045,1.45928,[55 47] ; [244 271],[49.42949757 52.57050243] ; [249.57050243 265.42949757],0
s7,1,0.233131,1.421659,[60 40] ; [261 227],[54.59183673 45.40816327] ; [266.40816327 221.59183673],0
v1,1,0.266687,1.233709,[54 48] ; [298 208],[59.05263158 42.94736842] ; [292.94736842 213.05263158],0
p5,1,0.286067,1.13804,[11 91] ; [ 76 437],[14.42926829 87.57073171] ; [ 72.57073171 440.42926829],0
a2,1,0.307057,1.043294,[22 80] ; [137 382],[26.11594203 75.88405797] ; [132.88405797 386.11594203],0
a3,1,0.32362,0.974261,[70 32] ; [378 137],[74.06158833 27.93841167] ; [373.93841167 141.06158833],0
p4,1,0.340977,0.906756,[70 32] ; [328 187],[65.79578606 36.20421394] ; [332.20421394 182.79578606],0
p8,1,0.358259,0.843987,[60 40] ; [280 229],[55.82922824 44.17077176] ; [284.17077176 224.82922824],0
d5,1,0.390584,0.737122,[80 22] ; [425  93],[83.08064516 18.91935484] ; [421.91935484  96.08064516],0
n3,1,0.424457,0.637943,[20  6] ; [71 32],[18.34108527  7.65891473] ; [72.65891473 30.34108527],0
a7,1,0.459474,0.547176,[68 34] ; [363 153],[71.13592233 30.86407767] ; [359.86407767 156.13592233],0
d2,1,0.460289,0.545192,[49 53] ; [268 247],[52.40518639 49.59481361] ; [264.59481361 250.40518639],0
r2,1,0.496989,0.461359,[94  7] ; [488  27],[95.42532468  5.57467532] ; [486.57467532  28.42532468],0
d3,1,0.554856,0.34869,[71 31] ; [345 173],[68.43870968 33.56129032] ; [347.56129032 170.43870968],0
d1,1,0.565644,0.330026,[59 43] ; [316 203],[61.5942029 40.4057971] ; [313.4057971 205.5942029],0
b4,1,0.589109,0.291739,[57 45] ; [305 214],[59.4589372 42.5410628] ; [302.5410628 216.4589372],0
n2,1,0.602773,0.270833,[21  5] ; [79 25],[20.  6.] ; [80. 24.],0
b5,1,0.615447,0.252319,[58 44] ; [309 210],[60.28019324 41.71980676] ; [306.71980676 212.28019324],0
p1,1,0.616591,0.250687,[ 9 93] ; [ 54 462],[10.39805825 91.60194175] ; [ 52.60194175 463.39805825],0
