Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,29.618819,[81 10] ; [ 9 15],[71.2173913 19.7826087] ; [18.7826087  5.2173913],1
p11,1,3.5e-05,17.105194,[73 18] ; [10 16],[64.55555556 26.44444444] ; [18.44444444  7.55555556],1
v2,1,0.002901,8.868966,[69 19] ; [12 13],[63.07964602 24.92035398] ; [17.92035398  7.07964602],0
a5,1,0.003306,8.630593,[72 19] ; [13 13],[66.11111111 24.88888889] ; [18.88888889  7.11111111],0
p2,1,0.003306,8.630593,[72 19] ; [13 13],[66.11111111 24.88888889] ; [18.88888889  7.11111111],0
r1,1,0.006227,7.483547,[78 13] ; [16 10],[73.11111111 17.88888889] ; [20.88888889  5.11111111],0
s2,1,0.006443,7.422038,[48 42] ; [ 6 20],[41.89655172 48.10344828] ; [12.10344828 13.89655172],0
r3,1,0.01911,5.491402,[87  3] ; [21  4],[84.52173913  5.47826087] ; [23.47826087  1.52173913],0
p7,1,0.021033,5.324074,[59 31] ; [10 15],[54. 36.] ; [15. 10.],0
s7,1,0.021455,5.289469,[45 38] ; [ 7 18],[39.96296296 43.03703704] ; [12.03703704 12.96296296],0
v4,1,0.023024,5.166731,[87  3] ; [22  4],[84.56896552  5.43103448] ; [24.43103448  1.56896552],0
p3,1,0.025724,4.97449,[47 44] ; [ 7 19],[42. 49.] ; [12. 14.],0
n6,1,0.035704,4.411193,[79 12] ; [18  8],[75.44444444 15.55555556] ; [21.55555556  4.44444444],0
p6,1,0.048631,3.888056,[30 61] ; [ 3 21],[26.11304348 64.88695652] ; [ 6.88695652 17.11304348],0
a3,1,0.048959,3.876748,[73 18] ; [16 10],[69.22222222 21.77777778] ; [19.77777778  6.22222222],0
s8,1,0.058571,3.577403,[43 47] ; [ 7 19],[38.79310345 51.20689655] ; [11.20689655 14.79310345],0
d1,1,0.080441,3.05597,[56 35] ; [11 15],[52.11111111 38.88888889] ; [14.88888889 11.11111111],0
a7,1,0.116898,2.458399,[69 22] ; [15 10],[65.89655172 25.10344828] ; [18.10344828  6.89655172],0
p8,1,0.145797,2.115682,[45 45] ; [ 8 16],[41.84210526 48.15789474] ; [11.15789474 12.84210526],0
b2,1,0.14842,2.088415,[23 33] ; [ 4 14],[20.43243243 35.56756757] ; [ 6.56756757 11.43243243],0
b3,1,0.14842,2.088415,[23 33] ; [ 4 14],[20.43243243 35.56756757] ; [ 6.56756757 11.43243243],0
u1,1,0.148754,2.084978,[18 73] ; [ 2 24],[15.55555556 75.44444444] ; [ 4.44444444 21.55555556],0
s6,1,0.161522,1.959917,[58 31] ; [13 13],[54.94782609 34.05217391] ; [16.05217391  9.94782609],0
s5,1,0.189208,1.72377,[30 59] ; [ 5 20],[27.3245614 61.6754386] ; [ 7.6754386 17.3245614],0
s3,1,0.190506,1.713702,[51 39] ; [10 14],[48.15789474 41.84210526] ; [12.84210526 11.15789474],0
a4,1,0.252763,1.307967,[43 48] ; [ 9 17],[40.44444444 50.55555556] ; [11.55555556 14.44444444],0
d2,1,0.258882,1.274725,[48 43] ; [10 15],[45.5 45.5] ; [12.5 12.5],0
d3,1,0.271028,1.211538,[63 28] ; [15 11],[60.66666667 30.33333333] ; [17.33333333  8.66666667],0
a8,1,0.271039,1.211483,[10 71] ; [ 1 22],[ 8.56730769 72.43269231] ; [ 2.43269231 20.56730769],0
p5,1,0.271078,1.211284,[10 81] ; [ 1 25],[ 8.55555556 82.44444444] ; [ 2.44444444 23.55555556],0
b4,1,0.279401,1.17,[56 35] ; [19  7],[58.33333333 32.66666667] ; [16.66666667  9.33333333],0
p4,1,0.325469,0.966842,[46 44] ; [10 15],[43.82608696 46.17391304] ; [12.17391304 12.82608696],0
s1,1,0.328322,0.955506,[ 1 89] ; [ 1 24],[ 1.56521739 88.43478261] ; [ 0.43478261 24.56521739],0
n5,1,0.346034,0.887946,[68 23] ; [17  9],[66.11111111 24.88888889] ; [18.88888889  7.11111111],0
r4,1,0.349855,0.873983,[80 11] ; [21  5],[78.55555556 12.44444444] ; [22.44444444  3.55555556],0
n4,1,0.358696,0.842454,[74 17] ; [19  7],[72.33333333 18.66666667] ; [20.66666667  5.33333333],0
p1,1,0.403986,0.696429,[ 8 83] ; [ 1 25],[ 7. 84.] ; [ 2. 24.],0
a2,1,0.456919,0.553431,[24 67] ; [ 5 21],[22.55555556 68.44444444] ; [ 6.44444444 19.55555556],0
r2,1,0.485884,0.485628,[83  7] ; [25  1],[83.79310345  6.20689655] ; [24.20689655  1.79310345],0
u3,1,0.515759,0.422366,[8 9] ; [6 4],[8.81481481 8.18518519] ; [5.18518519 4.81481481],0
n3,1,0.594853,0.282828,[16  5] ; [6 1],[16.5  4.5] ; [5.5 1.5],0
b1,1,0.602437,0.271336,[30 61] ; [10 16],[31.11111111 59.88888889] ; [ 8.88888889 17.11111111],0
d4,1,0.644563,0.212824,[73 18] ; [19  6],[72.17241379 18.82758621] ; [19.82758621  5.17241379],0
s4,1,0.699268,0.149235,[17 74] ; [ 4 22],[16.33333333 74.66666667] ; [ 4.66666667 21.33333333],0
a6,1,0.791925,0.069596,[62 29] ; [17  9],[61.44444444 29.55555556] ; [17.55555556  8.44444444],0
b5,1,0.804669,0.061162,[48 43] ; [13 13],[47.44444444 43.55555556] ; [13.55555556 12.44444444],0
n1,1,0.82176,0.050752,[ 6 15] ; [2 4],[ 6.22222222 14.77777778] ; [1.77777778 4.22222222],0
a1,1,0.844771,0.038336,[ 6 85] ; [ 2 24],[ 6.22222222 84.77777778] ; [ 1.77777778 24.22222222],0
d5,1,0.905383,0.014129,[71 20] ; [20  6],[70.77777778 20.22222222] ; [20.22222222  5.77777778],0
u2,1,1.0,0.0,[9 9] ; [5 5],[9. 9.] ; [5. 5.],0
