Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.912423,[326  22] ; [9 6],[321.15702479  26.84297521] ; [13.84297521  1.15702479],1
r1,1,7.3e-05,15.73321,[296  51] ; [7 8],[290.44475138  56.55524862] ; [12.55524862  2.44475138],1
d4,1,0.002888,8.876678,[300  44] ; [9 6],[296.08913649  47.91086351] ; [12.91086351  2.08913649],0
s1,1,0.006708,7.349509,[ 15 328] ; [ 3 12],[ 17.24581006 325.75418994] ; [ 0.75418994 14.24581006],0
p7,1,0.011448,6.394387,[237  98] ; [6 9],[232.58571429 102.41428571] ; [10.41428571  4.58571429],0
d5,1,0.017001,5.69632,[289  56] ; [9 6],[285.58333333  59.41666667] ; [12.41666667  2.58333333],0
r2,1,0.019877,5.422706,[336  10] ; [12  2],[334.46666667  11.53333333] ; [13.53333333  0.46666667],0
p1,1,0.027954,4.830918,[ 32 313] ; [ 4 11],[ 34.5 310.5] ; [ 1.5 13.5],0
d3,1,0.040966,4.177421,[246  99] ; [7 8],[242.45833333 102.54166667] ; [10.54166667  4.45833333],0
p10,1,0.079985,3.065209,[306  40] ; [11  4],[303.82825485  42.17174515] ; [13.17174515  1.82825485],0
s6,1,0.094858,2.789941,[300  41] ; [11  4],[297.89606742  43.10393258] ; [13.10393258  1.89606742],0
p11,1,0.103125,2.656545,[289  59] ; [10  5],[286.6446281  61.3553719] ; [12.3553719  2.6446281],0
v3,1,0.104634,2.633447,[160 173] ; [ 4 11],[156.93103448 176.06896552] ; [7.06896552 7.93103448],0
d1,1,0.109771,2.557511,[232 116] ; [7 8],[229.12396694 118.87603306] ; [9.87603306 5.12396694],0
v2,1,0.113821,2.500345,[202 132] ; [6 9],[199.06017192 134.93982808] ; [8.93982808 6.06017192],0
b5,1,0.131331,2.276699,[211 137] ; [12  3],[213.78512397 134.21487603] ; [9.21487603 5.78512397],0
p9,1,0.189,1.725394,[311  33] ; [12  3],[309.50417827  34.49582173] ; [13.49582173  1.50417827],0
a2,1,0.200883,1.63594,[ 99 249] ; [ 2 13],[ 96.82644628 251.17355372] ; [ 4.17355372 10.82644628],0
p3,1,0.224116,1.477818,[193 152] ; [6 9],[190.70833333 154.29166667] ; [8.29166667 6.70833333],0
s4,1,0.231231,1.433271,[ 70 272] ; [ 5 10],[ 71.8487395 270.1512605] ; [ 3.1512605 11.8487395],0
a7,1,0.289369,1.122554,[251  95] ; [9 6],[249.1966759  96.8033241] ; [10.8033241  4.1966759],0
s8,1,0.328908,0.953192,[227 119] ; [8 7],[225.23545706 120.76454294] ; [9.76454294 5.23545706],0
u2,1,0.372726,0.794556,[45 31] ; [1 2],[44.25316456 31.74683544] ; [1.74683544 1.25316456],0
