Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,8e-06,19.966365,[ 8 29] ; [14  2],[15.35849057 21.64150943] ; [6.64150943 9.35849057],1
p8,1,0.003228,8.673785,[ 5 31] ; [8 7],[ 9.17647059 26.82352941] ; [ 3.82352941 11.17647059],0
p9,1,0.003892,8.333685,[ 8 26] ; [10  5],[12.48979592 21.51020408] ; [5.51020408 9.48979592],0
p4,1,0.007952,7.044174,[ 7 29] ; [9 7],[11.07692308 24.92307692] ; [ 4.92307692 11.07692308],0
s6,1,0.010149,6.608529,[ 5 32] ; [7 8],[ 8.53846154 28.46153846] ; [ 3.46153846 11.53846154],0
s5,1,0.01029,6.583979,[ 3 33] ; [ 6 10],[ 6.23076923 29.76923077] ; [ 2.76923077 13.23076923],0
p7,1,0.015514,5.85713,[ 7 29] ; [8 7],[10.58823529 25.41176471] ; [ 4.41176471 10.58823529],0
b1,1,0.02401,5.093908,[24 13] ; [ 5 11],[20.24528302 16.75471698] ; [8.75471698 7.24528302],0
p3,1,0.032455,4.574315,[ 6 31] ; [7 9],[ 9.0754717 27.9245283] ; [ 3.9245283 12.0754717],0
b3,1,0.04412,4.051948,[12 16] ; [ 1 10],[ 9.33333333 18.66666667] ; [3.66666667 7.33333333],0
b2,1,0.04412,4.051948,[12 16] ; [ 1 10],[ 9.33333333 18.66666667] ; [3.66666667 7.33333333],0
p5,1,0.046051,3.979745,[ 1 35] ; [ 3 13],[ 2.76923077 33.23076923] ; [ 1.23076923 14.76923077],0
p10,1,0.049081,3.872586,[10 26] ; [9 7],[13.15384615 22.84615385] ; [ 5.84615385 10.15384615],0
u2,1,0.054319,3.702857,[ 4 11] ; [6 3],[6.25 8.75] ; [3.75 5.25],0
s2,1,0.068859,3.310013,[ 4 33] ; [ 5 11],[ 6.28301887 30.71698113] ; [ 2.71698113 13.28301887],0
s8,1,0.100394,2.699271,[ 5 32] ; [ 5 10],[ 7.11538462 29.88461538] ; [ 2.88461538 12.11538462],0
n6,1,0.104434,2.636487,[18 19] ; [11  4],[20.63461538 16.36538462] ; [8.36538462 6.63461538],0
n5,1,0.148925,2.083225,[30  7] ; [10  6],[27.9245283  9.0754717] ; [12.0754717  3.9245283],0
v4,1,0.15236,2.048464,[20 17] ; [12  4],[22.33962264 14.66037736] ; [9.66037736 6.33962264],0
d2,1,0.165205,1.925926,[15 21] ; [10  6],[17.30769231 18.69230769] ; [7.69230769 8.30769231],0
s7,1,0.175836,1.83247,[ 6 28] ; [5 9],[ 7.79166667 26.20833333] ; [ 3.20833333 10.79166667],0
u3,1,0.202134,1.626891,[ 3 12] ; [4 5],[ 4.375 10.625] ; [2.625 6.375],0
b4,1,0.240696,1.37651,[19 18] ; [11  5],[20.94339623 16.05660377] ; [9.05660377 6.94339623],0
a3,1,0.244669,1.35349,[22 14] ; [7 9],[20.07692308 15.92307692] ; [8.92307692 7.07692308],0
r2,1,0.266301,1.235703,[20 14] ; [12  4],[21.76 12.24] ; [10.24  5.76],0
d1,1,0.278786,1.172998,[15 22] ; [ 4 12],[13.26415094 23.73584906] ; [ 5.73584906 10.26415094],0
d5,1,0.291533,1.112528,[22 15] ; [7 9],[20.24528302 16.75471698] ; [8.75471698 7.24528302],0
r4,1,0.306572,1.045386,[ 5 32] ; [ 4 12],[ 6.28301887 30.71698113] ; [ 2.71698113 13.28301887],0
v3,1,0.360684,0.83551,[ 6 31] ; [ 1 14],[ 4.98076923 32.01923077] ; [ 2.01923077 12.98076923],0
b5,1,0.383863,0.758294,[16 21] ; [9 7],[17.45283019 19.54716981] ; [7.54716981 8.45283019],0
s3,1,0.391382,0.734643,[10 26] ; [6 9],[11.29411765 24.70588235] ; [ 4.70588235 10.29411765],0
a4,1,0.4305,0.621475,[13 23] ; [ 4 12],[11.76923077 24.23076923] ; [ 5.23076923 10.76923077],0
p1,1,0.433219,0.614178,[ 4 33] ; [ 3 13],[ 4.88679245 32.11320755] ; [ 2.11320755 13.88679245],0
n1,1,0.469313,0.523594,[10 11] ; [3 6],[ 9.1 11.9] ; [3.9 5.1],0
p12,1,0.533842,0.387073,[ 1 36] ; [ 1 15],[ 1.39622642 35.60377358] ; [ 0.60377358 15.39622642],0
a6,1,0.568991,0.324373,[17 20] ; [ 6 10],[16.05660377 20.94339623] ; [6.94339623 9.05660377],0
n4,1,0.577962,0.309541,[26 11] ; [10  6],[25.13207547 11.86792453] ; [10.86792453  5.13207547],0
v2,1,0.601933,0.27209,[ 7 29] ; [ 2 13],[ 6.35294118 29.64705882] ; [ 2.64705882 12.35294118],0
a5,1,0.611324,0.258251,[18 19] ; [9 7],[18.8490566 18.1509434] ; [8.1509434 7.8490566],0
s1,1,0.615553,0.252168,[ 3 34] ; [ 2 14],[ 3.49056604 33.50943396] ; [ 1.50943396 14.49056604],0
n3,1,0.627726,0.235157,[ 7 13] ; [4 5],[ 7.5862069 12.4137931] ; [3.4137931 5.5862069],0
d4,1,0.650072,0.205809,[21 16] ; [8 8],[20.24528302 16.75471698] ; [8.75471698 7.24528302],0
p6,1,0.653856,0.201073,[ 5 31] ; [ 3 13],[ 5.53846154 30.46153846] ; [ 2.46153846 13.53846154],0
r1,1,0.696869,0.15175,[16 21] ; [ 6 10],[15.35849057 21.64150943] ; [6.64150943 9.35849057],0
a7,1,0.696869,0.15175,[16 21] ; [ 6 10],[15.35849057 21.64150943] ; [6.64150943 9.35849057],0
s4,1,0.787322,0.072786,[ 8 29] ; [ 4 12],[ 8.37735849 28.62264151] ; [ 3.62264151 12.37735849],0
n2,1,0.873102,0.02551,[10 11] ; [4 5],[ 9.8 11.2] ; [4.2 4.8],0
d3,1,0.97274,0.001168,[16 21] ; [7 9],[16.05660377 20.94339623] ; [6.94339623 9.05660377],0
