Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000158,14.273225,[49 25] ; [15 33],[38.81967213 35.18032787] ; [25.18032787 22.81967213],1
n1,1,0.004598,8.031158,[15  9] ; [ 4 16],[10.36363636 13.63636364] ; [ 8.63636364 11.36363636],0
a8,1,0.025619,4.981578,[15 53] ; [ 3 43],[10.73684211 57.26315789] ; [ 7.26315789 38.73684211],0
v3,1,0.049782,3.848802,[24 48] ; [ 8 39],[19.36134454 52.63865546] ; [12.63865546 34.36134454],0
s7,1,0.070969,3.260473,[20 48] ; [ 7 40],[15.96521739 52.03478261] ; [11.03478261 35.96521739],0
p7,1,0.089326,2.88647,[30 44] ; [27 21],[34.57377049 39.42622951] ; [22.42622951 25.57377049],0
s4,1,0.10694,2.59887,[10 64] ; [12 36],[13.3442623 60.6557377] ; [ 8.6557377 39.3442623],0
v1,1,0.121868,2.393146,[29 45] ; [12 35],[25.07438017 48.92561983] ; [15.92561983 31.07438017],0
b4,1,0.13932,2.18545,[47 27] ; [24 24],[43.06557377 30.93442623] ; [27.93442623 20.06557377],0
r1,1,0.15948,1.979154,[48 26] ; [25 23],[44.27868852 29.72131148] ; [28.72131148 19.27868852],0
b1,1,0.160201,1.972324,[42 32] ; [21 27],[38.21311475 35.78688525] ; [24.78688525 23.21311475],0
a7,1,0.160201,1.972324,[42 32] ; [21 27],[38.21311475 35.78688525] ; [24.78688525 23.21311475],0
p8,1,0.160419,1.970271,[15 58] ; [15 32],[18.25 54.75] ; [11.75 35.25],0
s1,1,0.165463,1.923574,[ 3 71] ; [ 5 43],[ 4.85245902 69.14754098] ; [ 3.14754098 44.85245902],0
a4,1,0.170926,1.874804,[20 53] ; [ 8 40],[16.89256198 56.10743802] ; [11.10743802 36.89256198],0
p9,1,0.22886,1.447931,[20 52] ; [18 29],[22.99159664 49.00840336] ; [15.00840336 31.99159664],0
d4,1,0.233415,1.419928,[35 39] ; [28 20],[38.21311475 35.78688525] ; [24.78688525 23.21311475],0
d5,1,0.259353,1.272209,[37 37] ; [19 29],[33.96721311 40.03278689] ; [22.03278689 25.96721311],0
a5,1,0.273698,1.198117,[32 42] ; [16 32],[29.1147541 44.8852459] ; [18.8852459 29.1147541],0
a1,1,0.274592,1.193663,[ 7 67] ; [ 2 46],[ 5.45901639 68.54098361] ; [ 3.54098361 44.45901639],0
r3,1,0.294095,1.10078,[54 20] ; [39  9],[56.40983607 17.59016393] ; [36.59016393 11.40983607],0
s2,1,0.29895,1.078873,[18 55] ; [16 32],[20.51239669 52.48760331] ; [13.48760331 34.51239669],0
u3,1,0.343159,0.898593,[14 26] ; [13 15],[15.88235294 24.11764706] ; [11.11764706 16.88235294],0
a2,1,0.365908,0.817514,[ 4 70] ; [ 1 47],[ 3.03278689 70.96721311] ; [ 1.96721311 46.03278689],0
s6,1,0.404343,0.695373,[32 41] ; [17 30],[29.80833333 43.19166667] ; [19.19166667 27.80833333],0
s5,1,0.424267,0.638466,[15 56] ; [ 7 39],[13.35042735 57.64957265] ; [ 8.64957265 37.35042735],0
n2,1,0.469111,0.524069,[18  6] ; [13  7],[16.90909091  7.09090909] ; [14.09090909  5.90909091],0
r4,1,0.510541,0.432959,[52 22] ; [31 17],[50.3442623 23.6557377] ; [32.6557377 15.3442623],0
v2,1,0.527161,0.399862,[25 49] ; [13 33],[23.43333333 50.56666667] ; [14.56666667 31.43333333],0
s3,1,0.542009,0.371828,[30 41] ; [23 25],[31.62184874 39.37815126] ; [21.37815126 26.62184874],0
p11,1,0.558824,0.341744,[33 41] ; [24 24],[34.57377049 39.42622951] ; [22.42622951 25.57377049],0
n6,1,0.563603,0.333504,[44 30] ; [26 22],[42.45901639 31.54098361] ; [27.54098361 20.45901639],0
b5,1,0.565726,0.329886,[47 27] ; [28 20],[45.49180328 28.50819672] ; [29.50819672 18.49180328],0
a6,1,0.596262,0.280671,[36 38] ; [21 27],[34.57377049 39.42622951] ; [22.42622951 25.57377049],0
p1,1,0.607959,0.263158,[ 3 69] ; [ 3 45],[ 3.6 68.4] ; [ 2.4 45.6],0
a3,1,0.617001,0.250106,[34 38] ; [20 27],[32.67226891 39.32773109] ; [21.32773109 25.67226891],0
b2,1,0.655156,0.199461,[15 35] ; [ 6 18],[14.18918919 35.81081081] ; [ 6.81081081 17.18918919],0
