Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.464972,[36  5] ; [ 7 18],[26.71212121 14.28787879] ; [16.28787879  8.71212121],1
a6,1,0.000389,12.582414,[35  6] ; [11 14],[28.57575758 12.42424242] ; [17.42424242  7.57575758],1
d1,1,0.00063,11.685278,[36  7] ; [11 14],[29.72058824 13.27941176] ; [17.27941176  7.72058824],1
d4,1,0.000998,10.830439,[39  2] ; [16  9],[34.16666667  6.83333333] ; [20.83333333  4.16666667],1
a2,1,0.00313,8.730357,[18 25] ; [ 2 23],[12.64705882 30.35294118] ; [ 7.35294118 17.64705882],0
n1,1,0.012419,6.25,[6 9] ; [9 1],[9. 6.] ; [6. 4.],0
u1,1,0.013567,6.093643,[15 28] ; [ 2 23],[10.75 32.25] ; [ 6.25 18.75],0
v2,1,0.023412,5.137693,[28 13] ; [ 9 14],[23.703125 17.296875] ; [13.296875  9.703125],0
b2,1,0.04206,4.132794,[10 22] ; [13  9],[13.62962963 18.37037037] ; [ 9.37037037 12.62962963],0
b3,1,0.04206,4.132794,[10 22] ; [13  9],[13.62962963 18.37037037] ; [ 9.37037037 12.62962963],0
p1,1,0.044616,4.033114,[ 2 41] ; [ 5 20],[ 4.42647059 38.57352941] ; [ 2.57352941 22.42647059],0
v4,1,0.045787,3.989405,[40  3] ; [19  6],[37.30882353  5.69117647] ; [21.69117647  3.30882353],0
d5,1,0.053708,3.721756,[37  4] ; [18  7],[34.16666667  6.83333333] ; [20.83333333  4.16666667],0
b5,1,0.074919,3.171827,[30 13] ; [12 13],[26.55882353 16.44117647] ; [15.44117647  9.55882353],0
a8,1,0.099719,2.710037,[ 7 32] ; [ 1 24],[ 4.875 34.125] ; [ 3.125 21.875],0
s4,1,0.131686,2.272515,[ 7 36] ; [ 8 17],[ 9.48529412 33.51470588] ; [ 5.51470588 19.48529412],0
p11,1,0.191703,1.704484,[26 17] ; [19  6],[28.45588235 14.54411765] ; [16.54411765  8.45588235],0
s6,1,0.249095,1.328372,[36  7] ; [18  7],[34.14705882  8.85294118] ; [19.85294118  5.14705882],0
r2,1,0.282114,1.15688,[41  1] ; [23  2],[40.11940299  1.88059701] ; [23.88059701  1.11940299],0
n4,1,0.309413,1.033178,[34  9] ; [17  8],[32.25 10.75] ; [18.75  6.25],0
