Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.501944,[16 88] ; [34 36],[29.88505747 74.11494253] ; [20.11494253 49.88505747],1
p7,1,2.4e-05,17.838109,[39 62] ; [50 20],[52.56725146 48.43274854] ; [36.43274854 33.56725146],1
p8,1,0.000227,13.596834,[31 73] ; [40 29],[42.68208092 61.31791908] ; [28.31791908 40.68208092],1
s7,1,0.005018,7.872846,[17 84] ; [24 43],[24.64880952 76.35119048] ; [16.35119048 50.64880952],0
a5,1,0.005459,7.720588,[45 60] ; [45 25],[54. 51.] ; [36. 34.],0
s8,1,0.006074,7.528123,[16 89] ; [23 47],[23.4 81.6] ; [15.6 54.4],0
p6,1,0.030464,4.6829,[14 87] ; [19 51],[19.49122807 81.50877193] ; [13.50877193 56.49122807],0
a4,1,0.030889,4.659104,[22 83] ; [25 45],[28.2 76.8] ; [18.8 51.2],0
s6,1,0.033051,4.543121,[38 66] ; [37 33],[44.82758621 59.17241379] ; [30.17241379 39.82758621],0
v2,1,0.056921,3.624885,[38 62] ; [34 30],[43.90243902 56.09756098] ; [28.09756098 35.90243902],0
s3,1,0.062706,3.464329,[34 71] ; [32 37],[39.82758621 65.17241379] ; [26.17241379 42.82758621],0
s2,1,0.077892,3.108338,[27 77] ; [27 43],[32.27586207 71.72413793] ; [21.72413793 48.27586207],0
p5,1,0.081864,3.027501,[  2 102] ; [ 5 64],[ 4.20809249 99.79190751] ; [ 2.79190751 66.20809249],0
p2,1,0.09828,2.73324,[70 35] ; [54 15],[74.82758621 30.17241379] ; [49.17241379 19.82758621],0
u3,1,0.12819,2.314286,[25 23] ; [17  7],[28. 20.] ; [14. 10.],0
a2,1,0.145678,2.116935,[ 9 96] ; [11 59],[12. 93.] ; [ 8. 62.],0
n3,1,0.220486,1.501207,[28 18] ; [16  5],[30.20895522 15.79104478] ; [13.79104478  7.20895522],0
u2,1,0.224969,1.472389,[25 22] ; [17  8],[27.41666667 19.58333333] ; [14.58333333 10.41666667],0
n1,1,0.24952,1.325991,[ 8 38] ; [ 6 14],[ 9.75757576 36.24242424] ; [ 4.24242424 15.75757576],0
a3,1,0.260823,1.264383,[57 48] ; [44 26],[60.6 44.4] ; [40.4 29.6],0
