Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.571791,[410  23] ; [8 5],[405.8161435  27.1838565] ; [12.1838565  0.8161435],1
r2,1,0.000258,13.353647,[414  14] ; [10  3],[411.50113379  16.49886621] ; [12.49886621  0.50113379],1
b1,1,0.000868,11.09026,[141 292] ; [10  3],[146.59865471 286.40134529] ; [4.40134529 8.59865471],1
p2,1,0.00108,10.684684,[373  59] ; [7 6],[368.8988764  63.1011236] ; [11.1011236  1.8988764],0
r1,1,0.001527,10.045658,[369  61] ; [7 6],[364.96613995  65.03386005] ; [11.03386005  1.96613995],0
p7,1,0.002156,9.411466,[282 136] ; [3 9],[277.04651163 140.95348837] ; [7.95348837 4.04651163],0
p11,1,0.005831,7.601937,[340  93] ; [6 7],[335.91479821  97.08520179] ; [10.08520179  2.91479821],0
p10,1,0.021857,5.257113,[363  64] ; [8 5],[360.03863636  66.96136364] ; [10.96136364  2.03863636],0
d3,1,0.027159,4.880651,[342  89] ; [7 6],[338.78153153  92.21846847] ; [10.21846847  2.78153153],0
s1,1,0.028675,4.786995,[ 15 412] ; [ 2 11],[ 16.49772727 410.50227273] ; [ 0.50227273 12.49772727],0
p4,1,0.037693,4.318802,[285 145] ; [5 8],[281.48984199 148.51015801] ; [8.51015801 4.48984199],0
n1,1,0.045884,3.985851,[30 59] ; [5 2],[32.44791667 56.55208333] ; [2.55208333 4.44791667],0
a5,1,0.054283,3.703976,[333 100] ; [7 6],[330.0896861 102.9103139] ; [9.9103139 3.0896861],0
n6,1,0.055139,3.67789,[376  54] ; [9 4],[373.7020316  56.2979684] ; [11.2979684  1.7020316],0
p1,1,0.065255,3.398518,[ 36 394] ; [ 3 10],[ 37.85553047 392.14446953] ; [ 1.14446953 11.85553047],0
b4,1,0.081394,3.036849,[263 170] ; [11  2],[266.01345291 166.98654709] ; [7.98654709 5.01345291],0
a1,1,0.090592,2.863814,[ 21 412] ; [ 2 11],[ 22.32959641 410.67040359] ; [ 0.67040359 12.32959641],0
v2,1,0.096193,2.767557,[254 160] ; [5 8],[251.1147541 162.8852459] ; [7.8852459 5.1147541],0
d5,1,0.116333,2.466013,[367  64] ; [9 4],[364.99099099  66.00900901] ; [11.00900901  1.99099099],0
u1,1,0.137689,2.203597,[112 321] ; [ 1 12],[109.70627803 323.29372197] ; [3.29372197 9.70627803],0
p3,1,0.1384,2.195656,[223 209] ; [4 9],[220.36853933 211.63146067] ; [6.63146067 6.36853933],0
s2,1,0.147901,2.093762,[282 148] ; [6 7],[279.54853273 150.45146727] ; [8.45146727 4.54853273],0
