Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.314392,[28 37] ; [196  68],[44.25531915 20.74468085] ; [179.74468085  84.25531915],1
p10,1,4e-06,21.414602,[36 30] ; [214  48],[50.30487805 15.69512195] ; [199.69512195  62.30487805],1
r3,1,0.00026,13.339405,[56 10] ; [254   9],[62.18844985  3.81155015] ; [247.81155015  15.18844985],1
p9,1,0.000382,12.618583,[44 22] ; [225  38],[53.96352584 12.03647416] ; [215.03647416  47.96352584],1
n4,1,0.000676,11.553819,[37 29] ; [203  61],[48. 18.] ; [192.  72.],1
b1,1,0.002633,9.045523,[34 32] ; [ 84 181],[23.52870091 42.47129909] ; [ 94.47129909 170.52870091],0
p11,1,0.005119,7.837041,[39 27] ; [202  63],[48.05438066 17.94561934] ; [192.94561934  72.05438066],0
s6,1,0.015097,5.905161,[33 33] ; [174  89],[41.52583587 24.47416413] ; [165.47416413  97.52583587],0
d5,1,0.015426,5.867199,[46 20] ; [219  45],[53. 13.] ; [212.  52.],0
s7,1,0.026884,4.898218,[18 42] ; [117 139],[25.63291139 34.36708861] ; [109.36708861 146.63291139],0
v2,1,0.03177,4.610889,[25 37] ; [141 113],[32.56962025 29.43037975] ; [133.43037975 120.56962025],0
b2,1,0.032847,4.553729,[ 7 27] ; [64 96],[12.44329897 21.55670103] ; [ 58.55670103 101.44329897],0
b3,1,0.032847,4.553729,[ 7 27] ; [64 96],[12.44329897 21.55670103] ; [ 58.55670103 101.44329897],0
a2,1,0.049037,3.874081,[10 56] ; [ 71 194],[16.1510574 49.8489426] ; [ 64.8489426 200.1510574],0
s5,1,0.052756,3.751645,[12 51] ; [ 81 177],[18.25233645 44.74766355] ; [ 74.74766355 183.25233645],0
r4,1,0.053311,3.734138,[51 15] ; [230  35],[56.03021148  9.96978852] ; [224.96978852  40.03021148],0
p4,1,0.057625,3.604445,[26 40] ; [139 126],[32.90030211 33.09969789] ; [132.09969789 132.90030211],0
u2,1,0.059825,3.542223,[16  6] ; [37 37],[12.14583333  9.85416667] ; [40.85416667 33.14583333],0
s2,1,0.064957,3.406062,[26 40] ; [136 125],[32.69724771 33.30275229] ; [129.30275229 131.69724771],0
