Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,3.3e-05,17.248,[ 6 24] ; [19  6],[13.63636364 16.36363636] ; [11.36363636 13.63636364],1
p10,1,0.000154,14.327774,[ 5 24] ; [17  8],[11.81481481 17.18518519] ; [10.18518519 14.81481481],1
r3,1,0.00179,9.75375,[11 19] ; [19  5],[16.66666667 13.33333333] ; [13.33333333 10.66666667],0
r4,1,0.012286,6.269092,[ 5 25] ; [12 13],[ 9.27272727 20.72727273] ; [ 7.72727273 17.27272727],0
s6,1,0.018234,5.573571,[ 4 26] ; [10 14],[ 7.77777778 22.22222222] ; [ 6.22222222 17.77777778],0
p9,1,0.019649,5.44284,[10 19] ; [16  8],[14.22641509 14.77358491] ; [11.77358491 12.22641509],0
p2,1,0.034507,4.469404,[ 7 22] ; [13 12],[10.74074074 18.25925926] ; [ 9.25925926 15.74074074],0
s7,1,0.056462,3.638383,[ 3 25] ; [ 8 17],[ 5.81132075 22.18867925] ; [ 5.18867925 19.81132075],0
n3,1,0.06176,3.489492,[7 9] ; [6 1],[9.04347826 6.95652174] ; [3.95652174 3.04347826],0
p8,1,0.095838,2.773467,[ 3 26] ; [ 7 18],[ 5.37037037 23.62962963] ; [ 4.62962963 20.37037037],0
n5,1,0.097254,2.75,[15 15] ; [18  7],[18. 12.] ; [15. 10.],0
d5,1,0.155949,2.013072,[16 14] ; [18  7],[18.54545455 11.45454545] ; [15.45454545  9.54545455],0
a8,1,0.157231,2.000653,[ 3 26] ; [ 6 18],[ 4.9245283 24.0754717] ; [ 4.0754717 19.9245283],0
p7,1,0.18292,1.773736,[ 7 23] ; [10 15],[ 9.27272727 20.72727273] ; [ 7.72727273 17.27272727],0
p4,1,0.184625,1.76,[ 6 24] ; [ 9 16],[ 8.18181818 21.81818182] ; [ 6.81818182 18.18181818],0
a4,1,0.189927,1.718182,[14 16] ; [ 7 17],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
d4,1,0.207958,1.585586,[18 12] ; [19  6],[20.18181818  9.81818182] ; [16.81818182  8.18181818],0
v2,1,0.210784,1.566033,[ 7 22] ; [10 15],[ 9.12962963 19.87037037] ; [ 7.87037037 17.12962963],0
u2,1,0.231289,1.432915,[ 1 11] ; [3 8],[2.08695652 9.91304348] ; [1.91304348 9.08695652],0
p5,1,0.23151,1.431559,[ 1 28] ; [ 3 22],[ 2.14814815 26.85185185] ; [ 1.85185185 23.14814815],0
b1,1,0.253568,1.303539,[19 11] ; [12 13],[16.90909091 13.09090909] ; [14.09090909 10.90909091],0
p3,1,0.307133,1.042963,[ 4 26] ; [ 6 19],[ 5.45454545 24.54545455] ; [ 4.54545455 20.45454545],0
s3,1,0.344308,0.894325,[ 6 23] ; [ 8 17],[ 7.51851852 21.48148148] ; [ 6.48148148 18.51851852],0
b5,1,0.349453,0.875441,[13 17] ; [14 11],[14.72727273 15.27272727] ; [12.27272727 12.72727273],0
n4,1,0.351393,0.868421,[18 12] ; [18  7],[19.63636364 10.36363636] ; [16.36363636  8.63636364],0
b4,1,0.389001,0.742063,[17 13] ; [17  8],[18.54545455 11.45454545] ; [15.45454545  9.54545455],0
s5,1,0.462433,0.54,[ 4 26] ; [ 5 19],[ 5. 25.] ; [ 4. 20.],0
a7,1,0.490555,0.475309,[16 14] ; [11 14],[14.72727273 15.27272727] ; [12.27272727 12.72727273],0
p6,1,0.498634,0.457843,[ 3 26] ; [ 4 20],[ 3.83018868 25.16981132] ; [ 3.16981132 20.83018868],0
s4,1,0.506176,0.441964,[ 3 27] ; [ 4 21],[ 3.81818182 26.18181818] ; [ 3.18181818 21.81818182],0
b2,1,0.522387,0.409178,[10 12] ; [ 6 11],[ 9.02564103 12.97435897] ; [ 6.97435897 10.02564103],0
b3,1,0.522387,0.409178,[10 12] ; [ 6 11],[ 9.02564103 12.97435897] ; [ 6.97435897 10.02564103],0
d3,1,0.551387,0.354839,[12 18] ; [12 13],[13.09090909 16.90909091] ; [10.90909091 14.09090909],0
r1,1,0.58042,0.305556,[11 19] ; [11 14],[12. 18.] ; [10. 15.],0
p1,1,0.624988,0.238918,[ 5 25] ; [ 3 22],[ 4.36363636 25.63636364] ; [ 3.63636364 21.36363636],0
a3,1,0.650852,0.204828,[18 11] ; [14 11],[17.18518519 11.81481481] ; [14.81481481 10.18518519],0
s1,1,0.664558,0.188034,[ 2 28] ; [ 1 24],[ 1.63636364 28.36363636] ; [ 1.36363636 23.63636364],0
d1,1,0.799988,0.064192,[11 19] ; [10 15],[11.45454545 18.54545455] ; [ 9.54545455 15.45454545],0
d2,1,0.807541,0.059341,[14 16] ; [12 12],[14.44444444 15.55555556] ; [11.55555556 12.44444444],0
v3,1,0.819936,0.051814,[ 4 25] ; [ 4 21],[ 4.2962963 24.7037037] ; [ 3.7037037 21.2962963],0
a6,1,0.843229,0.039111,[14 16] ; [11 14],[13.63636364 16.36363636] ; [11.36363636 13.63636364],0
a5,1,0.843229,0.039111,[16 14] ; [14 11],[16.36363636 13.63636364] ; [13.63636364 11.36363636],0
v1,1,0.88955,0.019286,[ 8 22] ; [ 6 18],[ 7.77777778 22.22222222] ; [ 6.22222222 17.77777778],0
r2,1,0.922487,0.009468,[16 13] ; [13 10],[16.17307692 12.82692308] ; [12.82692308 10.17307692],0
n1,1,1.0,0.0,[8 8] ; [4 4],[8. 8.] ; [4. 4.],0
n2,1,1.0,0.0,[8 8] ; [4 4],[8. 8.] ; [4. 4.],0
