Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.9e-05,18.3018,[5 4] ; [ 1 37],[1.14893617 7.85106383] ; [ 4.85106383 33.14893617],1
p6,1,0.000172,14.111848,[5 4] ; [ 2 35],[1.36956522 7.63043478] ; [ 5.63043478 31.36956522],1
d3,1,0.00301,8.801614,[8 1] ; [13 25],[4.0212766 4.9787234] ; [16.9787234 21.0212766],0
s4,1,0.005618,7.668912,[4 5] ; [ 3 35],[1.34042553 7.65957447] ; [ 5.65957447 32.34042553],0
p2,1,0.006735,7.342335,[7 2] ; [11 27],[3.44680851 5.55319149] ; [14.55319149 23.44680851],0
p4,1,0.00844,6.937741,[6 3] ; [ 8 29],[2.73913043 6.26086957] ; [11.26086957 25.73913043],0
n6,1,0.020644,5.356572,[7 2] ; [13 24],[3.91304348 5.08695652] ; [16.08695652 20.91304348],0
u1,1,0.03063,4.673556,[2 7] ; [ 1 37],[0.57446809 8.42553191] ; [ 2.42553191 35.57446809],0
s2,1,0.039753,4.228391,[3 6] ; [ 3 35],[1.14893617 7.85106383] ; [ 4.85106383 33.14893617],0
p8,1,0.042589,4.111622,[5 4] ; [ 8 29],[2.54347826 6.45652174] ; [10.45652174 26.54347826],0
p9,1,0.045657,3.994223,[6 3] ; [11 25],[3.4 5.6] ; [13.6 22.4],0
v4,1,0.074591,3.178993,[7 2] ; [17 21],[4.59574468 4.40425532] ; [19.40425532 18.59574468],0
p10,1,0.084887,2.968758,[6 3] ; [13 24],[3.7173913 5.2826087] ; [15.2826087 21.7173913],0
r1,1,0.090635,2.86306,[5 4] ; [10 28],[2.87234043 6.12765957] ; [12.12765957 25.87234043],0
v1,1,0.097322,2.748885,[4 5] ; [ 7 31],[2.10638298 6.89361702] ; [ 8.89361702 29.10638298],0
p5,1,0.108319,2.578579,[2 7] ; [ 2 35],[0.7826087 8.2173913] ; [ 3.2173913 33.7826087],0
s3,1,0.118541,2.436497,[4 5] ; [ 7 29],[2.2 6.8] ; [ 8.8 27.2],0
n3,1,0.126156,2.339181,[4 2] ; [ 6 13],[2.4 3.6] ; [ 7.6 11.4],0
a7,1,0.140093,2.176933,[6 3] ; [15 23],[4.0212766 4.9787234] ; [16.9787234 21.0212766],0
p7,1,0.146259,2.110837,[4 4] ; [ 9 28],[2.31111111 5.68888889] ; [10.68888889 26.31111111],0
p11,1,0.147866,2.094124,[4 5] ; [ 8 30],[2.29787234 6.70212766] ; [ 9.70212766 28.29787234],0
b4,1,0.184243,1.763062,[3 6] ; [22 16],[4.78723404 4.21276596] ; [20.21276596 17.78723404],0
n5,1,0.217089,1.523511,[8 1] ; [26 12],[6.5106383 2.4893617] ; [27.4893617 10.5106383],0
a6,1,0.236655,1.40041,[6 3] ; [17 21],[4.40425532 4.59574468] ; [18.59574468 19.40425532],0
n1,1,0.250478,1.320635,[4 2] ; [ 8 12],[2.76923077 3.23076923] ; [ 9.23076923 10.76923077],0
p12,1,0.257124,1.284178,[1 8] ; [ 1 37],[0.38297872 8.61702128] ; [ 1.61702128 36.38297872],0
r4,1,0.257124,1.284178,[1 8] ; [ 1 37],[0.38297872 8.61702128] ; [ 1.61702128 36.38297872],0
d4,1,0.297698,1.084477,[6 3] ; [18 20],[4.59574468 4.40425532] ; [19.40425532 18.59574468],0
a5,1,0.297698,1.084477,[6 3] ; [18 20],[4.59574468 4.40425532] ; [19.40425532 18.59574468],0
n4,1,0.303653,1.058084,[4 5] ; [24 14],[5.36170213 3.63829787] ; [22.63829787 15.36170213],0
a2,1,0.344441,0.893833,[2 7] ; [ 4 34],[1.14893617 7.85106383] ; [ 4.85106383 33.14893617],0
b5,1,0.380265,0.769845,[5 4] ; [15 23],[3.82978723 5.17021277] ; [16.17021277 21.82978723],0
p3,1,0.43397,0.612174,[3 6] ; [ 8 30],[2.10638298 6.89361702] ; [ 8.89361702 29.10638298],0
a3,1,0.493629,0.468607,[6 3] ; [20 17],[5.08695652 3.91304348] ; [20.91304348 16.08695652],0
r2,1,0.647141,0.209524,[6 2] ; [24 12],[5.45454545 2.54545455] ; [24.54545455 11.45454545],0
d5,1,0.658635,0.195186,[4 5] ; [20 18],[4.59574468 4.40425532] ; [19.40425532 18.59574468],0
v2,1,0.669864,0.181761,[2 7] ; [ 6 31],[1.56521739 7.43478261] ; [ 6.43478261 30.56521739],0
d2,1,0.691123,0.157872,[3 6] ; [15 22],[3.52173913 5.47826087] ; [14.47826087 22.52173913],0
b2,1,0.701585,0.146829,[4 4] ; [11 15],[3.52941176 4.47058824] ; [11.47058824 14.52941176],0
b3,1,0.701585,0.146829,[4 4] ; [11 15],[3.52941176 4.47058824] ; [11.47058824 14.52941176],0
b1,1,0.784676,0.074655,[5 4] ; [23 15],[5.36170213 3.63829787] ; [22.63829787 15.36170213],0
v3,1,0.794405,0.06791,[2 7] ; [ 7 31],[1.72340426 7.27659574] ; [ 7.27659574 30.72340426],0
d1,1,0.795862,0.066929,[3 6] ; [11 27],[2.68085106 6.31914894] ; [11.31914894 26.68085106],0
u2,1,0.843669,0.038889,[1 2] ; [ 5 13],[0.85714286 2.14285714] ; [ 5.14285714 12.85714286],0
u3,1,0.843669,0.038889,[1 2] ; [ 5 13],[0.85714286 2.14285714] ; [ 5.14285714 12.85714286],0
a4,1,0.918927,0.01036,[3 6] ; [13 24],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
