Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,51.618524,[97  6] ; [ 4 12],[87.42016807 15.57983193] ; [13.57983193  2.42016807],1
r3,1,9e-06,19.664619,[101   1] ; [12  4],[97.6779661  4.3220339] ; [15.3220339  0.6779661],1
p11,1,4.9e-05,16.475445,[82 21] ; [ 5 11],[75.30252101 27.69747899] ; [11.69747899  4.30252101],1
r4,1,0.001823,9.720183,[101   2] ; [13  3],[98.67226891  4.32773109] ; [15.32773109  0.67226891],0
s5,1,0.002874,8.886003,[56 39] ; [ 3 13],[50.4954955 44.5045045] ; [8.5045045 7.4954955],0
r2,1,0.006202,7.490619,[102   1] ; [14  2],[100.40336134   2.59663866] ; [15.59663866  0.40336134],0
p7,1,0.007729,7.095297,[72 29] ; [ 6 10],[67.33333333 33.66666667] ; [10.66666667  5.33333333],0
n6,1,0.016651,5.732835,[92 10] ; [11  5],[89.03389831 12.96610169] ; [13.96610169  2.03389831],0
n1,1,0.01962,5.445378,[ 3 15] ; [4 2],[ 5.25 12.75] ; [1.75 4.25],0
v4,1,0.022741,5.188168,[101   2] ; [13  2],[99.50847458  3.49152542] ; [14.49152542  0.50847458],0
a6,1,0.024926,5.029017,[74 29] ; [7 9],[70.1092437 32.8907563] ; [10.8907563  5.1092437],0
v2,1,0.034162,4.486593,[53 46] ; [ 4 12],[49.06956522 49.93043478] ; [7.93043478 8.06956522],0
d4,1,0.047854,3.9151,[86 17] ; [10  6],[83.09243697 19.90756303] ; [12.90756303  3.09243697],0
n5,1,0.064547,3.416527,[75 28] ; [8 8],[71.84033613 31.15966387] ; [11.15966387  4.84033613],0
b1,1,0.071808,3.241196,[34 69] ; [9 7],[37.21848739 65.78151261] ; [ 5.78151261 10.21848739],0
s1,1,0.077607,3.114315,[ 3 99] ; [ 2 14],[ 4.3220339 97.6779661] ; [ 0.6779661 15.3220339],0
s8,1,0.085208,2.96266,[56 47] ; [ 5 11],[52.79831933 50.20168067] ; [8.20168067 7.79831933],0
s6,1,0.087251,2.92437,[90 10] ; [12  4],[87.93103448 12.06896552] ; [14.06896552  1.93103448],0
p6,1,0.090997,2.856642,[49 54] ; [ 4 12],[45.87394958 57.12605042] ; [7.12605042 8.87394958],0
s2,1,0.113503,2.504762,[74 27] ; [8 7],[71.39655172 29.60344828] ; [10.60344828  4.39655172],0
a3,1,0.156763,2.005181,[81 22] ; [10  6],[78.76470588 24.23529412] ; [12.23529412  3.76470588],0
a5,1,0.156763,2.005181,[81 22] ; [10  6],[78.76470588 24.23529412] ; [12.23529412  3.76470588],0
a4,1,0.173277,1.854361,[51 52] ; [ 5 11],[48.47058824 54.52941176] ; [7.52941176 8.47058824],0
a2,1,0.234546,1.413078,[27 76] ; [ 2 14],[25.10084034 77.89915966] ; [ 3.89915966 12.10084034],0
d1,1,0.27999,1.167136,[66 37] ; [8 8],[64.05042017 38.94957983] ; [9.94957983 6.05042017],0
s7,1,0.373887,0.790704,[63 38] ; [7 7],[61.47826087 39.52173913] ; [8.52173913 5.47826087],0
n4,1,0.39546,0.722087,[75 28] ; [10  6],[73.57142857 29.42857143] ; [11.42857143  4.57142857],0
p8,1,0.448733,0.57385,[55 47] ; [7 9],[53.59322034 48.40677966] ; [8.40677966 7.59322034],0
a7,1,0.49752,0.460222,[73 30] ; [10  6],[71.84033613 31.15966387] ; [11.15966387  4.84033613],0
d5,1,0.507244,0.439749,[83 20] ; [14  2],[83.95798319 19.04201681] ; [13.04201681  2.95798319],0
n2,1,0.586214,0.296296,[14  4] ; [4 2],[13.5  4.5] ; [4.5 1.5],0
p1,1,0.628834,0.233645,[ 9 94] ; [ 2 14],[ 9.5210084 93.4789916] ; [ 1.4789916 14.5210084],0
v1,1,0.641979,0.216164,[51 51] ; [7 9],[50.13559322 51.86440678] ; [7.86440678 8.13559322],0
d2,1,0.667792,0.184196,[51 52] ; [7 9],[50.20168067 52.79831933] ; [7.79831933 8.20168067],0
d3,1,0.673548,0.17748,[82 21] ; [12  4],[81.36134454 21.63865546] ; [12.63865546  3.36134454],0
p2,1,0.673548,0.17748,[82 21] ; [12  4],[81.36134454 21.63865546] ; [12.63865546  3.36134454],0
u1,1,0.68594,0.163516,[24 79] ; [ 3 13],[23.3697479 79.6302521] ; [ 3.6302521 12.3697479],0
u2,1,0.689995,0.159091,[ 9 13] ; [3 3],[ 9.42857143 12.57142857] ; [2.57142857 3.42857143],0
s3,1,0.702292,0.146098,[77 25] ; [12  3],[77.58974359 24.41025641] ; [11.41025641  3.58974359],0
p4,1,0.723534,0.125131,[69 34] ; [10  6],[68.37815126 34.62184874] ; [10.62184874  5.37815126],0
b4,1,0.879997,0.022793,[60 43] ; [9 7],[59.72268908 43.27731092] ; [9.27731092 6.72268908],0
p3,1,0.888181,0.01977,[56 47] ; [9 7],[56.2605042 46.7394958] ; [8.7394958 7.2605042],0
b5,1,0.918742,0.010408,[63 40] ; [10  6],[63.18487395 39.81512605] ; [9.81512605 6.18487395],0
v3,1,0.952344,0.003572,[32 68] ; [ 5 11],[31.89655172 68.10344828] ; [ 5.10344828 10.89655172],0
n3,1,1.0,0.0,[15  3] ; [5 1],[15.  3.] ; [5. 1.],0
