Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002648,9.035294,[11 21] ; [23  9],[17. 15.] ; [17. 15.],0
a6,1,0.023824,5.107389,[10 22] ; [19 13],[14.5 17.5] ; [14.5 17.5],0
s2,1,0.024941,5.027947,[12 20] ; [ 4 27],[ 8.12698413 23.87301587] ; [ 7.87301587 23.12698413],0
p11,1,0.04382,4.063492,[14 18] ; [22 10],[18. 14.] ; [18. 14.],0
a5,1,0.0455,4.0,[12 20] ; [20 12],[16. 16.] ; [16. 16.],0
a4,1,0.055472,3.667836,[ 6 26] ; [13 19],[ 9.5 22.5] ; [ 9.5 22.5],0
v2,1,0.065719,3.386845,[ 8 23] ; [15 16],[11.5 19.5] ; [11.5 19.5],0
d3,1,0.079971,3.065494,[12 20] ; [19 13],[15.5 16.5] ; [15.5 16.5],0
d1,1,0.095293,2.782609,[ 6 26] ; [12 20],[ 9. 23.] ; [ 9. 23.],0
p6,1,0.16722,1.907692,[ 3 28] ; [ 7 24],[ 5. 26.] ; [ 5. 26.],0
n3,1,0.180101,1.796791,[8 8] ; [9 3],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
b1,1,0.192718,1.696713,[23  9] ; [18 14],[20.5 11.5] ; [20.5 11.5],0
d4,1,0.200185,1.641026,[17 15] ; [22 10],[19.5 12.5] ; [19.5 12.5],0
n4,1,0.209287,1.576355,[20 12] ; [15 17],[17.5 14.5] ; [17.5 14.5],0
u3,1,0.217044,1.52381,[ 3 15] ; [5 9],[ 4.5 13.5] ; [ 3.5 10.5],0
a3,1,0.255881,1.290904,[14 18] ; [18 13],[16.25396825 15.74603175] ; [15.74603175 15.25396825],0
r1,1,0.292468,1.108225,[ 9 23] ; [13 19],[11. 21.] ; [11. 21.],0
p12,1,0.3017,1.066667,[ 1 31] ; [ 3 29],[ 2. 30.] ; [ 2. 30.],0
a8,1,0.302451,1.063356,[ 3 26] ; [ 6 24],[ 4.42372881 24.57627119] ; [ 4.57627119 25.42372881],0
p5,1,0.316989,1.001328,[ 3 29] ; [ 1 30],[ 2.03174603 29.96825397] ; [ 1.96825397 29.03174603],0
r3,1,0.318845,0.99368,[20 12] ; [23  8],[21.84126984 10.15873016] ; [21.15873016  9.84126984],0
n6,1,0.35855,0.842967,[20 11] ; [17 15],[18.20634921 12.79365079] ; [18.79365079 13.20634921],0
s1,1,0.391064,0.735632,[ 4 28] ; [ 2 30],[ 3. 29.] ; [ 3. 29.],0
s3,1,0.40856,0.682987,[11 20] ; [ 8 23],[ 9.5 21.5] ; [ 9.5 21.5],0
s7,1,0.472575,0.515948,[ 7 21] ; [ 5 24],[ 5.89473684 22.10526316] ; [ 6.10526316 22.89473684],0
u2,1,0.476033,0.507937,[ 8 10] ; [8 6],[9. 9.] ; [7. 7.],0
p8,1,0.534645,0.385555,[10 22] ; [12 19],[11.17460317 20.82539683] ; [10.82539683 20.17460317],0
s8,1,0.54535,0.365714,[ 8 24] ; [ 6 26],[ 7. 25.] ; [ 7. 25.],0
p1,1,0.554268,0.349727,[ 2 30] ; [ 1 31],[ 1.5 30.5] ; [ 1.5 30.5],0
n2,1,0.57649,0.311943,[9 7] ; [8 4],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
d2,1,0.578185,0.309179,[ 8 24] ; [10 22],[ 9. 23.] ; [ 9. 23.],0
v1,1,0.578185,0.309179,[ 8 24] ; [10 22],[ 9. 23.] ; [ 9. 23.],0
n5,1,0.605577,0.266667,[21 11] ; [19 13],[20. 12.] ; [20. 12.],0
p10,1,0.611267,0.258333,[15 16] ; [17 14],[16. 15.] ; [16. 15.],0
p3,1,0.613251,0.255468,[ 9 23] ; [ 7 24],[ 8.12698413 23.87301587] ; [ 7.87301587 23.12698413],0
v4,1,0.614295,0.253968,[17 15] ; [19 13],[18. 14.] ; [18. 14.],0
n1,1,0.629063,0.233333,[ 4 12] ; [4 8],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
a1,1,0.641374,0.216949,[ 2 30] ; [ 3 29],[ 2.5 29.5] ; [ 2.5 29.5],0
r4,1,0.756033,0.096531,[ 6 26] ; [ 7 25],[ 6.5 25.5] ; [ 6.5 25.5],0
v3,1,0.756033,0.096531,[ 7 25] ; [ 6 26],[ 6.5 25.5] ; [ 6.5 25.5],0
s6,1,0.794466,0.067869,[12 20] ; [11 21],[11.5 20.5] ; [11.5 20.5],0
b5,1,0.800184,0.064064,[18 14] ; [19 13],[18.5 13.5] ; [18.5 13.5],0
p4,1,0.800184,0.064064,[14 18] ; [13 19],[13.5 18.5] ; [13.5 18.5],0
p7,1,0.801732,0.063054,[15 17] ; [14 18],[14.5 17.5] ; [14.5 17.5],0
p9,1,0.912117,0.012181,[17 13] ; [18 13],[17.21311475 12.78688525] ; [17.78688525 13.21311475],0
b2,1,0.97161,0.001267,[ 6 16] ; [ 5 13],[ 6.05 15.95] ; [ 4.95 13.05],0
b3,1,0.97161,0.001267,[ 6 16] ; [ 5 13],[ 6.05 15.95] ; [ 4.95 13.05],0
p2,1,1.0,0.0,[19 13] ; [19 13],[19. 13.] ; [19. 13.],0
b4,1,1.0,0.0,[17 15] ; [17 15],[17. 15.] ; [17. 15.],0
s4,1,1.0,0.0,[ 5 27] ; [ 5 27],[ 5. 27.] ; [ 5. 27.],0
