Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,8.8e-05,15.377774,[6 3] ; [63  1],[8.50684932 0.49315068] ; [60.49315068  3.50684932],1
r3,1,9.6e-05,15.213363,[5 5] ; [59  4],[8.76712329 1.23287671] ; [55.23287671  7.76712329],1
d5,1,0.00056,11.903732,[3 7] ; [52 12],[7.43243243 2.56756757] ; [47.56756757 16.43243243],1
r1,1,0.000888,11.047094,[4 6] ; [54  9],[7.94520548 2.05479452] ; [50.05479452 12.94520548],1
v4,1,0.001639,9.914928,[7 3] ; [62  2],[9.32432432 0.67567568] ; [59.67567568  4.32432432],0
p2,1,0.002762,8.958372,[4 6] ; [53 11],[7.7027027 2.2972973] ; [49.2972973 14.7027027],0
p3,1,0.003633,8.458498,[1 9] ; [38 26],[5.27027027 4.72972973] ; [33.72972973 30.27027027],0
s1,1,0.005973,7.558509,[2 8] ; [ 1 63],[0.40540541 9.59459459] ; [ 2.59459459 61.40540541],0
d1,1,0.006278,7.468674,[2 8] ; [42 22],[5.94594595 4.05405405] ; [38.05405405 25.94594595],0
s6,1,0.012958,6.174824,[3 7] ; [43 18],[6.47887324 3.52112676] ; [39.52112676 21.47887324],0
p9,1,0.014519,5.973908,[3 7] ; [44 19],[6.43835616 3.56164384] ; [40.56164384 22.43835616],0
s3,1,0.017323,5.663381,[2 8] ; [38 25],[5.47945205 4.52054795] ; [34.52054795 28.47945205],0
n3,1,0.034287,4.480335,[1 4] ; [13  5],[3.04347826 1.95652174] ; [10.95652174  7.04347826],0
a4,1,0.038651,4.276132,[1 9] ; [28 35],[3.97260274 6.02739726] ; [25.02739726 37.97260274],0
a7,1,0.045235,4.009875,[4 6] ; [46 18],[6.75675676 3.24324324] ; [43.24324324 20.75675676],0
s8,1,0.057065,3.620705,[1 9] ; [26 37],[3.69863014 6.30136986] ; [23.30136986 39.69863014],0
n4,1,0.05946,3.552378,[4 6] ; [45 19],[6.62162162 3.37837838] ; [42.37837838 21.62162162],0
a5,1,0.05946,3.552378,[4 6] ; [45 19],[6.62162162 3.37837838] ; [42.37837838 21.62162162],0
v2,1,0.077257,3.121678,[2 8] ; [31 31],[4.58333333 5.41666667] ; [28.41666667 33.58333333],0
p6,1,0.12183,2.393641,[2 8] ; [29 34],[4.24657534 5.75342466] ; [26.75342466 36.24657534],0
d4,1,0.128998,2.304526,[6 4] ; [52 12],[7.83783784 2.16216216] ; [50.16216216 13.83783784],0
s7,1,0.18734,1.738415,[3 7] ; [31 28],[4.92753623 5.07246377] ; [29.07246377 29.92753623],0
d2,1,0.204545,1.609622,[3 7] ; [33 31],[4.86486486 5.13513514] ; [31.13513514 32.86486486],0
v1,1,0.204545,1.609622,[3 7] ; [33 31],[4.86486486 5.13513514] ; [31.13513514 32.86486486],0
b4,1,0.21203,1.557511,[4 6] ; [39 25],[5.81081081 4.18918919] ; [37.18918919 26.81081081],0
p4,1,0.25709,1.28436,[4 5] ; [41 23],[5.54794521 3.45205479] ; [39.45205479 24.54794521],0
n1,1,0.323296,0.975566,[2 3] ; [11  6],[2.95454545 2.04545455] ; [10.04545455  6.95454545],0
s4,1,0.427456,0.629726,[1 9] ; [13 50],[1.91780822 8.08219178] ; [12.08219178 50.91780822],0
p10,1,0.451434,0.56705,[5 5] ; [40 24],[6.08108108 3.91891892] ; [38.91891892 25.08108108],0
a2,1,0.498912,0.457251,[1 9] ; [12 52],[1.75675676 8.24324324] ; [11.24324324 52.75675676],0
s2,1,0.52593,0.40225,[4 6] ; [32 31],[4.93150685 5.06849315] ; [31.06849315 31.93150685],0
u1,1,0.566339,0.328847,[1 9] ; [11 53],[1.62162162 8.37837838] ; [10.37837838 53.62162162],0
b1,1,0.576293,0.312266,[5 5] ; [26 38],[4.18918919 5.81081081] ; [26.81081081 37.18918919],0
a3,1,0.597548,0.27871,[7 3] ; [38 24],[6.25 3.75] ; [38.75 23.25],0
p7,1,0.620616,0.245003,[5 4] ; [41 23],[5.67123288 3.32876712] ; [40.32876712 23.67123288],0
u2,1,0.672452,0.178748,[1 2] ; [12 14],[1.34482759 1.65517241] ; [11.65517241 14.34482759],0
n6,1,0.673078,0.178023,[7 3] ; [48 15],[7.53424658 2.46575342] ; [47.46575342 15.53424658],0
u3,1,0.724263,0.124444,[1 2] ; [11 14],[1.28571429 1.71428571] ; [10.71428571 14.28571429],0
b2,1,0.727724,0.121212,[1 2] ; [ 8 25],[0.75 2.25] ; [ 8.25 24.75],0
b3,1,0.727724,0.121212,[1 2] ; [ 8 25],[0.75 2.25] ; [ 8.25 24.75],0
b5,1,0.803994,0.061594,[6 4] ; [41 23],[6.35135135 3.64864865] ; [40.64864865 23.35135135],0
n5,1,0.803994,0.061594,[6 4] ; [41 23],[6.35135135 3.64864865] ; [40.64864865 23.35135135],0
d3,1,0.819931,0.051817,[7 3] ; [47 17],[7.2972973 2.7027027] ; [46.7027027 17.2972973],0
a6,1,0.853956,0.033883,[5 5] ; [34 30],[5.27027027 4.72972973] ; [33.72972973 30.27027027],0
v3,1,0.908284,0.013272,[4 6] ; [26 36],[4.16666667 5.83333333] ; [25.83333333 36.16666667],0
p1,1,0.916778,0.010919,[1 9] ; [ 7 56],[1.09589041 8.90410959] ; [ 6.90410959 56.09589041],0
