Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.056332,3.642213,[1 1] ; [ 2 25],[0.20689655 1.79310345] ; [ 2.79310345 24.20689655],0
v3,1,0.123819,2.368333,[1 1] ; [ 3 24],[0.27586207 1.72413793] ; [ 3.72413793 23.27586207],0
p6,1,0.233613,1.418727,[1 1] ; [ 4 21],[0.37037037 1.62962963] ; [ 4.62962963 20.37037037],0
s4,1,0.288916,1.124665,[1 1] ; [ 5 22],[0.4137931 1.5862069] ; [ 5.5862069 21.4137931],0
p8,1,0.306826,1.044289,[1 1] ; [ 5 21],[0.42857143 1.57142857] ; [ 5.57142857 20.42857143],0
p3,1,0.396818,0.717949,[1 1] ; [ 6 20],[0.5 1.5] ; [ 6.5 19.5],0
d1,1,0.462336,0.540234,[1 1] ; [ 7 20],[0.55172414 1.44827586] ; [ 7.44827586 19.55172414],0
s2,1,0.462336,0.540234,[1 1] ; [ 7 20],[0.55172414 1.44827586] ; [ 7.44827586 19.55172414],0
d2,1,0.547947,0.361008,[1 1] ; [ 8 19],[0.62068966 1.37931034] ; [ 8.37931034 18.62068966],0
p4,1,0.547947,0.361008,[1 1] ; [ 8 19],[0.62068966 1.37931034] ; [ 8.37931034 18.62068966],0
s3,1,0.574695,0.31489,[1 1] ; [ 8 18],[0.64285714 1.35714286] ; [ 8.35714286 17.64285714],0
p11,1,0.632305,0.228947,[1 1] ; [ 9 18],[0.68965517 1.31034483] ; [ 9.31034483 17.68965517],0
v2,1,0.632305,0.228947,[1 1] ; [ 9 18],[0.68965517 1.31034483] ; [ 9.31034483 17.68965517],0
p7,1,0.715441,0.132903,[1 1] ; [10 17],[0.75862069 1.24137931] ; [10.24137931 16.75862069],0
s6,1,0.715441,0.132903,[1 1] ; [10 17],[0.75862069 1.24137931] ; [10.24137931 16.75862069],0
b1,1,0.715441,0.132903,[1 1] ; [17 10],[1.24137931 0.75862069] ; [16.75862069 10.24137931],0
b4,1,0.715441,0.132903,[1 1] ; [17 10],[1.24137931 0.75862069] ; [16.75862069 10.24137931],0
d3,1,0.715441,0.132903,[1 1] ; [10 17],[0.75862069 1.24137931] ; [10.24137931 16.75862069],0
d4,1,0.797533,0.065813,[1 1] ; [16 11],[1.17241379 0.82758621] ; [15.82758621 11.17241379],0
a3,1,0.83224,0.044872,[1 1] ; [11 15],[0.85714286 1.14285714] ; [11.14285714 14.85714286],0
n6,1,0.878842,0.023237,[1 1] ; [12 15],[0.89655172 1.10344828] ; [12.10344828 14.89655172],0
a7,1,0.878842,0.023237,[1 1] ; [12 15],[0.89655172 1.10344828] ; [12.10344828 14.89655172],0
d5,1,0.959668,0.002557,[1 1] ; [14 13],[1.03448276 0.96551724] ; [13.96551724 13.03448276],0
n4,1,0.959668,0.002557,[1 1] ; [13 14],[0.96551724 1.03448276] ; [13.03448276 13.96551724],0
