Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.003327,8.619085,[ 5 11] ; [18  5],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
p10,1,0.010063,6.623641,[ 6 10] ; [18  5],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
p11,1,0.037894,4.309764,[ 4 12] ; [14 10],[7.2 8.8] ; [10.8 13.2],0
p9,1,0.068713,3.313494,[ 5 11] ; [14  9],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
v4,1,0.071183,3.255534,[7 9] ; [16  6],[9.68421053 6.31578947] ; [13.31578947  8.68421053],0
p4,1,0.107102,2.596467,[ 3 13] ; [10 13],[ 5.33333333 10.66666667] ; [ 7.66666667 15.33333333],0
v3,1,0.129524,2.298196,[ 3 13] ; [10 14],[ 5.2 10.8] ; [ 7.8 16.2],0
n5,1,0.150904,2.063086,[7 9] ; [16  8],[9.2 6.8] ; [13.8 10.2],0
v2,1,0.153887,2.033295,[ 5 11] ; [12 10],[7.15789474 8.84210526] ; [ 9.84210526 12.15789474],0
s3,1,0.163328,1.943142,[9 7] ; [ 7 14],[6.91891892 9.08108108] ; [ 9.08108108 11.91891892],0
n3,1,0.165403,1.924118,[4 9] ; [7 5],[5.72 7.28] ; [5.28 6.72],0
p5,1,0.187265,1.739007,[ 1 15] ; [ 5 18],[ 2.46153846 13.53846154] ; [ 3.53846154 19.46153846],0
s8,1,0.191014,1.709783,[ 2 14] ; [ 7 16],[ 3.69230769 12.30769231] ; [ 5.30769231 17.69230769],0
p3,1,0.191014,1.709783,[ 2 14] ; [ 7 16],[ 3.69230769 12.30769231] ; [ 5.30769231 17.69230769],0
b4,1,0.279227,1.170848,[11  5] ; [20  4],[12.4  3.6] ; [18.6  5.4],0
u2,1,0.280087,1.166667,[4 2] ; [3 5],[3. 3.] ; [4. 4.],0
p8,1,0.311564,1.024033,[ 3 13] ; [ 8 16],[ 4.4 11.6] ; [ 6.6 17.4],0
a1,1,0.326945,0.960961,[ 2 14] ; [ 1 23],[ 1.2 14.8] ; [ 1.8 22.2],0
p6,1,0.332922,0.9375,[ 2 14] ; [ 6 18],[ 3.2 12.8] ; [ 4.8 19.2],0
s2,1,0.349515,0.875218,[ 5 11] ; [ 4 18],[ 3.78947368 12.21052632] ; [ 5.21052632 16.78947368],0
b1,1,0.365557,0.818713,[9 7] ; [10 14],[7.6 8.4] ; [11.4 12.6],0
a6,1,0.365557,0.818713,[9 7] ; [10 14],[7.6 8.4] ; [11.4 12.6],0
r2,1,0.376445,0.782279,[11  5] ; [12 10],[9.68421053 6.31578947] ; [13.31578947  8.68421053],0
s7,1,0.391504,0.734266,[ 4 10] ; [ 9 12],[5.2 8.8] ; [ 7.8 13.2],0
u3,1,0.393153,0.729167,[1 5] ; [3 5],[1.71428571 4.28571429] ; [2.28571429 5.71428571],0
n1,1,0.420113,0.65,[4 9] ; [6 7],[5. 8.] ; [5. 8.],0
a5,1,0.433357,0.613811,[8 8] ; [15  9],[9.2 6.8] ; [13.8 10.2],0
s6,1,0.440059,0.596128,[ 5 11] ; [10 13],[6.15384615 9.84615385] ; [ 8.84615385 14.15384615],0
d5,1,0.456057,0.555556,[11  5] ; [19  5],[12.  4.] ; [18.  6.],0
a7,1,0.522387,0.409178,[10  6] ; [12 11],[9.02564103 6.97435897] ; [12.97435897 10.02564103],0
b2,1,0.562069,0.336134,[2 7] ; [ 5 10],[2.625 6.375] ; [ 4.375 10.625],0
b3,1,0.562069,0.336134,[2 7] ; [ 5 10],[2.625 6.375] ; [ 4.375 10.625],0
b5,1,0.603761,0.26936,[8 8] ; [14 10],[8.8 7.2] ; [13.2 10.8],0
p7,1,0.608766,0.261976,[6 9] ; [ 7 15],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
s1,1,0.666955,0.185185,[ 2 14] ; [ 2 22],[ 1.6 14.4] ; [ 2.4 21.6],0
v1,1,0.684743,0.164835,[ 5 11] ; [ 9 15],[ 5.6 10.4] ; [ 8.4 15.6],0
n4,1,0.692633,0.15625,[9 7] ; [15  9],[9.6 6.4] ; [14.4  9.6],0
r3,1,0.703225,0.145139,[7 9] ; [11 11],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
a4,1,0.796004,0.066834,[8 8] ; [11 13],[7.6 8.4] ; [11.4 12.6],0
s5,1,0.81208,0.056522,[ 4 12] ; [ 5 18],[ 3.69230769 12.30769231] ; [ 5.30769231 17.69230769],0
d4,1,0.820119,0.051707,[13  3] ; [18  5],[12.71794872  3.28205128] ; [18.28205128  4.71794872],0
a2,1,0.865103,0.02886,[ 3 13] ; [ 4 20],[ 2.8 13.2] ; [ 4.2 19.8],0
d2,1,0.98657,0.000283,[7 9] ; [10 13],[6.97435897 9.02564103] ; [10.02564103 12.97435897],0
d1,1,1.0,0.0,[8 8] ; [12 12],[8. 8.] ; [12. 12.],0
s4,1,1.0,0.0,[ 2 14] ; [ 3 21],[ 2. 14.] ; [ 3. 21.],0
a3,1,1.0,0.0,[10  5] ; [16  8],[10.  5.] ; [16.  8.],0
d3,1,1.0,0.0,[10  6] ; [15  9],[10.  6.] ; [15.  9.],0
n2,1,1.0,0.0,[8 5] ; [8 5],[8. 5.] ; [8. 5.],0
