Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,6.6e-05,15.916569,[93 11] ; [14 11],[86.26356589 17.73643411] ; [20.73643411  4.26356589],1
a4,1,0.000138,14.528163,[57 48] ; [ 3 22],[48.46153846 56.53846154] ; [11.53846154 13.46153846],1
d3,1,0.00034,12.835172,[74 31] ; [ 8 17],[66.23076923 38.76923077] ; [15.76923077  9.23076923],1
a3,1,0.000892,11.038767,[80 25] ; [10 14],[73.25581395 31.74418605] ; [16.74418605  7.25581395],1
r3,1,0.004694,7.993546,[99  4] ; [20  5],[95.7578125  7.2421875] ; [23.2421875  1.7578125],0
a2,1,0.014421,5.985888,[28 77] ; [ 1 24],[23.42307692 81.57692308] ; [ 5.57692308 19.42307692],0
a5,1,0.015996,5.803324,[80 25] ; [13 12],[75.11538462 29.88461538] ; [17.88461538  7.11538462],0
v1,1,0.02489,5.031511,[61 43] ; [ 8 16],[56.0625 47.9375] ; [12.9375 11.0625],0
r1,1,0.029753,4.72353,[86 17] ; [16  9],[82.078125 20.921875] ; [19.921875  5.078125],0
p1,1,0.042176,4.128111,[ 7 96] ; [ 5 20],[ 9.65625 93.34375] ; [ 2.34375 22.65625],0
v2,1,0.05141,3.794872,[56 45] ; [ 8 16],[51.712 49.288] ; [12.288 11.712],0
r2,1,0.055714,3.660588,[99  3] ; [22  3],[97.18110236  4.81889764] ; [23.81889764  1.18110236],0
p4,1,0.058559,3.577732,[48 56] ; [ 6 18],[43.875 60.125] ; [10.125 13.875],0
u1,1,0.094561,2.79496,[18 87] ; [ 1 24],[15.34615385 89.65384615] ; [ 3.65384615 21.34615385],0
n6,1,0.127419,2.323666,[87 16] ; [24  1],[89.3203125 13.6796875] ; [21.6796875  3.3203125],0
n5,1,0.1328,2.259466,[71 32] ; [21  4],[74.03125 28.96875] ; [17.96875  7.03125],0
b1,1,0.142154,2.154491,[34 71] ; [12 13],[37.15384615 67.84615385] ; [ 8.84615385 16.15384615],0
d2,1,0.168339,1.897677,[57 46] ; [10 15],[53.9140625 49.0859375] ; [13.0859375 11.9140625],0
a7,1,0.197789,1.658629,[76 28] ; [15 10],[73.36434109 30.63565891] ; [17.63565891  7.36434109],0
s1,1,0.243769,1.358667,[ 3 99] ; [ 2 23],[ 4.01574803 97.98425197] ; [ 0.98425197 24.01574803],0
n1,1,0.262943,1.253197,[15 17] ; [2 6],[13.6 18.4] ; [3.4 4.6],0
s8,1,0.33113,0.944475,[57 47] ; [11 14],[54.82170543 49.17829457] ; [13.17829457 11.82170543],0
n4,1,0.367588,0.811803,[76 28] ; [16  9],[74.17054264 29.82945736] ; [17.82945736  7.17054264],0
p8,1,0.391983,0.732781,[39 62] ; [12 13],[40.88095238 60.11904762] ; [10.11904762 14.88095238],0
p2,1,0.395167,0.722985,[83 21] ; [18  7],[81.42635659 22.57364341] ; [19.57364341  5.42635659],0
a6,1,0.465699,0.532164,[63 42] ; [13 12],[61.38461538 43.61538462] ; [14.61538462 10.38461538],0
p10,1,0.467136,0.528744,[84 19] ; [18  6],[82.72440945 20.27559055] ; [19.27559055  4.72440945],0
s2,1,0.484361,0.48903,[74 30] ; [16  9],[72.55813953 31.44186047] ; [17.44186047  7.55813953],0
r4,1,0.531786,0.390977,[93 12] ; [21  4],[92.07692308 12.92307692] ; [21.92307692  3.07692308],0
u3,1,0.567144,0.327485,[14 11] ; [7 8],[13.125 11.875] ; [7.875 7.125],0
p12,1,0.619189,0.247009,[12 93] ; [ 2 23],[11.30769231 93.69230769] ; [ 2.69230769 22.30769231],0
s4,1,0.630951,0.230773,[28 75] ; [ 8 17],[28.96875 74.03125] ; [ 7.03125 17.96875],0
u2,1,0.645572,0.211528,[ 9 14] ; [7 8],[ 9.68421053 13.31578947] ; [6.31578947 8.68421053],0
s6,1,0.655721,0.198763,[87 16] ; [22  3],[87.7109375 15.2890625] ; [21.2890625  3.7109375],0
n3,1,0.656178,0.1982,[23  8] ; [6 3],[22.475  8.525] ; [6.525 2.475],0
v3,1,0.665084,0.187406,[37 64] ; [ 8 17],[36.07142857 64.92857143] ; [ 8.92857143 16.07142857],0
s3,1,0.67693,0.173603,[71 29] ; [16  8],[70.16129032 29.83870968] ; [16.83870968  7.16129032],0
v4,1,0.704501,0.143832,[95  6] ; [24  1],[95.38888889  5.61111111] ; [23.61111111  1.38888889],0
p9,1,0.708696,0.139583,[84 17] ; [20  5],[83.36507937 17.63492063] ; [20.63492063  4.36507937],0
p5,1,0.722117,0.126473,[10 94] ; [ 3 22],[10.48062016 93.51937984] ; [ 2.51937984 22.48062016],0
s7,1,0.74147,0.108839,[62 42] ; [14 11],[61.27131783 42.72868217] ; [14.72868217 10.27131783],0
p6,1,0.85289,0.034385,[31 72] ; [ 8 17],[31.3828125 71.6171875] ; [ 7.6171875 17.3828125],0
b2,1,0.855162,0.03332,[28 40] ; [5 8],[27.7037037 40.2962963] ; [5.2962963 7.7037037],0
b3,1,0.855162,0.03332,[28 40] ; [5 8],[27.7037037 40.2962963] ; [5.2962963 7.7037037],0
b4,1,0.860347,0.030952,[65 40] ; [15 10],[64.61538462 40.38461538] ; [15.38461538  9.61538462],0
