Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.022119,5.236364,[14  8] ; [2 8],[11. 11.] ; [5. 5.],0
r3,1,0.02767,4.848485,[19  3] ; [5 5],[16.5  5.5] ; [7.5 2.5],0
d1,1,0.03028,4.693333,[11 11] ; [1 9],[ 8.25 13.75] ; [3.75 6.25],0
n3,1,0.030754,4.666667,[6 2] ; [1 5],[4. 4.] ; [3. 3.],0
s1,1,0.043581,4.072727,[ 1 21] ; [3 7],[ 2.75 19.25] ; [1.25 8.75],0
d3,1,0.067865,3.333911,[12 10] ; [2 8],[ 9.625 12.375] ; [4.375 5.625],0
s2,1,0.075929,3.149952,[ 4 17] ; [5 5],[ 6.09677419 14.90322581] ; [2.90322581 7.09677419],0
a7,1,0.077168,3.123565,[14  8] ; [3 7],[11.6875 10.3125] ; [5.3125 4.6875],0
n6,1,0.123828,2.36822,[14  8] ; [3 6],[12.06451613  9.93548387] ; [4.93548387 4.06451613],0
s5,1,0.124178,2.363812,[ 8 14] ; [1 9],[ 6.1875 15.8125] ; [2.8125 7.1875],0
d2,1,0.127124,2.327273,[13  9] ; [3 7],[11. 11.] ; [5. 5.],0
r4,1,0.127124,2.327273,[13  9] ; [3 7],[11. 11.] ; [5. 5.],0
n1,1,0.132026,2.268519,[5 4] ; [1 5],[3.6 5.4] ; [2.4 3.6],0
a1,1,0.164463,1.932706,[ 1 21] ; [2 8],[ 2.0625 19.9375] ; [0.9375 9.0625],0
v2,1,0.197156,1.663316,[12 10] ; [3 7],[10.3125 11.6875] ; [4.6875 5.3125],0
a5,1,0.209601,1.574183,[16  6] ; [5 5],[14.4375  7.5625] ; [6.5625 3.4375],0
r2,1,0.209601,1.574183,[16  6] ; [5 5],[14.4375  7.5625] ; [6.5625 3.4375],0
s3,1,0.251952,1.312445,[ 8 13] ; [6 4],[ 9.48387097 11.51612903] ; [4.51612903 5.48387097],0
d4,1,0.271651,1.208392,[19  3] ; [7 3],[17.875  4.125] ; [8.125 1.875],0
p7,1,0.324756,0.969697,[ 7 15] ; [5 5],[ 8.25 13.75] ; [3.75 6.25],0
s4,1,0.387094,0.748052,[ 2 20] ; [2 8],[ 2.75 19.25] ; [1.25 8.75],0
v3,1,0.392558,0.731002,[ 5 17] ; [1 9],[ 4.125 17.875] ; [1.875 8.125],0
a4,1,0.409328,0.680751,[10 12] ; [3 7],[ 8.9375 13.0625] ; [4.0625 5.9375],0
p6,1,0.453508,0.56187,[ 4 18] ; [3 7],[ 4.8125 17.1875] ; [2.1875 7.8125],0
b4,1,0.466608,0.529996,[14  8] ; [5 5],[13.0625  8.9375] ; [5.9375 4.0625],0
n4,1,0.471548,0.518347,[16  6] ; [6 4],[15.125  6.875] ; [6.875 3.125],0
p3,1,0.490691,0.475011,[ 7 15] ; [2 8],[ 6.1875 15.8125] ; [2.8125 7.1875],0
p9,1,0.519043,0.415794,[11 10] ; [4 6],[10.16129032 10.83870968] ; [4.83870968 5.16129032],0
s6,1,0.519043,0.415794,[11 10] ; [4 6],[10.16129032 10.83870968] ; [4.83870968 5.16129032],0
p1,1,0.554628,0.349091,[ 1 21] ; [1 9],[ 1.375 20.625] ; [0.625 9.375],0
a6,1,0.554628,0.349091,[ 9 13] ; [3 7],[ 8.25 13.75] ; [3.75 6.25],0
n5,1,0.599283,0.276078,[11 11] ; [6 4],[11.6875 10.3125] ; [5.3125 4.6875],0
p2,1,0.630872,0.23088,[13  9] ; [5 5],[12.375  9.625] ; [5.625 4.375],0
b2,1,0.665362,0.187075,[ 5 10] ; [3 4],[5.45454545 9.54545455] ; [2.54545455 4.45454545],0
b3,1,0.665362,0.187075,[ 5 10] ; [3 4],[5.45454545 9.54545455] ; [2.54545455 4.45454545],0
p10,1,0.690279,0.158784,[10 11] ; [4 6],[ 9.48387097 11.51612903] ; [4.51612903 5.48387097],0
p8,1,0.725359,0.123416,[ 8 14] ; [3 7],[ 7.5625 14.4375] ; [3.4375 6.5625],0
p5,1,0.773117,0.083117,[ 3 19] ; [1 9],[ 2.75 19.25] ; [1.25 8.75],0
b1,1,0.773117,0.083117,[12 10] ; [6 4],[12.375  9.625] ; [5.625 4.375],0
a8,1,0.778733,0.078944,[ 3 17] ; [1 8],[ 2.75862069 17.24137931] ; [1.24137931 7.75862069],0
u2,1,0.818971,0.052381,[3 4] ; [2 2],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
n2,1,0.832662,0.044643,[5 4] ; [3 3],[4.8 4.2] ; [3.2 2.8],0
p4,1,0.843869,0.038788,[ 8 14] ; [4 6],[ 8.25 13.75] ; [3.75 6.25],0
v1,1,0.843869,0.038788,[ 8 14] ; [4 6],[ 8.25 13.75] ; [3.75 6.25],0
u3,1,0.898195,0.016369,[2 5] ; [1 3],[1.90909091 5.09090909] ; [1.09090909 2.90909091],0
s7,1,0.926036,0.008618,[ 6 13] ; [3 6],[ 6.10714286 12.89285714] ; [2.89285714 6.10714286],0
a3,1,0.934715,0.00671,[15  7] ; [6 3],[14.90322581  7.09677419] ; [6.09677419 2.90322581],0
a2,1,0.934824,0.006688,[ 2 20] ; [1 9],[ 2.0625 19.9375] ; [0.9375 9.0625],0
b5,1,0.961291,0.002356,[ 9 13] ; [4 6],[ 8.9375 13.0625] ; [4.0625 5.9375],0
