Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000159,14.266979,[17 93] ; [14 15],[24.5323741 85.4676259] ; [ 6.4676259 22.5323741],1
n5,1,0.001072,10.698463,[72 41] ; [10 22],[63.90344828 49.09655172] ; [18.09655172 13.90344828],0
s6,1,0.001339,10.287428,[45 68] ; [23  9],[52.99310345 60.00689655] ; [15.00689655 16.99310345],0
s2,1,0.003349,8.606871,[35 78] ; [19 13],[42.08275862 70.91724138] ; [11.91724138 20.08275862],0
p6,1,0.011991,6.31221,[21 89] ; [13 19],[26.33802817 83.66197183] ; [ 7.66197183 24.33802817],0
d3,1,0.019287,5.475307,[60 51] ; [24  7],[65.66197183 45.33802817] ; [18.33802817 12.66197183],0
s7,1,0.037893,4.309824,[29 75] ; [14 15],[33.62406015 70.37593985] ; [ 9.37593985 19.62406015],0
p10,1,0.057225,3.616051,[44 65] ; [19 13],[48.70212766 60.29787234] ; [14.29787234 17.70212766],0
d1,1,0.082751,3.010016,[51 62] ; [20 12],[55.33103448 57.66896552] ; [15.66896552 16.33103448],0
n4,1,0.08602,2.947317,[72 41] ; [15 17],[67.8 45.2] ; [19.2 12.8],0
v2,1,0.105246,2.62419,[32 76] ; [14 17],[35.74100719 72.25899281] ; [10.25899281 20.74100719],0
u3,1,0.116287,2.466637,[16 26] ; [6 3],[18.11764706 23.88235294] ; [3.88235294 5.11764706],0
p3,1,0.123792,2.368681,[30 83] ; [13 19],[33.51034483 79.48965517] ; [ 9.48965517 22.51034483],0
a2,1,0.128018,2.316372,[24 89] ; [ 3 29],[21.04137931 91.95862069] ; [ 5.95862069 26.04137931],0
d5,1,0.136869,2.212817,[79 33] ; [26  5],[82.23776224 29.76223776] ; [22.76223776  8.23776224],0
s3,1,0.163908,1.9378,[47 64] ; [18 14],[50.45454545 60.54545455] ; [14.54545455 17.45454545],0
n1,1,0.183097,1.772308,[21 27] ; [ 4 12],[18.75 29.25] ; [6.25 9.75],0
d4,1,0.187118,1.740166,[77 34] ; [26  6],[79.95104895 31.04895105] ; [23.04895105  8.95104895],0
d2,1,0.211735,1.559525,[52 59] ; [19 13],[55.11188811 55.88811189] ; [15.88811189 16.11188811],0
p9,1,0.23019,1.439689,[53 55] ; [19 12],[55.94244604 52.05755396] ; [16.05755396 14.94244604],0
p1,1,0.23436,1.414203,[  7 106] ; [ 4 28],[  8.57241379 104.42758621] ; [ 2.42758621 29.57241379],0
a4,1,0.251799,1.313293,[40 72] ; [15 17],[42.77777778 69.22222222] ; [12.22222222 19.77777778],0
v4,1,0.260384,1.266714,[88 24] ; [28  4],[90.22222222 21.77777778] ; [25.77777778  6.22222222],0
n3,1,0.277386,1.179854,[25 22] ; [11  5],[26.85714286 20.14285714] ; [9.14285714 6.85714286],0
a6,1,0.278272,1.17551,[68 44] ; [16 16],[65.33333333 46.66666667] ; [18.66666667 13.33333333],0
a3,1,0.28621,1.137363,[69 43] ; [23  9],[71.55555556 40.44444444] ; [20.44444444 11.55555556],0
s8,1,0.286872,1.134245,[25 88] ; [10 22],[27.27586207 85.72413793] ; [ 7.72413793 24.27586207],0
p2,1,0.371759,0.797778,[57 56] ; [19 13],[59.22758621 53.77241379] ; [16.77241379 15.22758621],0
n6,1,0.377601,0.778498,[68 45] ; [22 10],[70.13793103 42.86206897] ; [19.86206897 12.13793103],0
p7,1,0.408884,0.682043,[43 68] ; [15 17],[45.02097902 65.97902098] ; [12.97902098 19.02097902],0
p4,1,0.448724,0.573873,[40 70] ; [14 18],[41.83098592 68.16901408] ; [12.16901408 19.83098592],0
p8,1,0.478151,0.503077,[31 79] ; [ 7 25],[29.43661972 80.56338028] ; [ 8.56338028 23.43661972],0
u1,1,0.478924,0.501311,[16 97] ; [ 3 29],[14.80689655 98.19310345] ; [ 4.19310345 27.80689655],0
r4,1,0.497826,0.459569,[74 39] ; [23  9],[75.59310345 37.40689655] ; [21.40689655 10.59310345],0
v3,1,0.59379,0.284464,[26 81] ; [ 9 22],[27.13768116 79.86231884] ; [ 7.86231884 23.13768116],0
r2,1,0.618707,0.247689,[92 19] ; [26  4],[92.89361702 18.10638298] ; [25.10638298  4.89361702],0
a5,1,0.743664,0.106932,[67 46] ; [20 12],[67.8 45.2] ; [19.2 12.8],0
n2,1,0.790592,0.070513,[30 20] ; [9 7],[29.54545455 20.45454545] ; [9.45454545 6.54545455],0
b4,1,0.791926,0.069596,[63 50] ; [17 15],[62.34482759 50.65517241] ; [17.65517241 14.34482759],0
b2,1,0.813089,0.055905,[22 42] ; [ 5 11],[21.6 42.4] ; [ 5.4 10.6],0
b3,1,0.813089,0.055905,[22 42] ; [ 5 11],[21.6 42.4] ; [ 5.4 10.6],0
r1,1,0.826769,0.047894,[73 40] ; [20 12],[72.47586207 40.52413793] ; [20.52413793 11.47586207],0
s1,1,0.870123,0.026733,[  8 105] ; [ 2 30],[  7.79310345 105.20689655] ; [ 2.20689655 29.79310345],0
a1,1,0.870123,0.026733,[  8 105] ; [ 2 30],[  7.79310345 105.20689655] ; [ 2.20689655 29.79310345],0
u2,1,0.88654,0.020359,[18 25] ; [4 5],[18.19230769 24.80769231] ; [3.80769231 5.19230769],0
b1,1,0.931569,0.007374,[61 52] ; [17 15],[60.7862069 52.2137931] ; [17.2137931 14.7862069],0
r3,1,0.987145,0.00026,[84 29] ; [23  8],[83.96527778 29.03472222] ; [23.03472222  7.96527778],0
a7,1,0.992953,7.8e-05,[73 40] ; [20 11],[72.97916667 40.02083333] ; [20.02083333 10.97916667],0
b5,1,0.993271,7.1e-05,[67 46] ; [19 13],[67.02068966 45.97931034] ; [18.97931034 13.02068966],0
