Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,2.4e-05,17.846154,[21  8] ; [ 5 24],[13. 16.] ; [13. 16.],1
r3,1,0.000889,11.045115,[21  7] ; [ 9 20],[14.73684211 13.26315789] ; [15.26315789 13.73684211],1
p10,1,0.002395,9.219048,[16 12] ; [ 5 23],[10.5 17.5] ; [10.5 17.5],0
s6,1,0.018759,5.52381,[12 17] ; [ 4 25],[ 8. 21.] ; [ 8. 21.],0
p2,1,0.027103,4.884211,[14 15] ; [ 6 23],[10. 19.] ; [10. 19.],0
n3,1,0.03182,4.608192,[8 2] ; [5 9],[5.41666667 4.58333333] ; [7.58333333 6.41666667],0
r4,1,0.035808,4.406202,[11 18] ; [ 4 25],[ 7.5 21.5] ; [ 7.5 21.5],0
s7,1,0.058052,3.592167,[ 9 18] ; [ 3 23],[ 6.11320755 20.88679245] ; [ 5.88679245 20.11320755],0
p4,1,0.065608,3.38961,[10 19] ; [ 4 25],[ 7. 22.] ; [ 7. 22.],0
p9,1,0.08007,3.063476,[15 12] ; [ 9 19],[11.78181818 15.21818182] ; [12.21818182 15.78181818],0
s2,1,0.0813,3.038727,[ 8 20] ; [ 3 26],[ 5.40350877 22.59649123] ; [ 5.59649123 23.40350877],0
d5,1,0.104442,2.636364,[21  8] ; [15 14],[18. 11.] ; [18. 11.],0
n5,1,0.10968,2.558824,[20  9] ; [14 15],[17. 12.] ; [17. 12.],0
p7,1,0.115403,2.478632,[ 9 20] ; [ 4 25],[ 6.5 22.5] ; [ 6.5 22.5],0
a2,1,0.160468,1.969811,[ 1 28] ; [ 4 25],[ 2.5 26.5] ; [ 2.5 26.5],0
d3,1,0.189161,1.724138,[17 12] ; [12 17],[14.5 14.5] ; [14.5 14.5],0
p3,1,0.19477,1.681159,[ 8 21] ; [ 4 25],[ 6. 23.] ; [ 6. 23.],0
p8,1,0.203428,1.617591,[ 7 22] ; [ 3 24],[ 5.17857143 23.82142857] ; [ 4.82142857 22.17857143],0
d4,1,0.256253,1.288889,[22  7] ; [18 11],[20.  9.] ; [20.  9.],0
b4,1,0.269154,1.221053,[21  8] ; [17 12],[19. 10.] ; [19. 10.],0
b5,1,0.286233,1.137255,[14 15] ; [10 19],[12. 17.] ; [12. 17.],0
v2,1,0.293728,1.102454,[11 18] ; [ 7 21],[ 9.15789474 19.84210526] ; [ 8.84210526 19.15789474],0
a4,1,0.311096,1.026015,[ 8 20] ; [12 17],[ 9.8245614 18.1754386] ; [10.1754386 18.8245614],0
b3,1,0.327753,0.957755,[ 5 13] ; [ 9 12],[ 6.46153846 11.53846154] ; [ 7.53846154 13.46153846],0
b2,1,0.327753,0.957755,[ 5 13] ; [ 9 12],[ 6.46153846 11.53846154] ; [ 7.53846154 13.46153846],0
a8,1,0.411824,0.67353,[ 5 22] ; [ 3 25],[ 3.92727273 23.07272727] ; [ 4.07272727 23.92727273],0
n4,1,0.41242,0.671815,[20  9] ; [17 12],[18.5 10.5] ; [18.5 10.5],0
b1,1,0.430791,0.62069,[13 16] ; [16 13],[14.5 14.5] ; [14.5 14.5],0
u2,1,0.537892,0.379461,[3 8] ; [ 2 10],[2.39130435 8.60869565] ; [2.60869565 9.39130435],0
n1,1,0.561471,0.337163,[5 6] ; [8 6],[5.72 5.28] ; [7.28 6.72],0
n2,1,0.561471,0.337163,[6 5] ; [6 8],[5.28 5.72] ; [6.72 7.28],0
s3,1,0.567144,0.327485,[10 18] ; [ 8 20],[ 9. 19.] ; [ 9. 19.],0
d1,1,0.588349,0.292929,[12 17] ; [10 19],[11. 18.] ; [11. 18.],0
a7,1,0.599209,0.27619,[13 16] ; [15 14],[14. 15.] ; [14. 15.],0
s1,1,0.639904,0.218868,[ 2 27] ; [ 3 26],[ 2.5 26.5] ; [ 2.5 26.5],0
r2,1,0.693612,0.155203,[14 13] ; [16 12],[14.72727273 12.27272727] ; [15.27272727 12.72727273],0
s4,1,0.716862,0.131519,[ 5 24] ; [ 4 25],[ 4.5 24.5] ; [ 4.5 24.5],0
a6,1,0.790896,0.070303,[13 16] ; [12 17],[12.5 16.5] ; [12.5 16.5],0
a5,1,0.792366,0.069295,[16 13] ; [15 14],[15.5 13.5] ; [15.5 13.5],0
v1,1,0.82457,0.049138,[ 7 21] ; [ 8 21],[ 7.36842105 20.63157895] ; [ 7.63157895 21.36842105],0
d2,1,0.903437,0.014719,[13 15] ; [13 16],[12.77192982 15.22807018] ; [13.22807018 15.77192982],0
a3,1,0.916353,0.011031,[18 11] ; [17 11],[17.80701754 11.19298246] ; [17.19298246 10.80701754],0
s5,1,0.957312,0.002865,[ 4 24] ; [ 4 25],[ 3.92982456 24.07017544] ; [ 4.07017544 24.92982456],0
r1,1,1.0,0.0,[12 17] ; [12 17],[12. 17.] ; [12. 17.],0
v3,1,1.0,0.0,[ 6 23] ; [ 6 23],[ 6. 23.] ; [ 6. 23.],0
p1,1,1.0,0.0,[ 4 25] ; [ 4 25],[ 4. 25.] ; [ 4. 25.],0
