Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,54.80553,[ 7 26] ; [89 12],[23.64179104  9.35820896] ; [72.35820896 28.64179104],1
s6,1,3.5e-05,17.126621,[19 14] ; [88 10],[26.95419847  6.04580153] ; [80.04580153 17.95419847],1
p7,1,0.00503,7.868783,[16 17] ; [74 25],[22.5 10.5] ; [67.5 31.5],0
s5,1,0.008853,6.852295,[ 8 24] ; [50 47],[14.3875969 17.6124031] ; [43.6124031 53.3875969],0
s8,1,0.028362,4.805943,[19 14] ; [78 23],[23.8880597  9.1119403] ; [73.1119403 27.8880597],0
v1,1,0.032002,4.598402,[13 19] ; [61 37],[18.21538462 13.78461538] ; [55.78461538 42.21538462],0
p11,1,0.047912,3.913068,[23 10] ; [86 15],[26.84328358  6.15671642] ; [82.15671642 18.84328358],0
p8,1,0.048004,3.909845,[12 20] ; [57 42],[16.85496183 15.14503817] ; [52.14503817 46.85496183],0
r2,1,0.048039,3.908607,[27  5] ; [95  5],[29.57575758  2.42424242] ; [92.42424242  7.57575758],0
v4,1,0.057552,3.606557,[28  5] ; [94  5],[30.5  2.5] ; [91.5  7.5],0
n2,1,0.125952,2.341697,[6 4] ; [25  5],[7.75 2.25] ; [23.25  6.75],0
r3,1,0.139946,2.178555,[30  3] ; [98  3],[31.52238806  1.47761194] ; [96.47761194  4.52238806],0
a8,1,0.171945,1.8659,[ 2 29] ; [16 83],[ 4.29230769 26.70769231] ; [13.70769231 85.29230769],0
a4,1,0.191909,1.702902,[13 20] ; [53 48],[16.25373134 16.74626866] ; [49.74626866 51.25373134],0
r4,1,0.214203,1.542792,[25  8] ; [86 15],[27.3358209  5.6641791] ; [83.6641791 17.3358209],0
b1,1,0.229907,1.441437,[14 19] ; [55 46],[16.99253731 16.00746269] ; [52.00746269 48.99253731],0
p5,1,0.262193,1.257143,[ 3 30] ; [17 82],[ 5. 28.] ; [15. 84.],0
r1,1,0.318895,0.993473,[23 10] ; [79 22],[25.11940299  7.88059701] ; [76.88059701 24.11940299],0
v2,1,0.365243,0.819784,[14 19] ; [50 47],[16.24615385 16.75384615] ; [47.75384615 49.24615385],0
b5,1,0.369865,0.804117,[17 16] ; [43 58],[14.7761194 18.2238806] ; [45.2238806 55.7761194],0
u3,1,0.374857,0.7875,[2 3] ; [10  6],[2.85714286 2.14285714] ; [9.14285714 6.85714286],0
n1,1,0.384437,0.756466,[5 5] ; [19 10],[6.15384615 3.84615385] ; [17.84615385 11.15384615],0
b4,1,0.479578,0.499822,[14 19] ; [50 51],[15.76119403 17.23880597] ; [48.23880597 52.76119403],0
p4,1,0.48441,0.488919,[19 14] ; [65 36],[20.68656716 12.31343284] ; [63.31343284 37.68656716],0
a6,1,0.508215,0.437741,[10 23] ; [37 64],[11.57462687 21.42537313] ; [35.42537313 65.57462687],0
s4,1,0.508667,0.436808,[ 7 26] ; [27 73],[ 8.43609023 24.56390977] ; [25.56390977 74.43609023],0
n4,1,0.524987,0.404085,[28  5] ; [89 11],[29.03007519  3.96992481] ; [87.96992481 12.03007519],0
