Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.9e-05,15.827922,[ 5 65] ; [ 9 12],[10.76923077 59.23076923] ; [ 3.23076923 17.76923077],1
p3,1,0.000267,13.28639,[ 9 60] ; [11 11],[15.16483516 53.83516484] ; [ 4.83516484 17.16483516],1
s6,1,0.005842,7.59832,[24 45] ; [15  7],[29.57142857 39.42857143] ; [ 9.42857143 12.57142857],0
p6,1,0.007657,7.112032,[ 6 62] ; [ 7 15],[ 9.82222222 58.17777778] ; [ 3.17777778 18.82222222],0
s5,1,0.010253,6.590389,[ 7 62] ; [ 7 14],[10.73333333 58.26666667] ; [ 3.26666667 17.73333333],0
p5,1,0.01171,6.35431,[ 1 69] ; [ 3 18],[ 3.07692308 66.92307692] ; [ 0.92307692 20.07692308],0
p7,1,0.038704,4.273803,[13 55] ; [ 9 13],[16.62222222 51.37777778] ; [ 5.37777778 16.62222222],0
d1,1,0.039092,4.256843,[27 43] ; [14  8],[31.19565217 38.80434783] ; [ 9.80434783 12.19565217],0
v2,1,0.068108,3.328034,[18 50] ; [10 11],[21.39325843 46.60674157] ; [ 6.60674157 14.39325843],0
r3,1,0.090237,2.870133,[43 26] ; [18  4],[46.25274725 22.74725275] ; [14.74725275  7.25274725],0
n4,1,0.098796,2.724877,[45 24] ; [10 12],[41.7032967 27.2967033] ; [13.2967033  8.7032967],0
a5,1,0.125432,2.348153,[38 32] ; [16  6],[41.08695652 28.91304348] ; [12.91304348  9.08695652],0
a7,1,0.158557,1.987934,[37 32] ; [ 8 14],[34.12087912 34.87912088] ; [10.87912088 11.12087912],0
d5,1,0.160592,1.96864,[42 27] ; [17  5],[44.73626374 24.26373626] ; [14.26373626  7.73626374],0
b5,1,0.183125,1.772077,[40 30] ; [ 9 13],[37.2826087 32.7173913] ; [11.7173913 10.2826087],0
u3,1,0.200679,1.637427,[14 16] ; [7 3],[15.75 14.25] ; [5.25 4.75],0
r4,1,0.249948,1.323592,[38 32] ; [15  7],[40.32608696 29.67391304] ; [12.67391304  9.32608696],0
s2,1,0.266651,1.233895,[17 53] ; [ 8 14],[19.02173913 50.97826087] ; [ 5.97826087 16.02173913],0
s8,1,0.272988,1.201671,[ 9 60] ; [ 5 17],[10.61538462 58.38461538] ; [ 3.38461538 18.61538462],0
a1,1,0.274597,1.19364,[ 9 61] ; [ 1 21],[ 7.60869565 62.39130435] ; [ 2.39130435 19.60869565],0
d2,1,0.326541,0.962567,[32 36] ; [13  9],[34. 34.] ; [11. 11.],0
v3,1,0.345341,0.890503,[18 48] ; [ 8 13],[19.72413793 46.27586207] ; [ 6.27586207 14.72413793],0
b3,1,0.352478,0.864517,[17 30] ; [7 7],[18.49180328 28.50819672] ; [5.50819672 8.49180328],0
b2,1,0.352478,0.864517,[17 30] ; [7 7],[18.49180328 28.50819672] ; [5.50819672 8.49180328],0
a6,1,0.357453,0.846821,[36 33] ; [ 9 13],[34.12087912 34.87912088] ; [10.87912088 11.12087912],0
v4,1,0.3733,0.792651,[43 26] ; [16  6],[44.73626374 24.26373626] ; [14.26373626  7.73626374],0
s3,1,0.385842,0.752005,[21 47] ; [ 9 13],[22.66666667 45.33333333] ; [ 7.33333333 14.66666667],0
a4,1,0.395473,0.722047,[27 41] ; [11 11],[28.71111111 39.28888889] ; [ 9.28888889 12.71111111],0
d4,1,0.412954,0.670279,[47 22] ; [17  5],[48.52747253 20.47252747] ; [15.47252747  6.52747253],0
s1,1,0.426493,0.632355,[ 8 61] ; [ 4 18],[ 9.0989011 59.9010989] ; [ 2.9010989 19.0989011],0
p9,1,0.434456,0.610881,[13 54] ; [ 6 16],[14.30337079 52.69662921] ; [ 4.69662921 17.30337079],0
n1,1,0.439876,0.596606,[14 20] ; [5 4],[15.02325581 18.97674419] ; [3.97674419 5.02325581],0
r2,1,0.452341,0.564779,[53 14] ; [19  3],[54.20224719 12.79775281] ; [17.79775281  4.20224719],0
d3,1,0.504374,0.44572,[32 37] ; [12 10],[33.36263736 35.63736264] ; [10.63736264 11.36263736],0
n5,1,0.511871,0.430239,[40 29] ; [11 11],[38.67032967 30.32967033] ; [12.32967033  9.67032967],0
n6,1,0.580107,0.306062,[38 31] ; [13  8],[39.1 29.9] ; [11.9  9.1],0
p1,1,0.666907,0.185241,[ 5 65] ; [ 1 21],[ 4.56521739 65.43478261] ; [ 1.43478261 20.56521739],0
v1,1,0.683223,0.16652,[22 47] ; [ 6 16],[21.23076923 47.76923077] ; [ 6.76923077 15.23076923],0
a2,1,0.697748,0.150825,[12 58] ; [ 3 19],[11.41304348 58.58695652] ; [ 3.58695652 18.41304348],0
n3,1,0.704954,0.143369,[15 16] ; [5 4],[15.5 15.5] ; [4.5 4.5],0
a3,1,0.723987,0.124705,[40 28] ; [12 10],[39.28888889 28.71111111] ; [12.71111111  9.28888889],0
p11,1,0.761497,0.092122,[23 47] ; [ 8 14],[23.58695652 46.41304348] ; [ 7.41304348 14.58695652],0
b1,1,0.780491,0.077662,[39 31] ; [13  9],[39.56521739 30.43478261] ; [12.43478261  9.56521739],0
u1,1,0.780703,0.077508,[ 8 62] ; [ 3 19],[ 8.36956522 61.63043478] ; [ 2.63043478 19.36956522],0
b4,1,0.830259,0.045954,[40 30] ; [12 10],[39.56521739 30.43478261] ; [12.43478261  9.56521739],0
n2,1,0.888798,0.019551,[18 16] ; [5 4],[18.18604651 15.81395349] ; [4.81395349 4.18604651],0
u2,1,0.906631,0.013757,[14 16] ; [4 5],[13.84615385 16.15384615] ; [4.15384615 4.84615385],0
r1,1,0.926104,0.008602,[40 29] ; [13  9],[40.18681319 28.81318681] ; [12.81318681  9.18681319],0
a8,1,0.936965,0.006254,[ 6 61] ; [ 2 19],[ 6.09090909 60.90909091] ; [ 1.90909091 19.09090909],0
s4,1,0.942945,0.005122,[ 9 60] ; [ 3 19],[ 9.0989011 59.9010989] ; [ 2.9010989 19.0989011],0
s7,1,0.94492,0.004773,[15 50] ; [ 5 16],[15.11627907 49.88372093] ; [ 4.88372093 16.11627907],0
u4,1,0.958441,0.002715,[ 3 67] ; [ 1 21],[ 3.04347826 66.95652174] ; [ 0.95652174 21.04347826],0
