Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-06,22.919695,[24 19] ; [ 1 31],[14.33333333 28.66666667] ; [10.66666667 21.33333333],1
a5,1,9.4e-05,15.261977,[29 14] ; [ 7 25],[20.64 22.36] ; [15.36 16.64],1
d3,1,0.000484,12.175077,[29 13] ; [ 9 23],[21.56756757 20.43243243] ; [16.43243243 15.56756757],1
d4,1,0.001321,10.312308,[32 11] ; [12 20],[25.22666667 17.77333333] ; [18.77333333 13.22666667],0
a4,1,0.001388,10.221984,[20 22] ; [ 4 28],[13.62162162 28.37837838] ; [10.37837838 21.62162162],0
a7,1,0.006888,7.301918,[27 16] ; [10 22],[21.21333333 21.78666667] ; [15.78666667 16.21333333],0
a3,1,0.009549,6.717179,[27 16] ; [10 21],[21.5 21.5] ; [15.5 15.5],0
v2,1,0.012171,6.285837,[17 26] ; [ 4 27],[12.2027027 30.7972973] ; [ 8.7972973 22.2027027],0
s5,1,0.016213,5.779676,[13 26] ; [ 3 29],[ 8.78873239 30.21126761] ; [ 7.21126761 24.78873239],0
d2,1,0.021941,5.250483,[23 19] ; [ 9 23],[18.16216216 23.83783784] ; [13.83783784 18.16216216],0
s4,1,0.029198,4.755921,[13 30] ; [ 3 29],[ 9.17333333 33.82666667] ; [ 6.82666667 25.17333333],0
a2,1,0.041314,4.163088,[ 8 35] ; [ 1 31],[ 5.16 37.84] ; [ 3.84 28.16],0
u2,1,0.046313,3.970159,[8 8] ; [ 4 17],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
a6,1,0.077017,3.126757,[25 18] ; [12 20],[21.21333333 21.78666667] ; [15.78666667 16.21333333],0
b3,1,0.104607,2.633857,[12  9] ; [ 6 13],[ 9.45 11.55] ; [ 8.55 10.45],0
b2,1,0.104607,2.633857,[12  9] ; [ 6 13],[ 9.45 11.55] ; [ 8.55 10.45],0
n1,1,0.139657,2.181734,[ 4 13] ; [6 6],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
p6,1,0.166441,1.914713,[ 9 32] ; [ 3 28],[ 6.83333333 34.16666667] ; [ 5.16666667 25.83333333],0
p2,1,0.217322,1.52197,[18 25] ; [18 14],[20.64 22.36] ; [15.36 16.64],0
b1,1,0.267988,1.227015,[27 16] ; [16 16],[24.65333333 18.34666667] ; [18.34666667 13.65333333],0
s7,1,0.277514,1.179226,[10 28] ; [ 5 27],[ 8.14285714 29.85714286] ; [ 6.85714286 25.14285714],0
n2,1,0.295694,1.093514,[8 9] ; [8 4],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
n5,1,0.327934,0.957037,[22 21] ; [20 12],[24.08 18.92] ; [17.92 14.08],0
p8,1,0.339422,0.912613,[ 7 35] ; [ 8 23],[ 8.63013699 33.36986301] ; [ 6.36986301 24.63013699],0
b4,1,0.365601,0.818561,[22 21] ; [13 19],[20.06666667 22.93333333] ; [14.93333333 17.06666667],0
v4,1,0.378396,0.775906,[31 12] ; [20 12],[29.24 13.76] ; [21.76 10.24],0
s8,1,0.384334,0.756792,[ 7 36] ; [ 3 29],[ 5.73333333 37.26666667] ; [ 4.26666667 27.73333333],0
s6,1,0.398086,0.714099,[14 27] ; [ 8 24],[12.35616438 28.64383562] ; [ 9.64383562 22.35616438],0
s3,1,0.402425,0.701067,[14 27] ; [14 18],[15.7260274 25.2739726] ; [12.2739726 19.7260274],0
r2,1,0.40255,0.700695,[31  9] ; [22 10],[29.44444444 10.55555556] ; [23.55555556  8.44444444],0
p1,1,0.428441,0.627046,[ 5 38] ; [ 2 30],[ 4.01333333 38.98666667] ; [ 2.98666667 29.01333333],0
r3,1,0.435487,0.608144,[28 15] ; [18 14],[26.37333333 16.62666667] ; [19.62666667 12.37333333],0
n4,1,0.483716,0.490474,[25 18] ; [16 16],[23.50666667 19.49333333] ; [17.49333333 14.50666667],0
v1,1,0.487167,0.482777,[12 31] ; [11 20],[13.36486486 29.63513514] ; [ 9.63513514 21.36486486],0
u3,1,0.503083,0.448427,[ 6 10] ; [ 6 16],[ 5.05263158 10.94736842] ; [ 6.94736842 15.05263158],0
r4,1,0.51029,0.433472,[18 25] ; [11 21],[16.62666667 26.37333333] ; [12.37333333 19.62666667],0
n6,1,0.52499,0.40408,[26 17] ; [17 15],[24.65333333 18.34666667] ; [18.34666667 13.65333333],0
p7,1,0.56741,0.327035,[16 27] ; [14 18],[17.2 25.8] ; [12.8 19.2],0
s2,1,0.680486,0.169579,[14 29] ; [ 9 23],[13.18666667 29.81333333] ; [ 9.81333333 22.18666667],0
a1,1,0.754578,0.097724,[ 5 38] ; [ 3 29],[ 4.58666667 38.41333333] ; [ 3.41333333 28.58666667],0
p3,1,0.755352,0.097088,[13 29] ; [11 21],[13.62162162 28.37837838] ; [10.37837838 21.62162162],0
p5,1,0.759044,0.094087,[ 2 41] ; [ 1 30],[ 1.74324324 41.25675676] ; [ 1.25675676 29.74324324],0
s1,1,0.760535,0.09289,[ 2 41] ; [ 2 30],[ 2.29333333 40.70666667] ; [ 1.70666667 30.29333333],0
p9,1,0.782441,0.076253,[20 20] ; [16 14],[20.57142857 19.42857143] ; [15.42857143 14.57142857],0
v3,1,0.84462,0.038411,[10 32] ; [ 7 25],[ 9.64864865 32.35135135] ; [ 7.35135135 24.64864865],0
n3,1,0.875948,0.02437,[8 9] ; [6 6],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
a8,1,0.886257,0.020461,[ 3 38] ; [ 2 29],[ 2.84722222 38.15277778] ; [ 2.15277778 28.84722222],0
p4,1,0.904833,0.014294,[15 27] ; [11 21],[14.75675676 27.24324324] ; [11.24324324 20.75675676],0
b5,1,0.924067,0.009084,[26 17] ; [19 13],[25.8 17.2] ; [19.2 12.8],0
p10,1,0.983787,0.000413,[15 27] ; [11 20],[14.95890411 27.04109589] ; [11.04109589 19.95890411],0
