Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.9e-05,17.503188,[55 78] ; [89 44],[72. 61.] ; [72. 61.],1
v3,1,0.003496,8.528688,[ 34 100] ; [57 78],[45.33085502 88.66914498] ; [45.66914498 89.33085502],0
s4,1,0.003772,8.390338,[40 95] ; [ 20 114],[ 30.11152416 104.88847584] ; [ 29.88847584 104.11152416],0
d1,1,0.00939,6.747036,[61 77] ; [82 55],[71.76 66.24] ; [71.24 65.76],0
s3,1,0.02752,4.857866,[86 49] ; [67 66],[77.07089552 57.92910448] ; [75.92910448 57.07089552],0
a2,1,0.037898,4.309599,[ 23 115] ; [ 37 100],[ 30.10909091 107.89090909] ; [ 29.89090909 107.10909091],0
s5,1,0.05081,3.814524,[58 74] ; [44 92],[50.23880597 81.76119403] ; [51.76119403 84.23880597],0
d4,1,0.056603,3.634233,[105  31] ; [118  19],[111.09157509  24.90842491] ; [111.90842491  25.09157509],0
s2,1,0.060701,3.518123,[77 60] ; [61 75],[69.25274725 67.74725275] ; [68.74725275 67.25274725],0
p9,1,0.076553,3.1366,[102  31] ; [115  20],[107.69029851  25.30970149] ; [109.30970149  25.69029851],0
p10,1,0.079714,3.070715,[96 38] ; [109  26],[102.11895911  31.88104089] ; [102.88104089  32.11895911],0
a7,1,0.122074,2.390511,[98 39] ; [109  28],[103.5  33.5] ; [103.5  33.5],0
n5,1,0.132277,2.265574,[94 42] ; [105  31],[99.5 36.5] ; [99.5 36.5],0
b3,1,0.146752,2.105697,[16 55] ; [25 50],[19.93835616 51.06164384] ; [21.06164384 53.93835616],0
b2,1,0.146752,2.105697,[16 55] ; [25 50],[19.93835616 51.06164384] ; [21.06164384 53.93835616],0
d5,1,0.148791,2.084601,[101  36] ; [111  26],[106.  31.] ; [106.  31.],0
p3,1,0.204051,1.613139,[58 79] ; [68 68],[63.23076923 73.76923077] ; [62.76923077 73.23076923],0
n4,1,0.23733,1.396382,[96 42] ; [104  33],[100.36363636  37.63636364] ; [99.63636364 37.36363636],0
r4,1,0.281686,1.158937,[118  20] ; [123  14],[120.93818182  17.06181818] ; [120.06181818  16.93818182],0
p2,1,0.282075,1.157067,[109  28] ; [115  21],[112.41025641  24.58974359] ; [111.58974359  24.41025641],0
b5,1,0.28475,1.144278,[81 57] ; [89 48],[85.30909091 52.69090909] ; [84.69090909 52.30909091],0
p11,1,0.288492,1.126647,[98 40] ; [105  32],[101.86909091  36.13090909] ; [101.13090909  35.86909091],0
p4,1,0.300746,1.070886,[76 60] ; [85 52],[80.20512821 55.79487179] ; [80.79487179 56.20512821],0
u1,1,0.302345,1.063821,[ 18 120] ; [ 24 113],[ 21.07636364 116.92363636] ; [ 20.92363636 116.07636364],0
b4,1,0.343235,0.89831,[82 56] ; [89 48],[85.81090909 52.18909091] ; [85.18909091 51.81090909],0
p8,1,0.357434,0.846888,[59 75] ; [67 68],[62.76579926 71.23420074] ; [63.23420074 71.76579926],0
u2,1,0.377343,0.779339,[25 25] ; [26 18],[27.12765957 22.87234043] ; [23.87234043 20.12765957],0
s1,1,0.382407,0.762951,[  7 130] ; [  4 129],[  5.58148148 131.41851852] ; [  5.41851852 127.58148148],0
s7,1,0.394903,0.723791,[51 82] ; [44 88],[47.67924528 85.32075472] ; [47.32075472 84.67924528],0
a3,1,0.397993,0.714383,[86 51] ; [92 44],[89.32600733 47.67399267] ; [88.67399267 47.32600733],0
d3,1,0.39972,0.709167,[94 42] ; [101  36],[97.14285714 38.85714286] ; [97.85714286 39.14285714],0
p6,1,0.410556,0.67719,[40 96] ; [45 87],[43.13432836 92.86567164] ; [41.86567164 90.13432836],0
v4,1,0.461861,0.541381,[127  10] ; [129   7],[128.46886447   8.53113553] ; [127.53113553   8.46886447],0
n2,1,0.463836,0.536623,[31  6] ; [23  7],[29.82089552  7.17910448] ; [24.17910448  5.82089552],0
r2,1,0.475461,0.509257,[125  11] ; [128   8],[126.5   9.5] ; [126.5   9.5],0
a6,1,0.493507,0.468871,[88 48] ; [94 43],[90.66666667 45.33333333] ; [91.33333333 45.66666667],0
d2,1,0.505299,0.44379,[53 84] ; [58 78],[55.7032967 81.2967033] ; [55.2967033 80.7032967],0
p12,1,0.506743,0.440787,[  9 127] ; [ 12 125],[ 10.46153846 125.53846154] ; [ 10.53846154 126.46153846],0
n6,1,0.517936,0.418002,[112  25] ; [116  21],[114.  23.] ; [114.  23.],0
a8,1,0.522617,0.408726,[ 17 112] ; [ 13 110],[ 15.35714286 113.64285714] ; [ 14.64285714 108.35714286],0
r1,1,0.563584,0.333536,[104  33] ; [108  29],[106.  31.] ; [106.  31.],0
r3,1,0.606282,0.265625,[129   7] ; [127   9],[128.   8.] ; [128.   8.],0
a1,1,0.616915,0.250228,[  9 129] ; [  7 130],[  8.02909091 129.97090909] ; [  7.97090909 129.02909091],0
a4,1,0.637773,0.221667,[54 83] ; [57 78],[55.90808824 81.09191176] ; [55.09191176 79.90808824],0
p5,1,0.689847,0.159251,[ 15 121] ; [ 13 123],[ 14. 122.] ; [ 14. 122.],0
n3,1,0.763599,0.090456,[28  9] ; [21  8],[27.46969697  9.53030303] ; [21.53030303  7.46969697],0
u3,1,0.793842,0.068291,[27 22] ; [26 19],[27.62765957 21.37234043] ; [25.37234043 19.62765957],0
p1,1,0.814314,0.055161,[  8 128] ; [  9 128],[  8.46886447 127.53113553] ; [  8.53113553 128.46886447],0
b1,1,0.864519,0.029113,[47 91] ; [48 89],[47.67272727 90.32727273] ; [47.32727273 89.67272727],0
n1,1,0.962738,0.002183,[13 23] ; [11 19],[13.09090909 22.90909091] ; [10.90909091 19.09090909],0
p7,1,0.979479,0.000662,[79 52] ; [80 53],[78.89772727 52.10227273] ; [80.10227273 52.89772727],0
a5,1,1.0,0.0,[95 42] ; [95 42],[95. 42.] ; [95. 42.],0
