Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,117.807156,[ 6 74] ; [300 117],[49.2555332 30.7444668] ; [256.7444668 160.2555332],1
d4,1,0.0,60.414867,[44 36] ; [374  43],[67.28370221 12.71629779] ; [350.71629779  66.28370221],1
d3,1,0.0,43.10489,[33 47] ; [322  94],[57.25806452 22.74193548] ; [297.74193548 118.25806452],1
a5,1,0.0,26.255722,[44 36] ; [339  78],[61.6498994 18.3501006] ; [321.3501006  95.6498994],1
a4,1,3e-06,21.718405,[19 61] ; [217 199],[38.06451613 41.93548387] ; [197.93548387 218.06451613],1
d2,1,1.4e-05,18.883069,[21 59] ; [220 197],[38.79275654 41.20724346] ; [202.20724346 214.79275654],1
n4,1,0.000115,14.866199,[52 28] ; [347  68],[64.48484848 15.51515152] ; [334.51515152  80.48484848],1
u1,1,0.000399,12.538469,[ 4 76] ; [ 92 325],[15.4527163 64.5472837] ; [ 80.5472837 336.4527163],1
a2,1,0.000712,11.45698,[ 9 71] ; [123 294],[21.24748491 58.75251509] ; [110.75251509 306.24748491],1
a3,1,0.001704,9.844339,[50 29] ; [330  85],[60.76923077 18.23076923] ; [319.23076923  95.76923077],0
r1,1,0.002908,8.864376,[57 23] ; [351  62],[66.20689655 13.79310345] ; [341.79310345  71.20689655],0
r2,1,0.008926,6.837643,[70  9] ; [391  17],[74.78234086  4.21765914] ; [386.21765914  21.78234086],0
r4,1,0.009395,6.746204,[68 12] ; [390  27],[73.722334  6.277666] ; [384.277666  32.722334],0
p1,1,0.01,6.634914,[14 66] ; [ 34 381],[ 7.75757576 72.24242424] ; [ 40.24242424 374.75757576],0
v2,1,0.028,4.82804,[39 38] ; [257 145],[47.58246347 29.41753653] ; [248.41753653 153.58246347],0
v1,1,0.037841,4.312139,[38 40] ; [249 157],[46.25206612 31.74793388] ; [240.74793388 165.25206612],0
n5,1,0.045424,4.002839,[57 23] ; [335  78],[63.61054767 16.38945233] ; [328.38945233  84.61054767],0
n2,1,0.048981,3.876001,[8 6] ; [64 15],[10.83870968  3.16129032] ; [61.16129032 17.83870968],0
v3,1,0.066261,3.373304,[27 52] ; [182 219],[34.39791667 44.60208333] ; [174.60208333 226.39791667],0
a7,1,0.079086,3.083581,[52 28] ; [310 106],[58.38709677 21.61290323] ; [303.61290323 112.38709677],0
b1,1,0.082154,3.021774,[37 43] ; [150 267],[30.10060362 49.89939638] ; [156.89939638 260.10060362],0
p2,1,0.095197,2.784219,[70 10] ; [385  29],[73.68421053  6.31578947] ; [381.31578947  32.68421053],0
v4,1,0.169122,1.890707,[74  5] ; [399  13],[76.10386965  2.89613035] ; [396.89613035  15.10386965],0
r3,1,0.203764,1.615186,[76  4] ; [403  10],[77.72819473  2.27180527] ; [401.27180527  11.72819473],0
n6,1,0.225831,1.466928,[67 13] ; [365  47],[70.24390244  9.75609756] ; [361.75609756  50.24390244],0
p10,1,0.228928,1.447509,[72  8] ; [388  26],[74.49392713  5.50607287] ; [385.50607287  28.49392713],0
p5,1,0.231573,1.431172,[16 63] ; [ 62 354],[12.44848485 66.55151515] ; [ 65.55151515 350.44848485],0
p12,1,0.246705,1.341867,[10 70] ; [ 35 380],[ 7.27272727 72.72727273] ; [ 37.72727273 377.27272727],0
a8,1,0.258941,1.274411,[ 9 65] ; [ 66 311],[12.3059867 61.6940133] ; [ 62.6940133 314.3059867],0
a6,1,0.272223,1.20551,[51 29] ; [291 125],[55.16129032 24.83870968] ; [286.83870968 129.16129032],0
p3,1,0.293492,1.103534,[46 34] ; [265 151],[50.16129032 29.83870968] ; [260.83870968 155.16129032],0
s6,1,0.304307,1.055224,[53 26] ; [294 110],[56.75569358 22.24430642] ; [290.24430642 113.75569358],0
p4,1,0.314067,1.013496,[54 26] ; [303 112],[57.6969697 22.3030303] ; [299.3030303 115.6969697],0
n1,1,0.377351,0.779316,[ 3 11] ; [26 52],[4.41304348 9.58695652] ; [24.58695652 53.41304348],0
b4,1,0.399986,0.708367,[41 39] ; [235 182],[44.42655936 35.57344064] ; [231.57344064 185.42655936],0
s7,1,0.473889,0.512894,[45 30] ; [221 177],[42.17758985 32.82241015] ; [223.82241015 174.17758985],0
