Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000356,12.749645,[42 33] ; [47  8],[51.34615385 23.65384615] ; [37.65384615 17.34615385],1
r3,1,0.000707,11.471554,[47 28] ; [49  6],[55.38461538 19.61538462] ; [40.61538462 14.38461538],1
b1,1,0.00303,8.789487,[47 28] ; [20 35],[38.65384615 36.34615385] ; [28.34615385 26.65384615],0
r1,1,0.011475,6.390175,[39 35] ; [41 14],[45.89147287 28.10852713] ; [34.10852713 20.89147287],0
p2,1,0.01545,5.864446,[33 42] ; [36 19],[39.80769231 35.19230769] ; [29.19230769 25.80769231],0
v4,1,0.016465,5.752566,[52 23] ; [48  7],[57.69230769 17.30769231] ; [42.30769231 12.69230769],0
a1,1,0.01977,5.43209,[10 65] ; [ 1 54],[ 6.34615385 68.65384615] ; [ 4.65384615 50.34615385],0
u3,1,0.030848,4.661426,[13 20] ; [17  8],[17.06896552 15.93103448] ; [12.93103448 12.06896552],0
s5,1,0.052332,3.765125,[ 7 65] ; [12 42],[10.85714286 61.14285714] ; [ 8.14285714 45.85714286],0
p7,1,0.070008,3.282828,[25 50] ; [27 28],[30. 45.] ; [22. 33.],0
s8,1,0.077707,3.112217,[ 9 65] ; [13 41],[12.71875 61.28125] ; [ 9.28125 44.71875],0
p6,1,0.082328,3.018335,[11 63] ; [15 40],[14.91472868 59.08527132] ; [11.08527132 43.91472868],0
u2,1,0.094368,2.798235,[10 23] ; [13 12],[13.0862069 19.9137931] ; [ 9.9137931 15.0862069],0
n2,1,0.099495,2.713613,[18 20] ; [14  6],[20.96551724 17.03448276] ; [11.03448276  8.96551724],0
n6,1,0.112413,2.519972,[41 34] ; [37 17],[45.34883721 29.65116279] ; [32.65116279 21.34883721],0
r2,1,0.12969,2.29621,[56 17] ; [48  7],[59.3125 13.6875] ; [44.6875 10.3125],0
s6,1,0.138759,2.191665,[26 48] ; [26 28],[30.0625 43.9375] ; [21.9375 32.0625],0
p8,1,0.147999,2.092759,[15 59] ; [17 37],[18.5 55.5] ; [13.5 40.5],0
p1,1,0.15233,2.048764,[ 8 67] ; [ 2 51],[ 5.859375 69.140625] ; [ 4.140625 48.859375],0
b4,1,0.206345,1.596888,[38 37] ; [34 21],[41.53846154 33.46153846] ; [30.46153846 24.53846154],0
p9,1,0.238202,1.391201,[20 52] ; [20 33],[23.04 48.96] ; [16.96 36.04],0
n1,1,0.241552,1.371514,[17 20] ; [ 6 14],[14.92982456 22.07017544] ; [ 8.07017544 11.92982456],0
n3,1,0.307983,1.039305,[16 19] ; [12  8],[17.81818182 17.18181818] ; [10.18181818  9.81818182],0
a7,1,0.379357,0.772785,[44 31] ; [28 27],[41.53846154 33.46153846] ; [30.46153846 24.53846154],0
s1,1,0.392645,0.730734,[ 9 66] ; [ 4 50],[ 7.55813953 67.44186047] ; [ 5.44186047 48.55813953],0
