Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,8e-06,20.045455,[11  4] ; [13 62],[ 4. 11.] ; [20. 55.],1
p11,1,0.217946,1.517845,[8 7] ; [28 49],[5.86956522 9.13043478] ; [30.13043478 46.86956522],0
b1,1,0.34857,0.878657,[7 8] ; [46 31],[8.64130435 6.35869565] ; [44.35869565 32.64130435],0
p3,1,0.385247,0.753892,[ 4 11] ; [13 63],[ 2.8021978 12.1978022] ; [14.1978022 61.8021978],0
