Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,60.384465,[69  2] ; [11 28],[51.63636364 19.36363636] ; [28.36363636 10.63636364],1
v4,1,0.0,44.055911,[67  3] ; [15 24],[52.66055046 17.33944954] ; [29.33944954  9.66055046],1
r2,1,0.0,36.327191,[70  1] ; [20 18],[58.62385321 12.37614679] ; [31.37614679  6.62385321],1
r1,1,0.0,34.294401,[61 10] ; [12 27],[47.11818182 23.88181818] ; [25.88181818 13.11818182],1
n6,1,0.000988,10.849273,[51 20] ; [15 23],[42.99082569 28.00917431] ; [23.00917431 14.99082569],1
u3,1,0.001323,10.31082,[22  9] ; [ 5 15],[16.41176471 14.58823529] ; [10.58823529  9.41176471],0
d5,1,0.001605,9.954382,[54 17] ; [18 21],[46.47272727 24.52727273] ; [25.52727273 13.47272727],0
s6,1,0.002533,9.116817,[35 35] ; [ 8 31],[27.6146789 42.3853211] ; [15.3853211 23.6146789],0
p11,1,0.003111,8.741491,[39 32] ; [10 29],[31.62727273 39.37272727] ; [17.37272727 21.62727273],0
p2,1,0.013259,6.134235,[43 28] ; [14 25],[36.79090909 34.20909091] ; [20.20909091 18.79090909],0
a7,1,0.02403,5.092431,[45 26] ; [16 23],[39.37272727 31.62727273] ; [21.62727273 17.37272727],0
s8,1,0.024551,5.055302,[15 55] ; [ 2 37],[10.91743119 59.08256881] ; [ 6.08256881 32.91743119],0
a5,1,0.034808,4.454556,[44 27] ; [16 23],[38.72727273 32.27272727] ; [21.27272727 17.72727273],0
p4,1,0.053943,3.714474,[29 41] ; [ 9 30],[24.40366972 45.59633028] ; [13.59633028 25.40366972],0
u1,1,0.054018,3.71213,[10 61] ; [ 1 38],[ 7.1 63.9] ; [ 3.9 35.1],0
v3,1,0.069704,3.289981,[17 52] ; [ 4 35],[13.41666667 55.58333333] ; [ 7.58333333 31.41666667],0
s3,1,0.075106,3.167749,[35 36] ; [12 26],[30.6146789 40.3853211] ; [16.3853211 21.6146789],0
a1,1,0.096792,2.757614,[ 3 68] ; [ 5 34],[ 5.16363636 65.83636364] ; [ 2.83636364 36.16363636],0
n4,1,0.113651,2.502709,[49 22] ; [21 18],[45.18181818 25.81818182] ; [24.81818182 14.18181818],0
p6,1,0.122692,2.382619,[16 55] ; [ 4 34],[13.02752294 57.97247706] ; [ 6.97247706 31.02752294],0
n3,1,0.126671,2.332838,[13  7] ; [11 15],[10.43478261  9.56521739] ; [13.56521739 12.43478261],0
v1,1,0.131101,2.279416,[20 51] ; [ 6 33],[16.78181818 54.21818182] ; [ 9.21818182 29.78181818],0
a8,1,0.138391,2.19576,[ 7 60] ; [ 1 38],[ 5.05660377 61.94339623] ; [ 2.94339623 36.05660377],0
d4,1,0.153372,2.038387,[48 23] ; [21 18],[44.53636364 26.46363636] ; [24.46363636 14.53636364],0
d3,1,0.162959,1.946551,[39 32] ; [16 23],[35.5 35.5] ; [19.5 19.5],0
n2,1,0.180592,1.792743,[15  8] ; [12 14],[12.67346939 10.32653061] ; [14.32653061 11.67346939],0
b4,1,0.19019,1.716143,[42 29] ; [18 21],[38.72727273 32.27272727] ; [21.27272727 17.72727273],0
p7,1,0.208212,1.583816,[32 38] ; [13 26],[28.89908257 41.10091743] ; [16.10091743 22.89908257],0
p3,1,0.221279,1.496057,[22 48] ; [ 8 31],[19.26605505 50.73394495] ; [10.73394495 28.26605505],0
