Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.049563,3.85617,[7 9] ; [28 11],[10.18181818  5.81818182] ; [24.81818182 14.18181818],0
v4,1,0.049563,3.85617,[7 9] ; [28 11],[10.18181818  5.81818182] ; [24.81818182 14.18181818],0
v1,1,0.058452,3.580763,[ 2 14] ; [15 24],[ 4.94545455 11.05454545] ; [12.05454545 26.94545455],0
s8,1,0.066962,3.355968,[ 1 15] ; [11 27],[ 3.55555556 12.44444444] ; [ 8.44444444 29.55555556],0
v3,1,0.066962,3.355968,[ 1 15] ; [11 27],[ 3.55555556 12.44444444] ; [ 8.44444444 29.55555556],0
n4,1,0.071292,3.253019,[10  6] ; [33  6],[12.50909091  3.49090909] ; [30.49090909  8.50909091],0
p10,1,0.072797,3.218801,[ 4 11] ; [21 18],[6.94444444 8.05555556] ; [18.05555556 20.94444444],0
n3,1,0.100728,2.693981,[2 7] ; [13 11],[4.09090909 4.90909091] ; [10.90909091 13.09090909],0
s4,1,0.107515,2.590367,[ 5 11] ; [ 5 34],[ 2.90909091 13.09090909] ; [ 7.09090909 31.90909091],0
s3,1,0.1241,2.364792,[ 3 13] ; [15 22],[ 5.43396226 10.56603774] ; [12.56603774 24.43396226],0
n2,1,0.137987,2.200269,[4 5] ; [18  7],[5.82352941 3.17647059] ; [16.17647059  8.82352941],0
a3,1,0.141074,2.166209,[7 8] ; [26 12],[9.33962264 5.66037736] ; [23.66037736 14.33962264],0
s2,1,0.157755,1.995611,[ 2 14] ; [12 27],[ 4.07272727 11.92727273] ; [ 9.92727273 29.07272727],0
n1,1,0.169327,1.888889,[3 6] ; [15 10],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
p9,1,0.179759,1.799617,[5 9] ; [21 16],[7.1372549 6.8627451] ; [18.8627451 18.1372549],0
s6,1,0.23461,1.412693,[ 4 12] ; [16 22],[ 5.92592593 10.07407407] ; [14.07407407 23.92592593],0
r1,1,0.235467,1.407532,[ 5 11] ; [19 20],[6.98181818 9.01818182] ; [17.01818182 21.98181818],0
p8,1,0.236689,1.400206,[ 3 12] ; [14 24],[ 4.81132075 10.18867925] ; [12.18867925 25.81132075],0
d5,1,0.303071,1.06063,[7 9] ; [23 16],[8.72727273 7.27272727] ; [21.27272727 17.72727273],0
d3,1,0.308806,1.035777,[ 5 11] ; [18 21],[6.69090909 9.30909091] ; [16.30909091 22.69090909],0
d2,1,0.309547,1.032606,[ 6 10] ; [20 18],[7.7037037 8.2962963] ; [18.2962963 19.7037037],0
p12,1,0.33899,0.914247,[ 2 14] ; [ 2 37],[ 1.16363636 14.83636364] ; [ 2.83636364 36.16363636],0
d1,1,0.340315,0.909244,[ 4 12] ; [15 24],[ 5.52727273 10.47272727] ; [13.47272727 25.52727273],0
s7,1,0.375717,0.78467,[ 3 11] ; [13 25],[4.30769231 9.69230769] ; [11.69230769 26.30769231],0
b1,1,0.396203,0.719818,[11  5] ; [22 17],[9.6 6.4] ; [23.4 15.6],0
s5,1,0.46471,0.534528,[ 3 13] ; [11 28],[ 4.07272727 11.92727273] ; [ 9.92727273 29.07272727],0
u3,1,0.47433,0.511871,[1 8] ; [ 3 10],[1.63636364 7.36363636] ; [ 2.36363636 10.63636364],0
